K,GEP,spectra_file,Name,pathway,ES,NES,NOM_p,FDR_q,FWER p-val,Tag %,Gene %,leading_edge
12,1,anal_pc5_c21_S1.filtered.gene_spectra_score.k_12.dt_0_01.txt,prerank,HALLMARK_ALLOGRAFT_REJECTION,-0.5884537428690138,-2.5705854931957974,0.0,0.0,0.0,83/121,27.62%,CTSS;IL2RG;CD74;ITGAL;CCND2;IL16;LTB;SRGN;CD79A;HCLS1;CD2;ETS1;PTPRC;CD96;FYB1;MAP4K1;ZAP70;ITGB2;PTPN6;CD3E;IRF4;CD4;LCP2;CD3D;IRF8;CD40;PRKCB;ITK;NCF4;LCK;CCL5;IL2RB;STAB1;CD28;CD8A;WAS;SPI1;CD247;CD7;FGR;STAT4;IL12RB1;C2;CCR5;CD3G;LY75;TLR6;HDAC9;TIMP1;ICAM1;FCGR2B;THY1;SIT1;IL18;IL27RA;PRF1;LY86;CXCR3;CD1D;CSF1;TRAT1;CD40LG;GPR65;GZMA;CCL11;JAK2;IL7;IRF7;ACHE;IL2RA;CCR2;KLRD1;FASLG;CCL2;CD80;CCND3;TNF;CFP;CCL4;IL18RAP;TLR1;CCR1;NLRP3
12,1,anal_pc5_c21_S1.filtered.gene_spectra_score.k_12.dt_0_01.txt,prerank,HALLMARK_E2F_TARGETS,0.8939798266558876,2.522779882735532,0.0,0.0,0.0,48/54,7.50%,HELLS;CDK1;MCM2;MCM4;EZH2;TOP2A;LMNB1;CENPM;SMC4;HMGB2;CIT;MKI67;PTTG1;TCF19;CCNB2;TACC3;CDKN2C;MYBL2;TK1;CDKN2A;RRM2;MCM6;BIRC5;AURKB;KIF18B;DLGAP5;LIG1;HMMR;SPAG5;PLK1;NCAPD2;CDCA3;KIF2C;KIF22;SPC25;CDC20;POLE;MELK;KPNA2;ESPL1;CKS2;ORC6;CENPE;DEPDC1;DIAPH3;ANP32E;TFRC;CDCA8
12,1,anal_pc5_c21_S1.filtered.gene_spectra_score.k_12.dt_0_01.txt,prerank,HALLMARK_G2M_CHECKPOINT,0.8591740313754718,2.4856591805036015,0.0,0.0,0.0,59/68,12.04%,NUSAP1;CDK1;MCM2;EZH2;TOP2A;LMNB1;TROAP;SMC4;MKI67;PTTG1;TPX2;PRC1;NDC80;KIF23;ODC1;CCNB2;TACC3;CDKN2C;MYBL2;KIF11;RAD54L;MCM6;E2F1;BIRC5;AURKB;CDC45;HMMR;CENPF;PLK1;KIF2C;KIF22;CDC20;POLE;POLQ;KPNA2;ESPL1;CKS2;BUB1;INCENP;ORC6;CENPE;CCNF;TTK;UBE2C;FBXO5;KIF15;SLC7A1;KIF20B;NEK2;FANCC;EXO1;CENPA;AURKA;MT2A;MAP3K20;KIF4A;SMAD3;SNRPD1;CDC25B
12,1,anal_pc5_c21_S1.filtered.gene_spectra_score.k_12.dt_0_01.txt,prerank,HALLMARK_MITOTIC_SPINDLE,0.7466756229392765,2.2216476061869948,0.0,0.0,0.0,48/77,14.28%,DST;NUSAP1;CDK1;TOP2A;LMNB1;CEP72;ECT2;ANLN;SMC4;TPX2;PRC1;NDC80;KIF23;CCNB2;KIF11;BIRC5;DLGAP5;CENPF;PLK1;PALLD;CEP250;FARP1;KIF2C;KIF22;ESPL1;BUB1;INCENP;CENPE;TTK;FBXO5;KIF15;KNTC1;KIF20B;GSN;NEK2;CDC42EP4;MID1;PIF1;BCL2L11;AURKA;KIF4A;STK38L;CCDC88A;NET1;NEDD9;TIAM1;DOCK4;FSCN1
12,1,anal_pc5_c21_S1.filtered.gene_spectra_score.k_12.dt_0_01.txt,prerank,HALLMARK_IL6_JAK_STAT3_SIGNALING,-0.5058609810977666,-1.9939656323494774,0.0,0.0,0.0,29/53,28.38%,IL2RG;PLA2G2A;LTB;ITGA4;A2M;TNFRSF1B;CSF2RB;IRF1;IL1R2;PIK3R5;CD14;IL12RB1;MAP3K8;CD38;HMOX1;CSF1;CSF2RA;IL3RA;CD36;IL7;IL2RA;CXCL1;IL18R1;IL9R;TNF;IL1R1;CSF3R;CCR1;FAS
12,1,anal_pc5_c21_S1.filtered.gene_spectra_score.k_12.dt_0_01.txt,prerank,HALLMARK_INTERFERON_GAMMA_RESPONSE,-0.40924588508018006,-1.837242674421603,0.0,0.00468352736518132,0.007063572149344097,46/111,20.54%,CD74;NLRC5;ITGB7;CIITA;SLAMF7;IL10RA;PTPN6;IRF4;LCP2;ZBP1;IRF8;CD40;CFB;C1S;BANK1;CASP8;CSF2RB;IRF1;CCL5;IL2RB;FGL2;SAMHD1;KLRK1;SP110;SAMD9L;ISG20;ST3GAL5;CFH;STAT4;TNFAIP3;RNF213;CD69;EIF4E3;ICAM1;VCAM1;SERPING1;CD38;PDE4B;IFITM2;GBP4;UPP1;C1R;GZMA;JAK2;IL7;IRF7
12,1,anal_pc5_c21_S1.filtered.gene_spectra_score.k_12.dt_0_01.txt,prerank,HALLMARK_COMPLEMENT,-0.4095820121459037,-1.8094091252092583,0.0,0.005018065034122842,0.010090817356205853,68/122,27.12%,CTSS;CA2;SERPINA1;KLK1;LGALS3;SPOCK2;DOCK10;LCP2;CTSC;CFB;FN1;C1S;LCK;IRF1;CD55;CCL5;DUSP5;FYN;CASP10;WAS;PIK3R5;RASGRP1;CFH;EHD1;SH2B3;CR1;TNFAIP3;C2;PRSS3;CPM;TIMP1;SERPING1;PLEK;C1QC;C3;LGMN;CD40LG;APOBEC3G;GNG2;C1QA;S100A12;STX4;CTSH;CP;GZMK;C1R;CTSL;GZMA;JAK2;ZEB1;CD36;IRF7;TFPI2;ITGAM;DPP4;CSRP1;FCER1G;CDA;GATA3;CTSD;DUSP6;CXCL1;TIMP2;CPQ;CR2;LIPA;PLA2G7;HSPA5
12,1,anal_pc5_c21_S1.filtered.gene_spectra_score.k_12.dt_0_01.txt,prerank,HALLMARK_KRAS_SIGNALING_UP,-0.40849155847338875,-1.807953438990989,0.0,0.004014452027298274,0.010090817356205853,61/131,24.08%,CTSS;IL2RG;LAPTM5;TMEM176B;IKZF1;CCND2;DOCK2;SPON1;CA2;CD37;ETS1;PECAM1;LCP1;TMEM176A;IL10RA;MAP4K1;PRDM1;ITGB2;TNFRSF1B;TSPAN1;FUCA1;ENG;TRAF1;EPHB2;CXCR4;KCNN4;IL7R;IRF8;ST6GAL1;CFB;ADAM8;ACE;BIRC3;ADAMDEC1;ABCB1;CFH;TNFAIP3;TRIB1;LAT2;HDAC9;MALL;ADGRA2;ERO1A;NRP1;PLVAP;CSF2RA;GLRX;GNG11;VWA5A;IL33;C3AR1;LY96;F13A1;IGFBP3;ID2;CCL20;FCER1G;TMEM100;ADGRL4;DUSP6;PPP1R15A
12,1,anal_pc5_c21_S1.filtered.gene_spectra_score.k_12.dt_0_01.txt,prerank,HALLMARK_SPERMATOGENESIS,0.652736385303345,1.754100872076325,0.0011862396204033216,0.0023963298990209644,0.011,13/36,13.48%,CDK1;EZH2;GSTM3;CCNB2;HSPA4L;KIF2C;BUB1;TTK;NEK2;HSPA2;AURKA;TCP11;DMC1
12,1,anal_pc5_c21_S1.filtered.gene_spectra_score.k_12.dt_0_01.txt,prerank,HALLMARK_HEDGEHOG_SIGNALING,0.6879042045322301,1.606872195402482,0.008053691275167786,0.023701881183043724,0.127,7/17,12.14%,ADGRG1;NRCAM;CELSR1;HEY1;CRMP1;DPYSL2;VLDLR
