NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_112	CR2	4919	-0.001149745425209403	-0.5115212	Yes	
row_113	GAPT	4927	-0.0011898247757926583	-0.4994665	Yes	
row_114	MEF2C	4930	-0.0011964007280766964	-0.48630905	Yes	
row_115	FCRL5	4933	-0.0012121876934543252	-0.47297254	Yes	
row_116	LYL1	4934	-0.001217731973156333	-0.45916188	Yes	
row_117	SPIB	4942	-0.001260008430108428	-0.44631118	Yes	
row_118	BTK	4945	-0.001307012396864593	-0.43189922	Yes	
row_119	SWAP70	4948	-0.0013243440771475434	-0.41729072	Yes	
row_120	LAT2	4956	-0.0014372568111866713	-0.4024298	Yes	
row_121	POU2AF1	4964	-0.001531936228275299	-0.38649508	Yes	
row_122	PLCG2	4969	-0.0016574547626078129	-0.3685199	Yes	
row_123	CD79B	4977	-0.0019263036083430052	-0.34811255	Yes	
row_124	IRF8	4978	-0.0019418074516579509	-0.32608995	Yes	
row_125	CD74	4980	-0.0019479288021102548	-0.30420354	Yes	
row_126	CD79A	4982	-0.002045019529759884	-0.28121597	Yes	
row_127	CR1	4983	-0.0020899521186947823	-0.2575132	Yes	
row_128	CD40	4985	-0.002136696595698595	-0.23348592	Yes	
row_129	TNFRSF13B	4987	-0.002221067901700735	-0.20850174	Yes	
row_130	TNFRSF13C	4988	-0.0022961755748838186	-0.18246013	Yes	
row_131	CD19	4989	-0.0024089927319437265	-0.15513901	Yes	
row_132	BANK1	4991	-0.002522494178265333	-0.12673628	Yes	
row_133	PAX5	4993	-0.0025432808324694633	-0.0980978	Yes	
row_134	FCRL1	4995	-0.0025796936824917793	-0.06904635	Yes	
row_135	CD22	4998	-0.0029479856602847576	-0.036023624	Yes	
row_136	MS4A1	4999	-0.0031763501465320587	3.209134E-7	Yes	
