NAME	GS<br> follow link to MSigDB	GS DETAILS	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE	
GOBP_B_CELL_DIFFERENTIATION	GOBP_B_CELL_DIFFERENTIATION	Details ...	73	-0.7143728	-1.7771461	0.0	0.20223556	0.159	252	tags=34%, list=5%, signal=36%	
GOBP_B_CELL_RECEPTOR_SIGNALING_PATHWAY	GOBP_B_CELL_RECEPTOR_SIGNALING_PATHWAY	Details ...	56	-0.71648854	-1.7521054	0.0	0.18682249	0.27	158	tags=39%, list=3%, signal=40%	
GOBP_B_CELL_ACTIVATION	GOBP_B_CELL_ACTIVATION	Details ...	137	-0.64564717	-1.7463057	0.0	0.13917989	0.292	274	tags=32%, list=5%, signal=33%	
GOBP_REGULATION_OF_HUMORAL_IMMUNE_RESPONSE	GOBP_REGULATION_OF_HUMORAL_IMMUNE_RESPONSE	Details ...	29	-0.80582947	-1.7280006	0.0022935779	0.16193949	0.408	270	tags=24%, list=5%, signal=25%	
GOBP_HUMORAL_IMMUNE_RESPONSE_MEDIATED_BY_CIRCULATING_IMMUNOGLOBULIN	GOBP_HUMORAL_IMMUNE_RESPONSE_MEDIATED_BY_CIRCULATING_IMMUNOGLOBULIN	Details ...	31	-0.79138917	-1.727179	0.0	0.13171153	0.414	270	tags=26%, list=5%, signal=27%	
GOBP_NEGATIVE_REGULATION_OF_SYNAPTIC_TRANSMISSION	GOBP_NEGATIVE_REGULATION_OF_SYNAPTIC_TRANSMISSION	Details ...	18	-0.87290925	-1.690917	0.0021321962	0.24188215	0.711	271	tags=22%, list=5%, signal=23%	
GOBP_MACROPHAGE_CYTOKINE_PRODUCTION	GOBP_MACROPHAGE_CYTOKINE_PRODUCTION	Details ...	22	-0.8568754	-1.6903939	0.0	0.20986095	0.717	252	tags=36%, list=5%, signal=38%	
GOBP_REGULATION_OF_MORPHOGENESIS_OF_A_BRANCHING_STRUCTURE	GOBP_REGULATION_OF_MORPHOGENESIS_OF_A_BRANCHING_STRUCTURE	Details ...	30	-0.7737017	-1.6726594	0.0	0.25691998	0.822	69	tags=7%, list=1%, signal=7%	
GOBP_POSITIVE_REGULATION_OF_INTERLEUKIN_6_PRODUCTION	GOBP_POSITIVE_REGULATION_OF_INTERLEUKIN_6_PRODUCTION	Details ...	60	-0.69588566	-1.665665	0.0022522523	0.26204085	0.857	252	tags=22%, list=5%, signal=23%	
GOBP_ANTIGEN_PROCESSING_AND_PRESENTATION_OF_EXOGENOUS_ANTIGEN	GOBP_ANTIGEN_PROCESSING_AND_PRESENTATION_OF_EXOGENOUS_ANTIGEN	Details ...	16	-0.86010486	-1.6611298	0.0043956046	0.2569702	0.88	341	tags=50%, list=7%, signal=53%	
GOBP_COMPLEMENT_ACTIVATION	GOBP_COMPLEMENT_ACTIVATION	Details ...	33	-0.74148387	-1.6161804	0.006637168	0.50888705	0.996	270	tags=12%, list=5%, signal=13%	
GOBP_HUMORAL_IMMUNE_RESPONSE	GOBP_HUMORAL_IMMUNE_RESPONSE	Details ...	146	-0.5880766	-1.6088374	0.0	0.52294064	0.999	270	tags=14%, list=5%, signal=14%	
GOBP_B_CELL_PROLIFERATION	GOBP_B_CELL_PROLIFERATION	Details ...	59	-0.67108494	-1.6040094	0.0064655175	0.51665616	0.999	274	tags=32%, list=5%, signal=34%	
GOBP_REGULATION_OF_B_CELL_PROLIFERATION	GOBP_REGULATION_OF_B_CELL_PROLIFERATION	Details ...	45	-0.69696784	-1.5967629	0.010729614	0.53729874	1.0	525	tags=44%, list=11%, signal=49%	
