label,label_kind,K_selected,GEP_selected,n_samples,members_str,rogue_verdict,median_delta,fraction_samples_positive,delta_IQR,median_effective_programs,median_normalized_entropy,identity_unresolved_fraction,between_cell_JSD,dominant_gep_entropy,largest_dominant_gep_fraction,n_dominant_geps_over_10pct,median_conflict,median_conflict_uncorrected,closure_offset_mean,median_interaction_strength,fraction_conflicted,fraction_coordinated,fraction_interaction_unmeasured,mechanism_verdict,mechanism_reason,final_recommendation,verdict_confidence,adjacent_K_consistency,sample_consistency,n_cells_A,n_cells_B,n_cells_AB,rogue_selection_flag
DC_family,family,31,1,63,Mono_CD14,tie,0.0010890744049086,0.5128205128205128,0.1521988919289332,4.9615379272815066,0.6679673531215395,0.0016302575806977503,0.27959189111138816,0.8865763228747003,0.678314826910516,2,0.3186312878830402,0.17894868070536402,-0.02661442886104365,0.048457030970276066,0.08770785784153896,0.11477013368112161,0.20932507336159112,complex_multi_route,both within-cell diversity and between-cell disagreement high,no action -- no purity or mechanism evidence,high,,1.0,3067,2107,164,
DC_pDC,specific,18,2,62,DC_pDC,tie,0.0019346283075118002,0.5833333333333334,0.021609106653845522,1.4704240807635858,0.1981339424576487,0.23253833049403747,0.06405234092146306,0.02231928846141279,0.9966703662597114,1,0.24239000345430922,0.911034597854123,-0.14251262256892483,0.0872159017061522,0.03492333901192504,0.14906303236797275,0.1524701873935264,uniform_identity_unexplained,cells agree on one program; identity does not explain impurity,no action -- no purity or mechanism evidence,moderate,0.5,0.3387096774193548,1174,942,802,
Mac_CXCL9+Mac_IL1Bint,subgroup,14,4,34,Mac_CXCL9+Mac_IL1Bint,tie,-0.013911281896949249,0.16666666666666666,0.02238158973454545,2.3490815273002434,0.777366517597796,0.5332875772134523,0.30569618288407896,1.0797365017150964,0.38823529411764707,3,0.3680498970510295,1.0,-0.48616736544364275,0.08080551421273706,0.05284831846259437,0.09437199725463281,0.0936856554564173,identity_unresolved,identity mass too low across the population,no_identity_verdict -- investigate inputs,high,0.0,1.0,2914,1552,1504,
Mac_CXCL9+Mac_IL1Bint+Mac_SPP1,subgroup,6,3,34,Mac_CXCL9+Mac_IL1Bint+Mac_SPP1,less_pure,-0.08949278671075,0.0,0.06899138928924195,2.3905356906510327,0.6286669726275499,0.21088243586129124,0.33293936632655596,1.0298199113909015,0.49267595569846373,3,0.11084482036359711,0.7016526808245511,-0.31964438834563197,0.0951145378892854,0.07301945305892303,0.15731604172540176,0.1381449111925571,complex_multi_route,both within-cell diversity and between-cell disagreement high,do not refine (complex_multi_route),high,1.0,0.9705882352941176,3547,2382,2292,
Mac_IL1B,specific,25,5,20,Mac_IL1B+Mac_IL1Bint+Mono_TIL,less_pure,-0.0510985622061331,0.0,0.03248700887189068,3.6715406622416253,0.4690963940924874,0.0,0.398085242707398,0.48666753864086976,0.8992248062015504,1,0.3140940052503348,0.3323689110788542,-0.05371781986058088,0.0444608527905635,0.05167958656330749,0.11627906976744186,0.2454780361757106,complex_multi_route,both within-cell diversity and between-cell disagreement high,do not refine (complex_multi_route),high,,1.0,774,1394,696,
Mac_IL1B+Mac_IL1Bint,subgroup,25,5,31,Mac_IL1B+Mac_IL1Bint,less_pure,-0.0667912460031388,0.0,0.05085256760575896,5.96646499127382,0.6442191043103124,0.00038226299694189603,0.542003093115135,1.7215025726815276,0.3961759082217973,4,0.19061801002712722,0.2221236655530931,-0.04972479847705224,0.0405888107721321,0.052370030581039756,0.14640672782874617,0.2090978593272171,complex_multi_route,both within-cell diversity and between-cell disagreement high,do not refine (complex_multi_route),high,1.0,1.0,2616,1394,1034,
Mac_SPP1,specific,31,4,19,Mac_SPP1,tie,0.017825430421739098,0.75,0.07634549034992069,5.465766436865725,0.7083313336016377,0.014010507880910683,0.35847546009236275,1.4863438302296137,0.413854351687389,4,0.1821367566669282,0.22543200005091052,-0.03826579765374393,0.057419949496494795,0.040280210157618214,0.12784588441331,0.2504378283712785,complex_multi_route,both within-cell diversity and between-cell disagreement high,no action -- no purity or mechanism evidence,high,,0.9473684210526315,571,567,224,
Macrophage_family,family,23,16,34,Mac_IL1B,tie,0.00548798721183105,0.5,0.044015593303958774,3.1646307832414746,0.6429637118960598,0.5377777777777778,0.5367625706064421,1.39610682009661,0.4939271255060729,4,0.32507714429813295,0.8583320533410025,-0.19679215247536866,0.03970323712024402,0.04163742690058479,0.087953216374269,0.12280701754385964,identity_unresolved,identity mass too low across the population,no_identity_verdict -- investigate inputs,moderate,0.0,1.0,4275,336,327,
Mast,specific,18,3,28,Mast,tie,0.00924477488308045,0.6666666666666666,0.0256368823405642,1.9150424919991247,0.33390021206033227,0.019169329073482427,0.34868044992308145,0.6063450548285086,0.762214983713355,2,0.5531954210240719,1.0,-0.1320023149649203,0.038602536042765735,0.10543130990415335,0.14696485623003194,0.19808306709265175,complex_multi_route,both within-cell diversity and between-cell disagreement high,no action -- no purity or mechanism evidence,high,1.0,0.8214285714285714,313,234,232,
Mono_CD14+Mono_CD14_IL1B,subgroup,20,1,59,Mono_CD14+Mono_CD14_IL1B,tie,-0.0102242410502209,0.0,0.036290852990293096,2.841467683626726,0.47529083711535197,0.00021461530207103768,0.24842753152516295,0.7003474535918881,0.6909949554577653,2,0.14716537026884147,0.1337694949680105,-0.11127951445256318,0.07764948679269912,0.05097113424187145,0.17104839575061703,0.1817791608541689,complex_multi_route,both within-cell diversity and between-cell disagreement high,no action -- no purity or mechanism evidence,high,1.0,0.9830508474576272,9319,8961,6427,
Mono_CD14+Mono_CD14_THBS1,subgroup,20,1,56,Mono_CD14+Mono_CD14_THBS1,tie,0.00200391028864815,0.5,0.011458429746465926,2.750676876636044,0.4605114219548748,0.00010751532093323298,0.24846363350819578,0.6528487043852667,0.7375268817204301,2,0.1170375952012972,0.1431731911526617,-0.1119097053618473,0.0734058278117619,0.0514998387270186,0.1772927642189012,0.1750349424793033,complex_multi_route,both within-cell diversity and between-cell disagreement high,no action -- no purity or mechanism evidence,high,1.0,0.9821428571428571,9301,8961,6856,
Mono_CD14+Mono_CD16,subgroup,29,3,55,Mono_CD14+Mono_CD16,tie,-0.02663161776571325,0.0,0.046883426946889926,4.408559654342585,0.5970236456344865,0.0005987426404550444,0.3952944657122346,0.9374719672590981,0.6463305042436346,3,0.4166165474797363,0.6435077122145139,-0.0830795561352004,0.03584911408208656,0.09370322323121445,0.10847220836243888,0.2010777367528191,complex_multi_route,both within-cell diversity and between-cell disagreement high,no action -- no purity or mechanism evidence,high,0.0,1.0,10021,3633,912,
