GEP,Bcells_CD19,CD4+Tcells,CD8+Tcells,CD8+Tcells_Ki67,DC_CD207,DC_CLEC9A,DC_LAMP3,Endothelials,Fibroblasts/Stromal,Mac_C1Q_SPP1,Mac_C1Q_ZEB2,Mast,Mon_VCAN,NKcells,Plasma_XBP1,Tregs,Tumor/Epithelials
1,0.0,1.0,1.0,0.6846846846846847,0.0,0.0,0.0,1.0,1.0,0.089,0.0,0.985,0.0,1.0,1.0,1.0,1.0
2,1.0,1.0,1.0,1.0,0.996,0.877,0.974,1.0,1.0,0.335,1.0,1.0,0.982,1.0,1.0,1.0,0.0
3,1.0,0.0,0.0,0.026,0.626,1.0,0.102,1.0,1.0,0.565,0.0,0.995,0.427,0.36,1.0,0.0,1.0
4,1.0,1.0,1.0,1.0,1.0,1.0,0.996,1.0,1.0,1.0,1.0,0.993,1.0,1.0,1.0,1.0,0.0
5,1.0,1.0,1.0,0.021,0.366,0.568,0.561,1.0,1.0,0.522,0.5,1.0,0.275,1.0,0.0,1.0,1.0
6,1.0,1.0,1.0,0.99,0.297,0.278,0.648,0.0,0.0,0.706,0.001,0.915,0.074,1.0,1.0,1.0,0.0
7,1.0,0.0,0.0,0.0,0.693,0.807,1.0,0.984,1.0,0.364,0.0,0.971,0.882,0.927,1.0,0.0,0.0
8,1.0,1.0,1.0,1.0,0.983,0.99,0.982,0.611,0.0,0.131,0.512,1.0,0.914,1.0,1.0,1.0,0.973
9,1.0,0.018,0.0,0.005,0.016,0.074,0.741,0.985,1.0,0.793,0.0,0.384,0.005,0.0,1.0,0.624,1.0
10,1.0,1.0,1.0,0.966,0.987,0.935,0.482,0.15,0.0,1.0,1.0,0.999,0.999,1.0,1.0,1.0,0.0
11,1.0,1.0,1.0,0.738,0.009,0.151,0.005,0.914,0.053,0.02,0.912,1.0,0.052,1.0,0.0,1.0,0.0
12,1.0,1.0,1.0,0.985,0.998,0.998,0.812,0.997,1.0,0.471,0.543,0.866,0.998,1.0,1.0,1.0,0.0
13,1.0,1.0,1.0,0.953,0.305,0.117,0.826,0.007,0.0,0.741,0.014,0.403,0.581,1.0,1.0,1.0,0.0
14,1.0,1.0,1.0,0.997,0.846,0.977,0.451,0.033,0.991,0.88,0.733,0.929,0.866,1.0,1.0,1.0,0.0
15,0.928,0.0,0.0,0.4729458917835671,0.256,0.1041041041041041,1.0,0.991,1.0,0.6676676676676677,0.017,0.819,0.255,0.098,1.0,0.0,1.0
16,1.0,1.0,1.0,0.766,0.992,0.767,0.542,1.0,1.0,0.667,1.0,0.611,0.97,1.0,1.0,1.0,0.0
17,1.0,1.0,1.0,0.366,0.007,0.068,0.036,0.734,0.999,0.046,0.0,0.0,0.003,0.456,1.0,1.0,0.746
18,1.0,1.0,1.0,0.5315682281059063,0.9459459459459459,0.7307307307307307,0.7808080808080808,0.848,0.905,0.7280966767371602,0.99,0.551,0.7667667667667668,0.933,1.0,0.996,0.0
19,1.0,1.0,1.0,0.011011011011011011,0.142,0.289,0.779,0.001,0.0,1.0,0.237,0.768,0.693,1.0,1.0,1.0,0.984
20,1.0,1.0,1.0,0.813,0.469,0.866,0.115,0.313,0.71,0.837,0.409,0.54,0.593,0.993,1.0,1.0,0.0
21,1.0,1.0,1.0,0.582,1.0,1.0,1.0,0.0,0.002,1.0,0.0,0.0,1.0,0.968,1.0,1.0,0.0
22,1.0,1.0,1.0,0.11,0.626,0.944,0.192,0.852,0.01,0.211,0.061,0.381,0.247,0.771,1.0,1.0,0.0
23,0.997,0.999,0.626,0.5,1.0,1.0,0.6666666666666666,0.04,0.0,0.0020060180541624875,0.0,0.0,1.0,0.672,1.0,0.966,1.0
24,0.985,0.997,0.72,0.35110663983903423,0.353,0.8648648648648649,0.23346693386773548,0.752,0.326,0.848,0.983,0.851,0.663,0.6,1.0,1.0,0.0
25,1.0,1.0,1.0,0.6724137931034483,1.0,0.9338677354709419,0.6300403225806451,0.285,1.0,0.7191574724172518,0.407,0.409,0.7131394182547643,0.4,1.0,0.991,0.0
26,0.81,0.588,0.893,0.5352697095435685,0.3487903225806452,0.8393574297188755,0.1670061099796334,0.123,0.29,0.8088978766430738,0.092,0.517,0.10130391173520562,0.791,0.433,0.936,0.994
