GEP,Bcells_CD19,CD4+Tcells,CD8+Tcells,CD8+Tcells_Ki67,DC_CD207,DC_CLEC9A,DC_LAMP3,Endothelials,Fibroblasts/Stromal,Mac_C1Q_SPP1,Mac_C1Q_ZEB2,Mast,Mon_VCAN,NKcells,Plasma_XBP1,Tregs,Tumor/Epithelials
1,1.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0
2,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.9998823529411764
3,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
4,0.0,1.0,1.0,1.0,0.00031372549019607844,0.00023529411764705883,0.00047058823529411766,1.0,1.0,0.0,1.0,1.0,0.04931764705882353,1.0,1.0,1.0,1.0
5,1.0,0.9999411764705882,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0
6,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
7,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
8,1.0,0.9999411764705882,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0
9,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.012
10,1.0,1.0,1.0,0.0,0.22,0.252,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0015
11,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.9998823529411764,1.0,1.0
12,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.001,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
13,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.45599999999999996
14,1.0,1.0,1.0,1.0,0.22933333333333333,1.0,0.08800000000000001,1.0,1.0,0.9973529411764706,0.4195,0.0,0.4324,1.0,1.0,1.0,1.0
