GEP,Bcells_CD19,CD4+Tcells,CD8+Tcells,CD8+Tcells_Ki67,DC_CD207,DC_CLEC9A,DC_LAMP3,Endothelials,Fibroblasts/Stromal,Mac_C1Q_SPP1,Mac_C1Q_ZEB2,Mast,Mon_VCAN,NKcells,Plasma_XBP1,Tregs,Tumor/Epithelials
1,1.0,1.0,1.0,0.997,1.0,0.94,0.998,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
2,1.0,0.0,0.0,0.0,0.812,0.995,0.874,1.0,1.0,0.996,0.61,0.964,0.68,0.0,1.0,0.0,1.0
3,1.0,1.0,1.0,0.958,1.0,1.0,0.994,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
4,1.0,1.0,1.0,0.922,0.996,0.982,0.052,1.0,1.0,0.993,1.0,1.0,0.997,1.0,0.0,1.0,1.0
5,0.0,1.0,1.0,0.794,0.022,0.005,0.801,1.0,1.0,1.0,0.874,0.979,0.09,1.0,1.0,1.0,1.0
6,1.0,1.0,1.0,0.97,1.0,0.998,0.933,1.0,1.0,0.977,1.0,1.0,1.0,1.0,1.0,1.0,0.0
7,1.0,1.0,1.0,0.999,0.96,0.833,0.939,0.752,0.0,0.953,1.0,0.996,0.989,1.0,1.0,1.0,1.0
8,1.0,1.0,1.0,0.991,0.974,0.912,0.782,1.0,1.0,0.919,1.0,0.997,0.99,1.0,1.0,1.0,0.0
9,1.0,1.0,1.0,0.917,0.0,0.0,0.358,0.944,0.999,0.0,0.0,0.574,0.0,0.949,1.0,1.0,1.0
10,1.0,1.0,1.0,0.0,0.012,0.01,0.83,1.0,1.0,0.99,1.0,1.0,1.0,1.0,1.0,1.0,0.0
11,1.0,1.0,1.0,0.502,0.96,0.826,0.759,0.0,0.074,1.0,0.976,0.682,0.924,1.0,1.0,1.0,1.0
12,1.0,1.0,1.0,0.915,0.844,0.996,0.911,0.102,0.0,0.679,1.0,0.95,1.0,1.0,1.0,1.0,1.0
13,1.0,1.0,1.0,0.824,0.998,0.538,0.712,0.948,1.0,0.71,1.0,0.82,0.752,0.997,1.0,1.0,0.0
14,0.969,0.971,1.0,0.621,0.0,0.0,0.0,0.732,0.164,0.001,0.0,0.039,0.074,0.405,1.0,0.814,1.0
15,1.0,1.0,1.0,0.726,0.025,0.844,0.586,0.458,0.86,0.99,0.067,0.0,0.256,0.455,1.0,0.997,1.0
