GEP,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
1,0.9981385798984864,0.4654046766621346,0.6802607050560915,0.45807369541133736,0.4797914595701058,0.47323565047365423,0.5223425058132826,0.216547265016373,0.11122894579432953,0.5027674000623532,0.4826403451551575,0.474110334226592,0.25856484844383637,0.4700474603372794,0.4853373897211217,0.31161570542647066,0.17407005598699657
2,0.46969160956202277,0.547493119834078,0.7991701311580158,0.9898476541302758,0.9906676470030663,0.9928988167791797,0.9837136145955346,0.559022125629208,0.2942029859324492,0.9904548567034897,0.9933075149615683,0.9927960423995528,0.5306259662218247,0.9932230065509589,0.9932572575354273,0.7430927749090317,0.26528484680370146
3,0.315801672396813,0.3425299883667326,0.5879784180695826,0.7565658150494895,0.7575738613542249,0.7778084134833978,0.7009584106163335,0.7804642976375242,0.3896930725206951,0.7781750762724574,0.7548463100935815,0.7846298985022581,0.3783418216275619,0.7865630608366363,0.7733603545873277,0.9915329472265295,0.16371974241597645
4,0.47156064523604463,0.481046153753615,0.7820579865241022,0.9950208999204117,0.9955006942062434,0.9991192168815137,0.9849291046399344,0.6234170136444838,0.3113592074434792,0.9957692954442883,0.9978114910910078,0.9996929367392452,0.5060169471557128,0.999692948277226,0.9996368760825881,0.7895942209464911,0.25229131060263044
5,0.4678942222716722,0.4381794495386236,0.789356184493905,0.9993078933291187,0.9990327346691352,0.9977035760223286,0.9939641625953964,0.5855653779218651,0.3099666717069542,0.9966167971459731,0.9987598901758061,0.9955246592328786,0.5341434869601034,0.9959601764700757,0.9957937408780192,0.7601140587328736,0.2628194581537617
6,0.47587065023589326,0.46608100139254033,0.7973602262314375,0.9983380416475014,0.9991669671127418,0.9994442368593909,0.9910660067112991,0.6104504719481934,0.30907236726496945,0.9977772438419958,0.9993182389612424,0.9984598073509118,0.5123635016675845,0.9987211136626001,0.9985785052231674,0.7800285473060498,0.26162384574902886
7,0.4707448428456775,0.4585205032928367,0.7782287415631164,0.9984372195471147,0.9986077475198506,0.9998134609905314,0.9904911817570409,0.6162121401913584,0.31483356995087025,0.9976530006797091,0.9992565935675106,0.9987570674914783,0.5169546061291176,0.9989558005198416,0.9988275498260976,0.7799506461726775,0.25697465846268797
8,0.5310671094498688,0.4617774782822971,0.8435056970563439,0.9903988512467178,0.9929408857868466,0.9870140879000705,0.9994927853023382,0.5638600724489916,0.31483706675794804,0.992652566489357,0.9905002755198627,0.982236991360544,0.5556208606882059,0.9832991456182477,0.9842447621023684,0.7160366485048444,0.3095867122463478
9,0.1656365368920292,0.1606332410458237,0.39857283459893444,0.3976302297882846,0.40302038424203585,0.40870129990845366,0.4410364377929888,0.3361250085225174,0.7364751959954307,0.42645077970281686,0.39497053654499314,0.3955165466115072,0.7523764192103088,0.39844739011816405,0.40285829790068794,0.27708596750510645,0.5403549875210453
10,0.49771670166019394,0.4767614694370255,0.8092513302428457,0.9962265425773776,0.9977285393887187,0.9986631219299481,0.9921802288711702,0.6223773905351184,0.32638316884785595,0.999675581534311,0.9977825247423302,0.9974058081073676,0.5294318631997209,0.9978158146590778,0.9981333683780972,0.7847465040014832,0.27590661033026626
11,0.46989745921982323,0.46618517297690754,0.7688468437104973,0.9954721928877585,0.9953598281285262,0.999312019458771,0.9837880761023916,0.6308253959446252,0.31040952219406537,0.9952519891792003,0.9977395750969132,0.9999859654584273,0.4986574211384771,0.9998818441133471,0.9997255972449134,0.7950437697607131,0.24427684103060154
12,0.48747181013224195,0.4784420984119691,0.795625957530754,0.9979138311748031,0.9983065565545262,0.999409195417754,0.991214590021346,0.6002109599519749,0.30470916591071784,0.9972467173415395,0.9997654578089704,0.9987222407657367,0.5141495682954362,0.9989203805096806,0.9989505808310776,0.771431568531642,0.25804756409698176
13,0.2982358304958851,0.2999278646559666,0.5567016784519427,0.6480787988724772,0.6394033081035637,0.6428385872363122,0.6738219402104977,0.35063566839642274,0.4498976851608169,0.6559579141785419,0.6354274022592427,0.6313874536347954,0.769459818174141,0.6347511723515797,0.6369092460896381,0.4734004131632929,0.3442315438996532
14,0.4674290725698298,0.46678816518440414,0.7727895417763299,0.9961289421686892,0.9962834204707325,0.9995257459059002,0.9855989744917282,0.6295763963644407,0.3154949056665778,0.9963778770234666,0.9980225183141508,0.9998185292077016,0.5075695326380183,0.9999633582352625,0.9997019912582905,0.7945696664750368,0.2505728764925694
15,0.47979988453625855,0.46492002730549414,0.7751171718956256,0.9954479258708973,0.9958481291290534,0.9994733781974022,0.9857548800898766,0.6292209504125682,0.3136571129867664,0.9965475451402394,0.9979283605163024,0.9998668168091412,0.5049815183124465,0.9998102716840048,0.9999230048608138,0.7907266207847189,0.25064648559785935
16,0.3086949374686232,0.2843677548507146,0.5754724209530305,0.7628064722833113,0.7630654980074799,0.783284644919077,0.7042260561675256,0.7843260159580351,0.3737918149731103,0.7823405991064926,0.7606277932561142,0.7909625722637845,0.3642459303312201,0.7925991308447378,0.7792730144289817,0.9999677422912524,0.16042016704741083
