GEP,1,2,3,4,5
1,0.9999865758260669,0.19043844463830303,0.2388253183659452,0.26154168092401325,0.25205477567923146
2,0.1734325172095982,0.9959766346990372,0.8632529091093043,0.8541824528036546,0.8268041736636539
3,0.2327713575479809,0.8665908999291396,0.999781714639949,0.9752493956730948,0.9896019748985029
4,0.26215597567395577,0.8560925489306355,0.9760690142035876,0.9999903703732675,0.9857410748103536
