GEP,1,2,3,4,5,6,7,8,9,10,11,12,13,14
1,0.7264186234038255,0.2033096911661151,0.28297087018131345,0.32335858323182187,0.30092032590364126,0.26974399021022294,0.23996201542910478,0.3137480638076524,0.31748625493021004,0.27090113474158917,0.2563211305714682,0.2626114635212488,0.28660453336675434,0.28148138926808297
2,0.12276871060411597,0.9998479764022757,0.7946111323084457,0.741474901345438,0.7226636290790184,0.7403180015908711,0.7847007022328786,0.7272146535843149,0.6889114333649484,0.753988775274782,0.755167467641152,0.767099456637535,0.7522229025395125,0.7488007875738438
3,0.15261928371887667,0.7767482020892212,0.9987938717404885,0.9887060058295967,0.9945071542156444,0.993908957969754,0.9906754710910599,0.9907228019330643,0.987924554766142,0.9919024864535696,0.9918699993486808,0.9872414837860478,0.9877848569988431,0.9880981927527074
4,0.17213864679482185,0.7405838520249115,0.9902331326132938,0.9999259812879044,0.9938985162929388,0.9947582651656279,0.9848818577346319,0.997677336768822,0.9956155846711598,0.9946390897219956,0.9908951600146622,0.9898749769245658,0.9937264775801401,0.9922829575807575
5,0.14772926840163142,0.7405478730875565,0.9951935465218539,0.9952279219165455,0.9968644182667268,0.9999270977950753,0.9933047659597207,0.9961996564366338,0.9946077423580721,0.9970536497896229,0.9971680333258325,0.9943615633433225,0.99554262236397,0.9952599294687371
6,0.13610936105535454,0.785294820086072,0.9936428439724495,0.9852350514773631,0.9904622191052783,0.9932557140109872,0.999944077459499,0.9862750084922769,0.9840471156957188,0.9927970578201792,0.9953532422201418,0.9924869970073168,0.992573218794805,0.9921649714325426
7,0.18863598873165122,0.6750327872968149,0.9872853066626118,0.9948015977190647,0.9963502402182931,0.9935719343356935,0.9815036872195239,0.9948525263924597,0.9995039019624302,0.9940596013517393,0.9896658771547977,0.9875081769439236,0.9918258668200841,0.991304333061901
8,0.1763674484014387,0.7245480239211974,0.9924304451807857,0.9980522799359829,0.9947582945773539,0.9962700066537398,0.9863053997203367,0.9999689040922313,0.9960397340610005,0.9942989468103328,0.9916890350628844,0.9920078018741437,0.9950744784617117,0.993691276604752
9,0.15267544616324757,0.7514275515128324,0.9939935012233504,0.995160308807876,0.9952856371283552,0.9971435360304969,0.9929999353865367,0.9944438654287397,0.9957828186609995,0.9999724424450387,0.996333001111402,0.9933647310544805,0.9952178086635242,0.9949064269813357
10,0.14401795711388762,0.7495705653034017,0.9946145639382818,0.9917688656812991,0.9942581386493279,0.9975725168241348,0.9953825142763754,0.9920813773599728,0.9925808709348641,0.9966630271771934,0.9999296288293962,0.9941145048370529,0.9956925198275551,0.9961430898034639
11,0.15457896612324504,0.7650029286036923,0.9909119522309638,0.9909515199769521,0.9912799503094318,0.9950774813143399,0.9931036365469351,0.9924100708054301,0.9909129354599705,0.9938989164106226,0.994583678820877,0.9999637784659229,0.9976472235081818,0.9986025336981766
12,0.16805568770047857,0.7488129089068124,0.992160164622097,0.9934197639329467,0.9932728139511221,0.9961145058878158,0.9929836829374111,0.9944261505069505,0.994638470228323,0.9955129426789056,0.9966927107692994,0.9988234467415951,0.9994471190850869,0.9999971107091589
13,0.17499097493200777,0.7523949564064584,0.9920119286703856,0.9943563162526813,0.9932977047773509,0.9960713628749089,0.9931323635973007,0.9955411461211136,0.9948179313495713,0.9954651818512184,0.9961470418756545,0.9978856876404977,0.9999776639837347,0.9994281920245098
