GEP,1,2,3,4,5,6,7,8,9,10,11,12,13
1,0.999964596771376,0.1994284924864831,0.28516091823605577,0.3288438293559065,0.2666123246782829,0.23719847078672396,0.3283218529484391,0.31492921460897966,0.27101408563536705,0.2543224291095145,0.2596504453854516,0.2825198328026221,0.28873393037398126
2,0.19804999185516264,0.9999529889375945,0.7775885366055233,0.7398420673713914,0.7407759396179922,0.7861575186463812,0.6743605315373409,0.7244720883542989,0.7516694957054206,0.749793727220937,0.7649682175738467,0.7485716391009382,0.7520622996393257
3,0.28439780417971494,0.7897580543951028,0.9996308438804753,0.9897237095805446,0.9952197797346058,0.9928462793969931,0.9879977541632681,0.9920628343764292,0.9935482545214777,0.9937116817087087,0.990220597678919,0.9910778215683256,0.9906971025511399
4,0.32622379900625903,0.7401537494062285,0.9883753077893699,0.9999868707016626,0.9948714428788001,0.9847099567688388,0.9947884577580864,0.997843685457299,0.9948195698707387,0.9913377049664667,0.9900382128109798,0.9926984147761586,0.9937604514917153
5,0.2659197311572263,0.737427219501424,0.9939603273335725,0.9946027078000793,0.9999897205151098,0.9930966766365189,0.9932162580902617,0.9961710689203083,0.9970777545851499,0.9974596036873435,0.9945581522549551,0.9953706439241803,0.9952859680074135
6,0.32100000072084584,0.6804136372956044,0.9885028761681429,0.9946102651601268,0.9939108844780687,0.9830485567982107,0.9998699243283432,0.9950780058608557,0.9948665008218468,0.9910879411165927,0.989073302285407,0.9926761487490651,0.9927901642449612
7,0.23843714614404254,0.7907094196838433,0.9908058235059395,0.9845096954494075,0.9931759861782588,0.9999786032772886,0.9808392990651293,0.9858542265872411,0.9926098595386904,0.995096375439549,0.9927790216258271,0.992461534216958,0.9926520889446753
8,0.3150590210647189,0.7250461762714402,0.9906219578115945,0.9977544302025163,0.9961161014014911,0.9856820105303198,0.9950208621873086,0.9999885992443778,0.994226451250333,0.9917360210843202,0.992121384125935,0.9940504990020614,0.9951201335318755
9,0.26959802874148453,0.754844041444174,0.9920199336942008,0.9944310086124404,0.997026513748753,0.9927609638529932,0.9939178612226989,0.9940935909960879,0.9999924575156812,0.9966364375973213,0.9934438598430088,0.9951215773407854,0.9951076729221344
10,0.25400144398126795,0.7523011062012137,0.9918617773901498,0.9909256826838704,0.9974029554666742,0.9951498701920607,0.9898792206708054,0.9916435239136503,0.9964658760661188,0.9999897034772041,0.9944062608378552,0.9963773600282507,0.9957547410355003
11,0.26086112964994784,0.7668589573153163,0.9872269780802417,0.9897550048722337,0.9944352463581263,0.9924441928110079,0.9874224624235329,0.9919871922074203,0.9932538022761969,0.9941479654590921,0.9999863552387813,0.9987394206732478,0.997773018832106
12,0.2818843036470088,0.7495881586881734,0.9881244455565592,0.9923904731761622,0.9953201929410204,0.9921064388459737,0.9913227372890117,0.9938547912216273,0.994861633106961,0.9960914571469822,0.9986408315464246,0.9999962777434666,0.9994744120507469
