GEP,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33
1,0.7655535308310498,0.6239423736747394,0.5466214989857193,0.4968469970728075,0.7179314839182936,0.5644990904967777,0.543313580521183,0.5012828068111838,0.4883953959725071,0.46576041586307565,0.4735985160093878,0.4687666592653189,0.5145699866669134,0.4838748605678149,0.17967377883102112,0.472086128390401,0.47327698348698105,0.46958152422337196,0.46804356263784563,0.31002476491282777,0.4670460641419362,0.31425395249593063,0.46733052683263077,0.10781577644178278,0.03415141343631643,0.4633363489412331,0.4656128239003151,0.46718058227557235,0.4668718119187654,0.4675230038468646,0.09094627048345855,0.07354208973891874,0.08544434304411785
2,0.8635504498158432,0.9712437396742905,0.9679780112270834,0.888460551731035,0.9695409149524418,0.9856393053301142,0.9839652934591709,0.9952760986378082,0.9880562925080562,0.9685320107516551,0.9696382944678367,0.9685030103001601,0.9873164556554925,0.9789325223621539,0.49797365340856814,0.96966793352723,0.973677903123261,0.9688638375727089,0.9684776759342115,0.6986887957744154,0.9728546260861187,0.6689125233696315,0.9695494517236309,0.22862281200885434,0.06449842608874065,0.9698421613108513,0.9695281741777992,0.9700771633806363,0.9701984984135733,0.9682613451524757,0.19535762945017146,0.16053408356729015,0.1885700763266265
3,0.7904780604233532,0.9892621679687497,0.9937679408266145,0.7942771416179025,0.9781737740716437,0.9991313517217483,0.9993319233755588,0.9938304903096651,0.9973824270160874,0.9937778725091782,0.9945411119388986,0.994101426370235,0.9908248001205251,0.9971540487202579,0.5689792058801493,0.9945712887045223,0.9960229063777001,0.9943830165940162,0.9941273387382304,0.7359856366159547,0.9950598644215121,0.65016438844814,0.9944958504682045,0.205028145738209,0.05513119119575716,0.9941560565874972,0.9943005148728921,0.994386884265723,0.9943990925345594,0.9939792241186753,0.1651856657705508,0.15113031557006743,0.1601826788938964
4,0.8233254054746292,0.9936602581743563,0.9922296313501526,0.8198699119879869,0.988943464055996,0.9978077560340755,0.9970054059601478,0.9936870523927923,0.9946414589776635,0.987016739235734,0.9882900496182329,0.9875011591217793,0.9898738684172781,0.993060039611119,0.5340510289190444,0.988522078238564,0.990278917675264,0.9877490786818595,0.9874874167630019,0.7367015010839024,0.9886005203021515,0.661362517551493,0.9880046530492268,0.2030875374547757,0.053989059882541254,0.9874474142387211,0.9876800230695421,0.9878655281470519,0.9878527155294055,0.9873115876997087,0.16614617958026937,0.150740786211919,0.1675665637703529
5,0.7470200370412169,0.9871033475187267,0.9943063479283017,0.7541831265554532,0.9687692217554305,0.9961553870753892,0.9977797351238545,0.9904291427665984,0.9956291574431145,0.9971132685609209,0.997537855490958,0.9973036957719287,0.9899603074711343,0.9966750721429322,0.6012270801759463,0.9975900446391218,0.9981686441611318,0.9975100678801427,0.9973949685994431,0.7637859331891178,0.9979804766313533,0.6351460486520861,0.9975145661535457,0.18758214909654783,0.05195400232659527,0.9973684861651674,0.9974158419776908,0.997556408445549,0.9974865824611334,0.9972608585835772,0.14863815212441855,0.1518340146286344,0.14886665136252017
6,0.7621834580851401,0.9869207701071655,0.9947142841586828,0.7733650556465387,0.9672741687811418,0.9956324627163979,0.9974527597144929,0.9908984720627146,0.9969629988673754,0.9980253213841688,0.9983186875081173,0.9981660799689076,0.9910188592174761,0.9987113994264768,0.6098078925514854,0.9983036762210203,0.9992600476196173,0.9983454653286716,0.9982213406645273,0.7615476346020204,0.9987819179055685,0.6418118623654421,0.9984554146797735,0.20203917905366708,0.05536639003855922,0.9983037061693616,0.9983458034648469,0.9984068735536673,0.9983572848221292,0.9981045759469158,0.16035449685162861,0.15330498899639736,0.15885929240819063
7,0.7762347745853782,0.9908573600466711,0.9942916672672861,0.7776852066408778,0.9780894098111078,0.9971048242688739,0.9973970859789456,0.9929350026212779,0.9960537245953396,0.9942502238091425,0.9950940479063781,0.9945618854615617,0.9905378418638346,0.9952668637533795,0.5651701506360903,0.9953243179105069,0.9957764548548249,0.9947065608491091,0.9945726126617384,0.7677054307808322,0.9951374854299451,0.634691279970057,0.9947804123283982,0.1845993276164111,0.04911718429173827,0.9944505105142549,0.994594341694156,0.9947719612475868,0.9947733395487015,0.9944696127351007,0.1472487992211573,0.15040473858066133,0.15031943036819295
8,0.7379755761527427,0.9821898945821904,0.9924907065409098,0.7597094228250235,0.9545686723028409,0.9894958730899495,0.9919239405698864,0.9894077197695055,0.9952659225524058,0.9992844572752541,0.9992312774948583,0.9991780927684434,0.9914313102749989,0.9965390686531431,0.6123277784810518,0.9992215905188676,0.9993215123316114,0.9991655432206413,0.9991610757874584,0.7921039228926923,0.9995993387846284,0.6393097687906971,0.9992840330662237,0.2008485434676086,0.05399928331880024,0.999457546548738,0.999367234950305,0.9994230118021404,0.9994563618704452,0.9991559221793664,0.15815057560386403,0.1522242081248694,0.15585754851742217
9,0.8783104163264791,0.9682294488548795,0.9627340522403818,0.8858771069041191,0.9776730859150208,0.9861759297400583,0.982924677865683,0.9919968779549014,0.9837246051983128,0.9611408228908263,0.9626983202892658,0.961398671429936,0.9793121534123602,0.9734798642495477,0.47417545648253856,0.9628863203323179,0.9670137035884259,0.9619082268537523,0.9614075342847749,0.6697093373069113,0.965705398415545,0.6600409282494919,0.9625125863772822,0.21514191214367379,0.0591742713748363,0.9624247932167337,0.9623006084073344,0.9628487409373259,0.9629892403296607,0.9611413696892831,0.18342514686820804,0.16084364306495788,0.17880389849875328
10,0.7300164466709468,0.9824049776350557,0.99348674039506,0.7472410724184927,0.954983706103061,0.9896277075955983,0.9921887511081774,0.9867346763664816,0.9940811692243258,0.9999370242994362,0.9998783293744898,0.9999111961503762,0.9891699357200244,0.9965310857754944,0.6253596026733443,0.9998657950670875,0.9996899631268671,0.9999117957545085,0.9999082534452823,0.7911321036563276,0.9998659145805066,0.6339449738880653,0.9999376696818963,0.19448457072632477,0.05273458280225517,0.9999739453894569,0.999963854990751,0.9999685013352951,0.9999817068991992,0.9999049968582157,0.15211745193137222,0.15014855483379086,0.15127160150352756
