GEP,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35
1,0.9028942109161039,0.86827514480091,0.791540748326184,0.8735893243657366,0.9670468846058564,0.9730251112678086,0.9777046705998591,0.9738491738640663,0.9612726504028225,0.994105855439826,0.9527006607635192,0.9579483101833054,0.9593543453143376,0.9689555041936002,0.9589034061677051,0.961624613676471,0.9598060103370665,0.7609300032813373,0.849496046163539,0.9608591813806929,0.9594485575493055,0.9643695322752054,0.9641798266032433,0.9675062590516841,0.9606461560471901,0.9627505202558274,0.958750558592059,0.9601956991912367,0.9584491658078458,0.9584274769743176,0.12730588465563777,0.9585435221864896,0.04423701696288939,0.6670945271100021,0.7120491984105773
2,0.9285500940820713,0.99678241525552,0.9131463727470853,0.9602616540608065,0.7350624642023433,0.7999174050727482,0.8119344864347938,0.7808606721504084,0.7818410908899533,0.8634253824265402,0.7414694400131115,0.7838711097117383,0.7532590348190588,0.7667479877288425,0.7491580888371666,0.7347751010960634,0.7336379271897664,0.5744629983253773,0.953629887844424,0.7279479495384783,0.7230020342254385,0.7420877186645465,0.7605813423424715,0.7602752656474965,0.741097124128095,0.7474438142505891,0.7251541061026869,0.7334733166079148,0.7273097839965617,0.7244606052452381,0.06976888465150968,0.7237511257174523,0.03126126496742012,0.4669997529142971,0.4713870996318813
3,0.44780289891238534,0.7056968098906892,0.7363908225460428,0.6721709503800567,0.38508872168476865,0.47587993193113465,0.4843205757996352,0.45021304912137455,0.39805693819990656,0.4807899360799437,0.4498869127760103,0.485698193261765,0.38356382362689506,0.42826213711657907,0.418261147314855,0.39103024321288027,0.3762520535135681,0.319100438620394,0.5404707587077998,0.38772234010408785,0.3836236392881311,0.3955962768561531,0.4099673306329826,0.37454549064051945,0.38946411330793246,0.3776907556190576,0.3819762821365797,0.3824301270198122,0.38484922027150664,0.38130649671136296,0.051128141490149874,0.38124478486410635,0.012245451050015276,0.27628491726642374,0.23995646185849331
4,0.8614099070271899,0.889519519032091,0.797529948881533,0.888460350690247,0.9661615584967151,0.9890601974887216,0.9913621469469617,0.9847570760547563,0.9712146523854166,0.9835239429480791,0.9716716924537353,0.9788512308600764,0.9664145345593007,0.9786577682559581,0.9691232624537774,0.9652104294313688,0.9644131596592496,0.776654998441126,0.8743704386148069,0.9653696876064845,0.9640401936211993,0.9669763839018354,0.9721849680759627,0.9664010740930679,0.9661243371426101,0.9654250145162026,0.9620091224260142,0.9648094110534897,0.9636415041036099,0.961711679273501,0.1453870725910373,0.9618182713999411,0.047056414967362965,0.6967322989024725,0.6679357433945349
5,0.771738879103737,0.7518154842449207,0.6066011229064613,0.7646085256785979,0.999822754455086,0.9921972436531201,0.9870110076087536,0.9946576466421715,0.9924271622193497,0.9748106360590085,0.9946307596086846,0.9925496804242364,0.9966565191798356,0.9974486674724516,0.9980901039241823,0.9992788883383391,0.9979383239748751,0.8026403861096119,0.7653788878997639,0.9992534812295644,0.9990314566620162,0.9992659156410666,0.9984188665333802,0.9974889728877784,0.9990020704645601,0.9979964547213457,0.9991090597679215,0.9989365236299788,0.9991723788339126,0.9990999757566952,0.1546110294419802,0.9990827765630238,0.05373814289982746,0.7875211404994165,0.7798244163304989
6,0.8334974030679223,0.8440463802889757,0.5748102093762788,0.8432953437523061,0.9733547877480111,0.9814006939517479,0.9826832205767966,0.9814414836052509,0.9924513905648275,0.9752630850289925,0.9673868052134249,0.9701968181757074,0.9851557170736912,0.9798480128339349,0.9716355815103906,0.9730487260425525,0.9801963771809209,0.789533206708077,0.8764822035608508,0.9726819126871498,0.9718872551381474,0.9743547084650308,0.9781453817301504,0.9837574513507997,0.9763024954381739,0.9817189152448836,0.9709969073475534,0.9762237575348651,0.9720554507710266,0.9708384295243605,0.1591650991941687,0.9708530739993999,0.055795030325641856,0.7114253827493424,0.7083718740126168
7,0.9093816931097973,0.9094542891661256,0.8373857581577542,0.9011839567148588,0.955021561444284,0.9730834814162767,0.9806951411359888,0.9721006992656864,0.957132050467982,0.9947594073294326,0.9467185147132725,0.9554733304141931,0.951210736074587,0.9637089794217235,0.9503495641521325,0.9512103222501099,0.9498971359138353,0.7429033665323765,0.8807269892406516,0.9504001833550271,0.94866975460706,0.9544410147654298,0.9559831910409022,0.9575746569333282,0.9507436190700702,0.9532354360443345,0.9472260948169525,0.9501028796295568,0.9476411759549277,0.9468649078375719,0.11733232150011932,0.9470231518780616,0.03990609361300173,0.6532654810002598,0.6751349051105933
8,0.8165840357347598,0.8226247889005063,0.6955995596280247,0.8220325028629266,0.9908010048685149,0.9990550071316514,0.999527343129726,0.998573117089141,0.9916176945125691,0.9878677544955259,0.9892095297540228,0.9920321439591652,0.9904555408461405,0.9967195876608284,0.9901947764607488,0.9900564577430124,0.990098834538807,0.7865351283715623,0.8206244108946142,0.9902735077576137,0.989589397232438,0.9910277418822799,0.992374777857702,0.9907441884682523,0.9900273303292659,0.9904786583180143,0.988349327432812,0.9900679889337234,0.9890159706389087,0.988171553813757,0.147309735291956,0.9882589235265903,0.047111533936224456,0.7353789145120051,0.7120291106951699
9,0.7590860177923785,0.7416730793241736,0.5959690242716916,0.7524794292954168,0.9996746537440344,0.9909799727971532,0.9855664024240453,0.9941247474198696,0.9922418882542701,0.9730051137894155,0.9945387404457984,0.9919693899509014,0.9967865887854916,0.9967022425810933,0.9982266185611351,0.9996610011796822,0.9981985599833443,0.8009459462274637,0.7555140577163871,0.999481399957392,0.9992936037491067,0.9996262261684993,0.9979328755931688,0.9971677284004666,0.9989244522533393,0.9981837643443419,0.999546837414272,0.9992117796339418,0.9993520297350886,0.9995507820360194,0.14791409150579607,0.99954382515022,0.05166563423139581,0.7884365914328082,0.7982308236432645
10,0.7713014858841151,0.7646492797633998,0.6252106603047417,0.7718308036007658,0.998666136848246,0.9970298587844015,0.993273661805833,0.9985473264126539,0.9943390613067077,0.9780877586892764,0.9963745687205334,0.9950917121008122,0.9970613396275205,0.9995696112133878,0.9982695645871783,0.9986581248249227,0.99782953930765,0.7982720694011234,0.7733660601151923,0.9988986926967877,0.9985866993283211,0.9987125782685652,0.9988061988419056,0.9969196789730101,0.9983697695923897,0.9977086383882585,0.9980419157889671,0.9986188318132471,0.9983864822401126,0.9980051011654396,0.14971296108619145,0.9980414882446652,0.05147220484390028,0.7895129345053118,0.7717865273956162
