GEP,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
1,0.442285269546651,0.07534881198224742,0.15749510664608782,0.12338609447759241,0.18755118842024768,0.15309253192972502,0.20754344694208418,0.15144839937785515,0.1634901892777677,0.1305158468306,0.1864204538512418,0.17435723829964084,0.16054010352461062,0.1779890943788787,0.1761144605101193
2,0.31961885154634684,0.7048559111195376,0.767118325731799,0.7899581364190951,0.6959695300337534,0.7464904407919895,0.575374258334805,0.7710723491145296,0.7661987343454975,0.7632620806462904,0.7413112050671298,0.766692958309452,0.7411947780550961,0.7538175109920715,0.7554985922901382
3,0.32828272356185584,0.6657634430806614,0.9954746272675862,0.9917557919907122,0.989998971660708,0.9931783637983999,0.7214908752622021,0.9978442502566169,0.9958948051413629,0.9895216477059627,0.9896337036110923,0.9918415806223418,0.9924930056124307,0.9906625598814806,0.991584223833074
4,0.3119315904528035,0.6418376873053159,0.9944070910614156,0.9786534922341971,0.9960921468338291,0.9956267493922645,0.8136998967715113,0.9925098497852717,0.9930348995605205,0.9859491122273981,0.9932645398890002,0.9911491305777693,0.9937993249926166,0.993109203201648,0.9935344959333422
5,0.2997265481293707,0.6576042137780346,0.9923302748443089,0.986879968586256,0.9974029634054311,0.9955938568067201,0.774020795905845,0.9949528391715147,0.9942648795439775,0.9888284357940607,0.9919134050513645,0.9912274220714727,0.9942597235224468,0.9920572495883633,0.9925335405407842
6,0.2808277154211196,0.6312437857304262,0.9933474042523824,0.9882058248027911,0.9956075140968966,0.9971069193097006,0.7560175923788552,0.9978449877602535,0.9970924035152917,0.993053268886048,0.9939424671304947,0.9939541373561676,0.9970710014043225,0.9946601158493622,0.9952616238958513
7,0.26596849031846426,0.624475018357472,0.9840430115559918,0.9956177000336688,0.9858209716269869,0.992293300336642,0.7476842497757721,0.9950010848497481,0.9957929834293909,0.9885146258791822,0.9901961517984054,0.9944796092825151,0.9928551766513134,0.9924836312524142,0.9928365350032796
8,0.31228981088882113,0.6375261228159961,0.9951557544560683,0.9802678323069876,0.9968498934667093,0.9945145764109774,0.7759954663718324,0.9935662975778391,0.9941174098692331,0.9887176495135643,0.9941979639658841,0.9923947989861461,0.9948300792127259,0.9939622065375993,0.9948054102584916
9,0.2899092822207939,0.646469147692557,0.9893852997913889,0.9759783178874901,0.999772579081735,0.9959971607653854,0.7975535143963106,0.9924230389161609,0.9937347345745655,0.9840812196396277,0.9953144518717433,0.9919609712082217,0.9949064755513338,0.9940961371379494,0.9942396588610539
10,0.28015922781049124,0.6495742315837812,0.9914184086313672,0.9869916246134945,0.995836000664382,0.9998005347143951,0.7667940449523669,0.9963443008386557,0.9965265992419553,0.9891406796875712,0.9944669744705444,0.9941458297202468,0.9958481717182845,0.9945871987355193,0.9949386157691503
11,0.26991347518551423,0.6321330958881374,0.9885015424043514,0.9882966915968229,0.9923745399182295,0.9959136561981835,0.7547364532085801,0.9989026947516759,0.9988057551516385,0.9891476567922608,0.9945270399289633,0.9956534029280452,0.9968972203308514,0.9955554866397317,0.9958684139180941
12,0.2724629911870373,0.561303071086315,0.9843545222636555,0.9820555446073074,0.9913867633142346,0.9927395854788731,0.7797582773480383,0.9938527748301808,0.9966503417072663,0.9940729555444711,0.9963078007554568,0.9969619203919211,0.9991128000949394,0.9976080189490631,0.9978999715487172
13,0.2851025901601776,0.6009789285717917,0.9869305065246144,0.9822898989346406,0.9952580134153061,0.994754624748733,0.7946350276790977,0.9954624323508685,0.9986549225015848,0.9886220149939825,0.9992416040425729,0.9991114812426823,0.9986849371828429,0.9997457071177986,0.9998377495709587
14,0.28165705407044833,0.5864729913789404,0.9858650649151293,0.9811719240593202,0.9945915456563367,0.9942901257985025,0.7857011096808421,0.9955638455231939,0.9986144554603845,0.990044196169171,0.9988615905779036,0.9987604530566445,0.9995755574831834,0.9993639739848702,0.9994563834168674
