k_parent,k_child,parent_gep,child_gep,similarity,parent_celltype,child_celltype,celltype_match
3,4,1.0,1,0.997,Ambiguous/Mixed,Ambiguous/Mixed,True
3,4,2.0,2,0.9968,Ambiguous/Mixed,Ambiguous/Mixed,True
3,4,3.0,3,0.999,Ambiguous/Mixed,Ambiguous/Mixed,True
3,4,3.0,4,0.976,Ambiguous/Mixed,Ambiguous/Mixed,True
4,5,1.0,1,1.0,Ambiguous/Mixed,Ambiguous/Mixed,True
4,5,2.0,2,0.996,Ambiguous/Mixed,Ambiguous/Mixed,True
4,5,3.0,3,0.9998,Ambiguous/Mixed,Ambiguous/Mixed,True
4,5,4.0,4,1.0,Ambiguous/Mixed,Ambiguous/Mixed,True
4,5,3.0,5,0.9896,Ambiguous/Mixed,Mast,False
5,6,1.0,1,0.9974,Ambiguous/Mixed,Ambiguous/Mixed,True
5,6,3.0,2,0.9922,Ambiguous/Mixed,DC_family,False
5,6,4.0,3,0.9921,Ambiguous/Mixed,Macrophage_family,False
5,6,4.0,4,0.9999,Ambiguous/Mixed,Ambiguous/Mixed,True
5,6,3.0,5,0.9993,Ambiguous/Mixed,DC_pDC,False
5,6,5.0,6,0.9999,Mast,Mast,True
6,7,1.0,1,0.7073,Ambiguous/Mixed,Mono_CD14_ID1,False
6,7,2.0,2,0.9973,DC_family,DC_family,True
6,7,3.0,3,0.9994,Macrophage_family,Macrophage_family,True
6,7,2.0,4,0.9946,DC_family,Ambiguous/Mixed,False
6,7,4.0,5,1.0,Ambiguous/Mixed,Ambiguous/Mixed,True
6,7,5.0,6,0.9998,DC_pDC,DC_pDC,True
6,7,6.0,7,1.0,Mast,Mast,True
7,8,1.0,1,0.9958,Mono_CD14_ID1,Mono_CD14_ID1,True
7,8,2.0,2,1.0,DC_family,DC_family,True
7,8,3.0,3,0.9992,Macrophage_family,Macrophage_family,True
7,8,4.0,4,0.9997,Ambiguous/Mixed,Ambiguous/Mixed,True
7,8,5.0,5,0.9999,Ambiguous/Mixed,Ambiguous/Mixed,True
7,8,6.0,6,1.0,DC_pDC,DC_pDC,True
7,8,3.0,7,0.9981,Macrophage_family,Macrophage_family,True
7,8,7.0,8,1.0,Mast,Mast,True
8,9,1.0,1,0.9999,Mono_CD14_ID1,Mono_CD14_ID1,True
8,9,2.0,2,0.9999,DC_family,DC_family,True
8,9,3.0,3,1.0,Macrophage_family,Macrophage_family,True
8,9,4.0,4,0.9994,Ambiguous/Mixed,Ambiguous/Mixed,True
8,9,5.0,5,1.0,Ambiguous/Mixed,Ambiguous/Mixed,True
8,9,6.0,6,1.0,DC_pDC,DC_pDC,True
8,9,7.0,7,1.0,Macrophage_family,Macrophage_family,True
8,9,4.0,8,0.9975,Ambiguous/Mixed,DC_family,False
8,9,8.0,9,0.9999,Mast,Mast,True
9,10,5.0,1,0.335,Ambiguous/Mixed,Monocyte_family,False
9,10,2.0,2,0.9584,DC_family,Mono_CD16,False
9,10,2.0,3,0.9988,DC_family,DC_family,True
9,10,3.0,4,0.9999,Macrophage_family,Macrophage_family,True
9,10,5.0,5,0.9995,Ambiguous/Mixed,Ambiguous/Mixed,True
9,10,4.0,6,0.9984,Ambiguous/Mixed,Ambiguous/Mixed,True
9,10,6.0,7,0.9993,DC_pDC,DC_pDC,True
9,10,7.0,8,0.9998,Macrophage_family,Macrophage_family,True
9,10,8.0,9,0.9991,DC_family,DC_family,True
9,10,9.0,10,1.0,Mast,Mast,True
10,11,,1,0.2365,,Ambiguous/Mixed,False
10,11,3.0,2,0.9999,DC_family,DC_family,True
10,11,4.0,3,0.9999,Macrophage_family,Macrophage_family,True
10,11,5.0,4,0.9994,Ambiguous/Mixed,Ambiguous/Mixed,True
10,11,6.0,5,0.9998,Ambiguous/Mixed,Ambiguous/Mixed,True
10,11,7.0,6,0.9998,DC_pDC,DC_pDC,True
10,11,8.0,7,1.0,Macrophage_family,Macrophage_family,True
10,11,9.0,8,0.9972,DC_family,Ambiguous/Mixed,False
10,11,9.0,9,0.9996,DC_family,DC_family,True
10,11,10.0,10,1.0,Mast,Mast,True
10,11,10.0,11,0.9984,Mast,Ambiguous/Mixed,False
11,12,4.0,1,0.3383,Ambiguous/Mixed,Monocyte_family,False
11,12,2.0,2,0.7897,DC_family,Mono_CD16,False
11,12,2.0,3,1.0,DC_family,DC_family,True
11,12,3.0,4,1.0,Macrophage_family,Macrophage_family,True
11,12,5.0,5,0.9998,Ambiguous/Mixed,Ambiguous/Mixed,True
11,12,4.0,6,0.9996,Ambiguous/Mixed,Ambiguous/Mixed,True
11,12,6.0,7,0.9998,DC_pDC,DC_pDC,True
11,12,7.0,8,1.0,Macrophage_family,Macrophage_family,True
11,12,8.0,9,1.0,Ambiguous/Mixed,Ambiguous/Mixed,True
