GEP,1,2,3,4,5,6
1,0.997351476189561,0.25381513690165897,0.2621181555252771,0.26175928996306036,0.24544430973262585,0.25349852766661674
2,0.18628616794877484,0.9022884738235741,0.8705010888874093,0.8552837367668543,0.8558323342901201,0.8219218205318395
3,0.2362265297225845,0.9922486288717554,0.9790135582682196,0.9771631533677281,0.9993096828489701,0.988217955054968
4,0.2604888057291563,0.9803754165277229,0.9920762712402114,0.9999464105457074,0.9751414007152319,0.9851604486221263
5,0.25048030392125936,0.9852847775313532,0.986446889235381,0.986558239721424,0.9899496498203029,0.9998725798980638
