GEP,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27
1,0.995204369383915,0.9738869943527596,0.9937243520351435,0.9796816852168859,0.9867388077507342,0.9927273781911834,0.9925192866096935,0.9908565079214584,0.9917568624610644,0.9911154984503874,0.9908563885320982,0.991092290753392,0.99019484936248,0.9907678269402819,0.9866297266852292,0.8158002469954083,0.9876301492508069,0.14235154352586535,0.4642408381890054,0.9934186906492345,0.7589361082201328,0.9923632166192508,0.7388049651116141,0.9906130714157602,0.990547616034637,0.2705721109015624,0.26693383323680026
2,0.9839649728725091,0.961036561978892,0.9996459700053861,0.9771184398155524,0.9905297079167253,0.9926731560165837,0.9969087660957859,0.9977165801056221,0.9976372123348174,0.9976092506809526,0.9978839580645524,0.9975146158833972,0.9974435999713877,0.9880953732693989,0.9890999989767149,0.7986433646485983,0.9811771813896594,0.17474962260412072,0.4616719429326855,0.9946080068586746,0.7909809859494221,0.9961021925065059,0.7516800101394052,0.9973485283018554,0.9971783236790253,0.2662093184551222,0.24867436015536926
3,0.8691061639103759,0.8983868966944933,0.7497264149688098,0.830014677053128,0.7788988742642344,0.8046822901593017,0.7722912185816739,0.7544314344382458,0.7632613882465101,0.7563184588432187,0.7509582682234588,0.7562796164730525,0.7507146503853112,0.8404797890582286,0.7840294138906647,0.579069272597618,0.8633961090914563,0.04310221378536345,0.2847686261214757,0.7918674239510111,0.5030707841613024,0.7734034347882293,0.49895181370464137,0.7584572012933161,0.7551035557521049,0.19144927131957512,0.17211398186441068
4,0.9843597305714533,0.9645893708762903,0.9991604727793895,0.9818704471916923,0.9943635091167211,0.9957875250617305,0.9987776958504252,0.9989592606083617,0.9991538815971792,0.9991923147399944,0.9989845487442249,0.9990397582784563,0.9988078458973592,0.9916827166568665,0.9932258081939603,0.7853708188345798,0.9846045140219734,0.17185404584029113,0.4882380046177648,0.9965694461952104,0.7838389113125099,0.9980229839497384,0.7794585090028543,0.9989051896915623,0.9988170764755531,0.25628966784616614,0.24746997233638832
5,0.9690390903907318,0.9530802990595975,0.9844366596166982,0.9967395720563725,0.9971888007764992,0.9891675200493619,0.9903853436817789,0.9877710094255123,0.988938344081452,0.9891038508527437,0.9877620507310562,0.9888179364745542,0.9878773546620859,0.9944613700412112,0.9950044946118158,0.7991450579960157,0.9900458416191348,0.15007206044256333,0.4931154305580626,0.9942302856567433,0.7475828355733012,0.9933123859531277,0.7639674983290021,0.9890768326906333,0.9899366136161506,0.28187521567463614,0.2795406430229511
6,0.9861036829421526,0.9740438543398783,0.9957872816252576,0.9868905617070189,0.9954565205531339,0.9993335143967486,0.9992376925319876,0.996412849503879,0.9973138456226927,0.9979556502419509,0.9965075350300132,0.9975353134959526,0.9963759678325672,0.9957175998302468,0.995507819989017,0.799378500394483,0.9883866798023684,0.14893972875313835,0.4846539575591943,0.9959688508322491,0.755010361975829,0.9971666619173015,0.7680549020950038,0.9972413117210679,0.9969385566607388,0.25956237371482327,0.25675997338487067
7,0.9815740000497605,0.968580407073772,0.9956293035208028,0.9842591048785845,0.9941283458183183,0.9982044179997906,0.9994661148751892,0.9970374626479496,0.9976153638908034,0.9982488070650556,0.9971059435130611,0.9980907312428963,0.9970642429345346,0.9929992333685315,0.99426332893924,0.8055805691825982,0.9851372308485241,0.16005870490233184,0.48766677154170784,0.994530200273574,0.7475605915827004,0.9965966467370315,0.7794304634650973,0.9978965827060768,0.9973770541084219,0.25606158749275937,0.2540220888259816
8,0.984410308456292,0.9706472716571727,0.9954122386263986,0.9922964508448349,0.9976534039592204,0.9974059829327326,0.997811548111537,0.9957113484875167,0.9968158459607637,0.9968865038440902,0.9958807500433292,0.9966312730818379,0.9957291092890426,0.9973750758920265,0.9974165207937674,0.7933041745643913,0.9889169364765017,0.15363156433206518,0.4781318850183269,0.9980038341776752,0.7639688020233283,0.9981403795626907,0.7616907633898046,0.99633140747128,0.9967187458397664,0.26244797757540217,0.2477276183419808
9,0.9769829515097688,0.9585507414941329,0.9978331528311006,0.9809691594673503,0.9953909900094396,0.9950663607442336,0.9991352589917436,0.9995916421920941,0.9995630949185027,0.9998045883662254,0.9995969560656546,0.999755721951056,0.9996483744563048,0.989832253682897,0.9935533942000202,0.7821562954472464,0.9818247888491617,0.1841895899724885,0.5043464249487067,0.995289690097459,0.7850774518400724,0.9977376697738986,0.7954351048508239,0.9997176941117817,0.9996506161364787,0.2463119772158341,0.24463706693868467
10,0.9793064246692187,0.9618359778341853,0.998211558909541,0.9827225058667609,0.9956320120265609,0.9961909935451405,0.9996390714752846,0.9994984810439994,0.9996187417768319,0.9999218279363813,0.9995541823882048,0.9998465004218194,0.9995285735032196,0.991494880680053,0.9942711828230176,0.7927519624765382,0.9833016924591308,0.17718355463029986,0.4945956235005606,0.996092219221621,0.7797390654054924,0.9982324175561065,0.7868949684563668,0.9997233563531738,0.9996360642815252,0.2505844516868976,0.24635069180119123
11,0.9750518090812346,0.9544968487510629,0.9979207558252304,0.9838714097292905,0.9969089777473226,0.9933596936559331,0.9982115963644018,0.9993907850506248,0.9994467988999162,0.9992497032201854,0.9994992010677223,0.999393806987312,0.9995086165030782,0.9906127796665489,0.9946625680386197,0.796505084916749,0.9817185509233353,0.18544409300313314,0.4980549261397535,0.9965805902601154,0.7945552948332548,0.9982873617140714,0.7902161226208417,0.9993675436036874,0.9997694905995269,0.25161530088199274,0.25063802127000223
