GEP,1,2,3,4
1,0.9969844229513717,0.18034193770016163,0.23593272691409015,0.2640839677660155
2,0.16735125824921512,0.9967764177589066,0.864747820336979,0.8626860309491932
3,0.22734651903158526,0.8626077083129393,0.998974675094777,0.9759832157622588
