GEP,1,2,3,4,5,6,7,8,9,10
1,0.26449661840300365,0.2144789158863466,0.11223397665751551,0.11405923985936392,0.11548114481773084,0.10153115160941226,0.10744137604792418,0.11697483329165427,0.10606937434595773,0.11982896849548792
2,0.27105397212028176,0.9583528707458567,0.9988462201166968,0.987706559258179,0.9851449677167238,0.9921680132074391,0.9897545915970221,0.9885577231138919,0.9908157798646857,0.9855679191534235
3,0.31514223382850653,0.9423428739574388,0.9893452744074753,0.9998564017372772,0.994009196363598,0.99457124181722,0.9851145702432683,0.9969818616164365,0.9909950460092892,0.9892950018942914
4,0.2558997878380227,0.9448342066389943,0.9922554338383411,0.9934372612778569,0.992381438652592,0.9983747020489592,0.9894162504928005,0.9933676984139199,0.9949461025830276,0.9907125944406123
5,0.3349852247796345,0.9287054512627279,0.9873099679869943,0.9937459034198652,0.9995174459655181,0.992591134051778,0.9820039624532769,0.9943099941413484,0.9903250801678553,0.9876891811550301
6,0.22524137282408283,0.9503394886879193,0.990996712502471,0.9844576268435921,0.9815680671136445,0.9918456489744184,0.9993217609237175,0.9836975362785105,0.9938851865303107,0.9912986405888052
7,0.30962606510724655,0.9436816527234169,0.9909840973842943,0.9975624684578193,0.9945052290844189,0.9958913875832741,0.985640536706883,0.9998070902506784,0.9912253595026465,0.9913929775070331
8,0.24034848550936638,0.9514925802149063,0.991295542976999,0.9901871702768553,0.9897312663418651,0.9958662270105976,0.993322664521959,0.988971198220614,0.9991007951477654,0.9918751466788803
9,0.259751305511204,0.9464805400054557,0.9893810351333202,0.9901486286497023,0.9886430552314757,0.9942561213774659,0.9928844533473483,0.991574819390895,0.9938763869045922,0.9999914127038848
