GEP,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28
1,0.46172032868638546,0.6923164824664509,0.9905162284199285,0.9834265865607567,0.9678888680778216,0.9819321919181764,0.9923357089930874,0.9806227239284389,0.4738847802061249,0.975037669178415,0.7045718894113028,0.980224689517096,0.9797089333618607,0.9761621932289554,0.5067373009520858,0.9778152267116664,0.9816588793980987,0.97578134992406,0.560619341518928,0.9791461948482714,0.6589590692561222,0.9765456011017419,0.9804414117616124,0.7053534636017664,0.980168233097081,0.9772103189255159,0.9761341575085349,0.413681886285582
2,0.605840918707444,0.6872713463929195,0.9692707844753237,0.9604573798426774,0.9556808538058214,0.9792568426518433,0.9770798371282969,0.9602115794630293,0.44650870840839707,0.9540924050260097,0.6660251383593703,0.9609033893575241,0.9617209848824412,0.9555138480429157,0.4677333980200874,0.9583494654488488,0.9651890906761061,0.958492013743916,0.5220594291333558,0.959789815077025,0.6368700443503623,0.9565574225711925,0.9584191215476326,0.6746328830753381,0.95960213369038,0.9574395665823591,0.9553977493137958,0.3897781832647692
3,0.3712691846118981,0.6036346552208679,0.9963052116087082,0.9989464792012964,0.9696132237172512,0.9800171372793915,0.9936438178449757,0.9983616421987276,0.4881787995435219,0.9980198132520767,0.7811139800932272,0.9989464167958788,0.9981124729746038,0.9978285030763121,0.5901846219279075,0.9982600957158374,0.9927373709005046,0.9948276841579939,0.6043184112675803,0.9977462789171836,0.6470443675597306,0.9979514041204061,0.9974284390330471,0.756526850391457,0.997327311669822,0.9981650915632488,0.9980610940150138,0.3878993747101857
4,0.39448098087800376,0.6774683735504248,0.9788803892490343,0.9814371512432101,0.9914615801679981,0.9819808785693839,0.9873393738597888,0.9823330402229838,0.5205436976390859,0.9809939829050802,0.7244514973002781,0.981857827537821,0.9832951491382383,0.9833501453241049,0.5389205177318801,0.9818408420411457,0.9938023440438158,0.9901834859540567,0.6005422805831434,0.9852110184616684,0.7005769415008621,0.9819432955885242,0.9873487330342716,0.7316454044278327,0.9867582613702021,0.9823783435287632,0.9826966247144516,0.414263643557865
5,0.391054601471248,0.6318357899423226,0.9890118283522003,0.9938629776059562,0.9837701570819157,0.984781645784995,0.9920058836405494,0.9948568453830189,0.480065343956676,0.995275692916079,0.7494509192483501,0.9944445202950521,0.9958233915745778,0.996342979161095,0.5833165945679561,0.9954746419979019,0.9971251023565377,0.9984009045841283,0.6047100064162344,0.9960624866108841,0.618327255538356,0.9951551948629179,0.9969326350743755,0.7761759686624279,0.9969202302743808,0.9957051995965217,0.995798977489096,0.3988333837505085
6,0.4517018295794279,0.6382653167362954,0.9941650292666702,0.9940695636044964,0.9788423552391977,0.9936222907884754,0.9967584593706474,0.9952835760433151,0.49123035036222057,0.9930581584701302,0.7487982034588867,0.9951291893368942,0.9962400317393533,0.9939653577866993,0.5704929390258794,0.9948422004441819,0.9952398122018775,0.9943571504737212,0.6013513483377116,0.9954252099764177,0.6459805445399442,0.9941451556599767,0.9941622279750206,0.7592122028706738,0.9948367918973705,0.994566454189624,0.9938338019463391,0.40289182815035907
7,0.4010561989948645,0.6155019814611367,0.9950196415811045,0.9980908756481852,0.9756521975374113,0.9881329519686907,0.9952984166012799,0.9992094831691859,0.49651611661661527,0.9984089004778935,0.7859968682682432,0.9989842389020254,0.9996815933384695,0.9987646119263878,0.6084893276984892,0.9992048276482608,0.9961721312332301,0.9971380229482492,0.6180777309219946,0.9992339476241878,0.6426609596109846,0.9988927503542677,0.9980179112306139,0.7748951389560881,0.9984922143645024,0.9990711559783065,0.9987666069657419,0.3958371729515607
8,0.37195153834586736,0.6015197388787794,0.9934499148915007,0.9990902512131301,0.9697736114390513,0.9804732860635761,0.9920271277035727,0.9996524311474463,0.49911414448095864,0.9999013078610213,0.7928239312160724,0.9991773651723407,0.9995290747428163,0.9997559778454994,0.6277277426969856,0.9998692197392436,0.9939681460150116,0.9964483873371491,0.6296707146806355,0.9992769898242712,0.6317408300447381,0.9998418776033285,0.9983656371297525,0.7931467713613721,0.9985764705845596,0.9998039703741203,0.9998225237313529,0.3938125270774963
9,0.38295371556654934,0.6065638536504182,0.9939024498225532,0.9992129961654744,0.9717774586063187,0.9821873918582268,0.9932752428511702,0.9996663276280855,0.4977312659332873,0.9997722362157586,0.7823205172595129,0.999292703869668,0.9996982335741481,0.9997246889794733,0.6139260071801625,0.9998760658536253,0.9948883814718583,0.9970123975356586,0.6247512585557037,0.9993196276449999,0.6355984747217455,0.999758101448273,0.9984010310363247,0.7862022153665288,0.9985827271868398,0.999730230015279,0.9997041772056496,0.39244810910476224
10,0.3860347554773965,0.6068336986188165,0.9944304938954804,0.9985643347103889,0.9727905401643142,0.9843329244022035,0.9933814208416208,0.9994744614190623,0.4914426577557526,0.9994584104869427,0.7898883946131209,0.999438898945785,0.9998552844094221,0.9995115023511283,0.6177127574722371,0.999814985337424,0.9949898846123247,0.9971994964907602,0.6171790645346448,0.9994681448802618,0.6298487888714401,0.9995629368073408,0.9984390949452555,0.7833209829979371,0.9988712684877472,0.9997946621782476,0.9996011637406781,0.39061335667981845
