GEP,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
1,0.9995786650373076,0.3699138069513799,0.3050835089949669,0.3991062665575281,0.3888812869011456,0.35227229716146863,0.4164387191714637,0.35048088508597125,0.3591800210178354,0.3388098143888908,0.387708752221989,0.358973276674756,0.37289120747642873,0.3563724556935447,0.3355384951478796,0.38932559135864386,0.3388226803990406,0.3529958477595227,0.36360335066919525,0.35188088296511094,0.35999999508865804,0.3723460897026047,0.3585846192635728
2,0.381033385640657,0.9999520682334282,0.8141484811706214,0.7499727717121406,0.7570184739231879,0.7856622791775704,0.7068781629605755,0.7514143753940358,0.7451961475607595,0.7996477040436495,0.7425221643048213,0.7480310315529957,0.7750622485808045,0.750071133200703,0.7574338265250714,0.7164501939672301,0.7681334690440675,0.7280326435684448,0.7613459695874837,0.7706276863120081,0.7529388005053462,0.755289985476581,0.7764676953831816
3,0.30398031131335823,0.8169301580091205,0.999960053242876,0.9634656967432891,0.9527300734926564,0.9633758842990225,0.9546267124514232,0.9615978577849881,0.9617192493003432,0.9671463732833757,0.9641704469370395,0.9647061976300417,0.9695734662638219,0.964533597060243,0.9651844196529181,0.9637910741022122,0.966194143702076,0.959327485124091,0.9693053366423827,0.9686569222639865,0.9683697202480765,0.9694132828435441,0.9709245805578376
4,0.4010108994740278,0.7525929151330983,0.9647986522739042,0.9999909555160792,0.9936190327958605,0.9895022303937946,0.9950387535215236,0.9966893789492786,0.9962252970809949,0.9916667683210784,0.998653828163903,0.9969186436968515,0.9957161698987197,0.9960536773946667,0.9933207303299559,0.9974455177244113,0.9920726436936983,0.9959849485106566,0.9954178089473209,0.9936489542522113,0.9948455895359583,0.9956360967047828,0.9940627786716112
5,0.39153480403865687,0.7484514751194961,0.9521396953382227,0.9933185539237532,0.9998259625954682,0.9905871952721695,0.995122531542315,0.9957688223503551,0.9943507359804951,0.9926984883185654,0.9934719174682944,0.9953665424463414,0.9942896239709996,0.9945417978417282,0.992828037329389,0.9951490090892187,0.9901419943523728,0.9955595869569477,0.9924410677993464,0.9929421959727124,0.9924296856142653,0.9925260732258027,0.991094208924223
6,0.3526806970091326,0.786879937998971,0.9642280860324282,0.9894824249228679,0.9923590368550363,0.9999939492070625,0.9845424359631932,0.9955379600812072,0.9926877189243083,0.9958869883086606,0.9903173733474856,0.9944836998762822,0.9965290622864793,0.9944809121562266,0.9965790780327786,0.9908288775211657,0.9947712478849526,0.9950988895050538,0.9949119878854252,0.9978771644869239,0.9947732158533669,0.9952974676073507,0.9959208539333276
7,0.3935444338952854,0.70306104457592,0.9608788902412213,0.996772003630687,0.9953399170901933,0.9882923713769799,0.9991046064310699,0.9956071976644758,0.9945095038306747,0.9902787198109932,0.9967227378842922,0.99645935875677,0.9953622450318572,0.9966076944198247,0.9936279530463555,0.9991372316675164,0.9926649451856369,0.9967582773065864,0.9949683059069337,0.9937928614341149,0.9957429961414513,0.9959138611257806,0.9935904435496399
8,0.3922162789223649,0.746995828140232,0.9650983803898222,0.9989420163844808,0.9941776136207956,0.9901562160838642,0.9957526375975035,0.9970417330260536,0.9979758323509547,0.9924616180900969,0.999923169757088,0.9974148855152316,0.9961743342423411,0.9957111085639677,0.9933573819091533,0.997776967202124,0.994128620510665,0.99648123912996,0.9974347699931679,0.9945982849419078,0.9961793800501048,0.9970497774256409,0.995857433498487
9,0.35019310435770235,0.7539661950097222,0.9627426447376897,0.9967932457707681,0.9966683320930247,0.9956282445556107,0.9922599040146652,0.9999958206084029,0.9980140591424164,0.996301215995302,0.9971062709839454,0.9991962878107132,0.9977386390637486,0.9976838340784334,0.9981439413049726,0.9972238807726872,0.9961163657221505,0.9990497445873968,0.99749853039945,0.997834475746439,0.997329966560895,0.9973181292967747,0.9967774707459626
10,0.3390376048482338,0.7986485205089988,0.9680504024493771,0.9917109784895354,0.9938390583103837,0.995762492902358,0.9879330242139733,0.9962870804088199,0.9960094089613711,0.9999956468612228,0.9927322705196727,0.9963383043529744,0.9977357168663304,0.9949915080566547,0.996921903839301,0.992273360315008,0.994093506122335,0.9949913249166907,0.9952537449106973,0.9967427943622739,0.9948633312714918,0.9944818054855016,0.9949111013293448
