GEP,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
1,0.8674053940854921,0.6637200299958038,0.6847913984330259,0.6239286019500523,0.6149052927555081,0.8797650272645291,0.5771008858995719,0.9368523619675905,0.6243927856785261,0.5771270168267223,0.5980622211949043,0.586645747776121,0.5922377935828325,0.6366165316523253,0.18577092669433154,0.5896094105250482,0.5983992984951609,0.5821354552651841,0.5922208140420322,0.590232849570768,0.5912535991312745,0.5903736134787838,0.01964759175891051,0.19628395911706997,0.12416767206410688,0.02597230737788715,0.11562800336696004,0.5894744326417859,0.5899486602156523,0.38303786884471175,0.5907847287640385
2,0.9998090051633884,0.7664731568369968,0.7929062310734084,0.8776396914179907,0.7333929356593746,0.9924309160399926,0.9461068921818668,0.9796157028517627,0.8717013972169323,0.7230136052731495,0.7554569710096679,0.7256631398752036,0.7278499903248701,0.7821462759894768,0.29164159748013396,0.7673750470025419,0.7518035846168234,0.7636524619961553,0.7283567067440897,0.7274231851390123,0.7272581389540043,0.7285618014669446,0.03389617629366052,0.2710937863503973,0.1718727121959275,0.043239102279728305,0.17940063157531394,0.7290364277706675,0.7277011481105413,0.45388877333129474,0.7277952364875261
3,0.983787733519614,0.7850681049067093,0.8117312525073391,0.7835216862413319,0.7506004282289973,0.9744840179079883,0.9235333285251924,0.9995540610182044,0.859954151648044,0.7321727245841712,0.7626030060080614,0.7353016298037515,0.7378585935229932,0.7921811348547828,0.30701115767724246,0.7770501689905391,0.7615326551523288,0.7706184725224247,0.738507377293284,0.7374496462263685,0.7374346028734624,0.7384114315201771,0.038998449569701096,0.28880929062722654,0.1852179314587191,0.04758254786180095,0.1935051220689706,0.7387512423636206,0.7375804508732249,0.4692678955302363,0.7377486845160394
4,0.8339402483083849,0.9883725643344277,0.9895862468457989,0.5723499975708668,0.9846045697312362,0.8317697942108058,0.8563469477066485,0.835180812274098,0.9938838443354093,0.9860151378384736,0.9926619081004482,0.9863830951777544,0.9867552478156193,0.9932944240344517,0.24332171608754094,0.9917648392833545,0.9910181084985114,0.9929447568370778,0.9862355555820226,0.9860840892319448,0.9859912027909059,0.9866218290575397,0.05261986815317542,0.41143092705332157,0.2975680243064118,0.06801053698323575,0.17515022265390962,0.9866567652663265,0.9862977439031815,0.6160000258096088,0.9862449705335521
5,0.737183263865018,0.9919477935961125,0.9911528690449507,0.45811555227295664,0.9956593369083249,0.7337771268010805,0.7733091684778325,0.7454038036780708,0.9771364531308494,0.9983298181474626,0.9986573420814964,0.9980232600743866,0.9977474922757686,0.9941421994956033,0.20055807186849525,0.9979024373080478,0.998063140183924,0.9983698788111106,0.9976147771913781,0.9977233709170634,0.9976108632902085,0.9977586163427378,0.05208012543768868,0.3945292445634684,0.31138338918179226,0.06711126164461877,0.15347268675834375,0.997955554724672,0.9978258931296944,0.6343370560197448,0.9977493339441794
6,0.7340197962265071,0.994664101543429,0.993542576305658,0.47038904797925274,0.998919113129136,0.7326257611506474,0.7633155778916225,0.7495052865465451,0.9685613135280231,0.9997731267095332,0.9982925525738685,0.9998751811566569,0.9998888675696539,0.9959581550789474,0.19346687079241712,0.9962067519315166,0.998958864204175,0.9960527180221836,0.999922262778958,0.9999193552126241,0.9999251633146449,0.999885784230428,0.05217396279430582,0.39477064513878873,0.3111096657265238,0.06871520581273692,0.1501815237583611,0.9999063460705357,0.9999087703777956,0.6302830375123937,0.9999152128098499
7,0.7392629962353209,0.9936173626921387,0.9926924080610362,0.46935759211809275,0.9980506229399723,0.7374577748936274,0.7721125248477511,0.7520504539809195,0.9725679833969153,0.99985444643391,0.9989238402225181,0.9997726827564308,0.999706255051075,0.9963023697656129,0.19798863022611318,0.9972620800012132,0.9993895141529903,0.9973948698056072,0.9997114999203887,0.9997355680238235,0.9996999680854678,0.9997632445100844,0.053262641698958405,0.39875550483135225,0.3128274824409192,0.06989857685071836,0.15350542693605493,0.9998024164325936,0.9997520104650458,0.631014329671052,0.9997339809869563
8,0.36780254016617175,0.5969945290217811,0.6003145437715055,0.22978118737121406,0.6211541964515759,0.3708968467290211,0.42718374178085694,0.39030242798332015,0.5747565082933065,0.6312275722597682,0.6179175644481224,0.6272355571220453,0.6297449809471806,0.6262080706996372,0.13602046270046994,0.6145965181597041,0.6327937968228518,0.6210900475328912,0.6295775557699191,0.6294044693156609,0.630215425267369,0.630629287791128,0.06099183392651257,0.3356617084087117,0.2500523841984545,0.08287802059650592,0.09826247878260215,0.6274532684803519,0.6278325609657852,0.35087249202729137,0.6294328158942609
9,0.7861760927137157,0.9900559461574808,0.9903880763453486,0.5237700435599479,0.989485070459493,0.7822398440428787,0.81378968974942,0.7886337661649524,0.9913285835739678,0.9922158144773953,0.9970552684553936,0.9921997444875682,0.992256891691551,0.994911908945893,0.22771996747736198,0.9951600667660542,0.9949997663766195,0.996508765793033,0.9917983184354007,0.9918153392124271,0.9917081540914641,0.9921313087283077,0.05144886934385346,0.40636143942981373,0.31253381675060593,0.0650685913064066,0.16578221520404962,0.9922241470644821,0.9919829724549095,0.6196316290344542,0.9919129629242698
10,0.7921768432045296,0.9957368158014176,0.9964035121511557,0.5270512116856841,0.995655637147483,0.788651007502432,0.81592755674249,0.8025480251455938,0.9850436983976046,0.9959609340466108,0.9991279710765731,0.9962551518311447,0.9964575185116162,0.9980935805757709,0.22384941652109086,0.9973136618444026,0.9981573459193499,0.9975052019544124,0.9961506881224224,0.9961087152795816,0.9960757806844514,0.9962743618171638,0.051386275496079305,0.4117678018928427,0.31058579547321274,0.06671505358147277,0.16610956375755007,0.9963599270651224,0.9962183834828601,0.6236398524716829,0.9961877089228968
11,0.7877427563718231,0.9937089496495164,0.9931419446693189,0.5553674907067596,0.993208085660742,0.7906006688775,0.8068788604459318,0.7974619241129874,0.9834418789209414,0.993711665213806,0.9965919981214106,0.9943366891374961,0.9948533703701103,0.9990000071349922,0.22572252009057336,0.9930023776524964,0.9968148412873415,0.994193212936552,0.9944969252659542,0.994295596217183,0.9942922483607488,0.9947309417138638,0.055221754533913044,0.41124729289003126,0.3070453092528799,0.07139161899470378,0.16875604191704557,0.9945423958900306,0.9944255887195215,0.6018524462463928,0.9943746860799556
12,0.5033712529462124,0.6472037668561207,0.6541057183923131,0.3087026524035302,0.6458631128034131,0.4847360528605075,0.5271978920466487,0.5148629072211727,0.6643098213233121,0.6347493974520859,0.6430106227201565,0.6322619322321312,0.6330402950776233,0.652748240173236,0.2610974899860981,0.644994072735632,0.6455820527620271,0.649938466253109,0.6290791898913777,0.6300146648070696,0.629307098511927,0.6307722138002172,0.06068050563478034,0.33371670284621946,0.24878613705741984,0.08250348001894696,0.19737674732431315,0.6309140017225159,0.6311448720392696,0.35067250619937435,0.6301772957900078
13,0.7717743797653263,0.9957616504348006,0.9952118677586772,0.4684808044394253,0.9961465831885743,0.7673477133889011,0.8056802184807189,0.7850078298018842,0.9801337049346475,0.9961493122614641,0.9981341450448453,0.9960681209918836,0.9960861469835923,0.9956704665165211,0.21763887327946985,0.9998779055475814,0.9980371348016125,0.9997330331793443,0.9959004525504891,0.9958855146168015,0.9958013848434142,0.9961137024867267,0.05545550073221087,0.40336287913496355,0.3086538542384696,0.06994504847302233,0.16545145889669188,0.9961760557779911,0.995940741034801,0.6530745745985248,0.9959190151035769
14,0.7528701762917767,0.9951414966755048,0.9942916912816732,0.48870996377998693,0.997798078587316,0.7521233711765933,0.7823368141281238,0.7651090720947796,0.9775445118778827,0.9989725719128407,0.9994626384302205,0.9990676279196391,0.9991994398590219,0.9982688970599729,0.20848567540928709,0.9977314322175856,0.999896572186402,0.9982304424625178,0.9990583925962373,0.9990063733605089,0.9989823506653311,0.9991953937295159,0.054438150648377294,0.40470716143588353,0.31325467428144627,0.07061589561551365,0.16069077581211805,0.9991403261430164,0.9990579869911831,0.6245324684367126,0.9990352883394691
15,0.05634428312045237,0.06911584277504779,0.06973513516287742,0.019613907887577154,0.07120749803404304,0.05504699487273693,0.08824551878699098,0.06784211816462397,0.08032815801917145,0.06892415737881541,0.07052025835668127,0.0679216939871569,0.06821125220808853,0.08007850067789576,0.18982863159250815,0.07646497362187965,0.07495020355497409,0.07585319276122056,0.0681530484646001,0.06797734885678078,0.06797504278274767,0.06881165021468547,0.4967160924806583,0.10658274018525542,0.12477536486117603,0.25036211562369204,0.2502144960026176,0.06827512846380993,0.06801060497733796,0.03249342998808671,0.06790908390708564
16,0.7290317383596494,0.9938638155500525,0.9926653650415763,0.47256241341907723,0.9983946783561803,0.7279446078653945,0.7579618274944152,0.7427110501193784,0.9692255814903055,0.9999088279844797,0.9984008341678166,0.999981704117975,0.9999691383444761,0.9957883406698483,0.19107511044343184,0.9959411044514802,0.998913617679417,0.9960230003501286,0.9999874989889904,0.9999955639561477,0.9999923549977763,0.9999707611085907,0.05149060149880744,0.3940667077804932,0.30997188317915775,0.06796666634135216,0.1488192503439133,0.9999881337749461,0.9999948336532462,0.6293292633174108,0.999996973790237
17,0.759628165200963,0.9946922593899771,0.9940850592086323,0.48712504735018425,0.9963984200567783,0.7569381710608791,0.7900837823340666,0.7686086934911042,0.9809521367612232,0.9981150889042486,0.9995238334882683,0.9980908842311659,0.9980715733561536,0.9966718242853561,0.20676973083176273,0.9985903825416115,0.9989528605195328,0.9990362176790744,0.997887338634305,0.9979112553152755,0.9978354069365641,0.9980455010139311,0.051820627309156875,0.3979844381241954,0.30302331310329267,0.06670037494114575,0.15627356530303876,0.9981397179508437,0.9979778364157158,0.6356464477260265,0.9979533687356653
18,0.7414850357253172,0.9938532981170503,0.9926983246838723,0.4738463042881778,0.9975893098585215,0.7404775373261077,0.773829479168195,0.7527911815539947,0.9744644251246242,0.9995483143552256,0.9990780630209044,0.9995131210051444,0.9994831340083707,0.9964895262779152,0.19805723023539362,0.997693606273844,0.9994651069055466,0.9981023303592707,0.9994387062783412,0.9994317509963927,0.999387750972294,0.9995391460299405,0.0530757153240639,0.39665036202991016,0.3090753824968203,0.06938928322628277,0.15417277397040122,0.9995533244081094,0.9994734361341642,0.6335521173955921,0.9994466037269333
19,0.7344740353825696,0.9942656665212414,0.9928876156441115,0.47777543178627324,0.9982682321486683,0.7339537639509829,0.763564228886629,0.7475843971816635,0.9717313522929599,0.999752703743387,0.9987654760128909,0.9998527098405527,0.9999010983523091,0.9969445428745224,0.19690161504268552,0.9964244260895648,0.9993749338308556,0.9966905394945469,0.9998689061922683,0.9998504380452713,0.9998370317350678,0.9999233637060899,0.05315661325737411,0.40038908729825284,0.3126008163067112,0.06953691375980361,0.15267189494726308,0.9998950081602935,0.9998612042127021,0.6309760894524334,0.9998514499994349
20,0.7311485307911206,0.994292075435596,0.9930238809592976,0.47501568872825645,0.9984447056289699,0.7301336547154585,0.7597961780999445,0.7445550016514949,0.970603432144369,0.9998666452549259,0.99875733425082,0.9999710041958003,0.9999865801076525,0.9962605940711418,0.19392449108437154,0.9963086389849455,0.9991687535465058,0.9965008150315252,0.9999594372581133,0.9999573618820942,0.999950378189063,0.999967140479336,0.051643038341922125,0.39810429030217287,0.3116713968841478,0.06791664290882865,0.1505120210220003,0.9999719924018138,0.9999676378475454,0.6317301168968872,0.9999607319514842
21,0.7315677147535011,0.9940392449858368,0.9928304787608975,0.47520639414798826,0.9983803686181667,0.7306922500210007,0.7604679272168438,0.7451431178272552,0.9700873895941661,0.9998885748005921,0.9985663598579214,0.9999754000910894,0.9999850680864856,0.9961760239126115,0.19258291561682142,0.9961044923672421,0.9990947906256749,0.9962628022304746,0.9999879784096313,0.9999853428740759,0.9999807742719623,0.9999893858289165,0.05185906835839438,0.39522051617377624,0.3104911353966716,0.06829541858912837,0.1496165467185852,0.999989264811037,0.9999891508589686,0.6288326792756347,0.9999879706720974
22,0.7307430361253981,0.9940854127175524,0.9928847314687019,0.47424990110832765,0.9984545082488095,0.7295665273253452,0.7594413319132851,0.7445073182080262,0.9696214160792178,0.9998884334344117,0.998534163193252,0.9999835398955625,0.9999747669986908,0.9959176036167094,0.19170239183026902,0.9960090123626081,0.998948332130558,0.9960877910994168,0.999982965351183,0.9999911170376073,0.9999881903925314,0.9999637414806989,0.051337922181876855,0.39457730540510866,0.31078081215860587,0.0676188441149955,0.14862264953914534,0.9999869310349111,0.99999197040751,0.6302581658826006,0.9999913487682126
23,0.21476406006088866,0.17201327503441366,0.17640515450209684,0.10229145240692182,0.16183082953753242,0.19039540164784238,0.25890374312126335,0.22985886456479593,0.21289463536344652,0.15023286307923833,0.16677986060287062,0.14997240186233138,0.15057817187156283,0.1750312840489619,0.6667088330108005,0.17272937673993655,0.16589829979038684,0.1730815857028068,0.14880970099624205,0.14866869497133225,0.1484029523613793,0.14943996730047668,0.04306836366875236,0.2872887685866881,0.16549180900608784,0.08023380418938435,0.40605696575197,0.1497540030259502,0.14938877973097844,0.09759013112834258,0.1486634087516764
24,0.45909832312520077,0.65793150621845,0.6236752458134017,0.24505485619058553,0.6395463983528907,0.43801017921974533,0.4762779848148043,0.47557090555963766,0.5912196790825701,0.6281632697767042,0.6309514063180045,0.631686303317552,0.630826153640429,0.6094245624413014,0.1351835843356479,0.6539331482420139,0.6235860127314294,0.6498231970699275,0.6301975033062577,0.6305486093223192,0.6293710785869295,0.630656288850135,0.020888023389314125,0.33448311242128753,0.24893754651089559,0.032503876318277475,0.09758442033271555,0.6312202786564384,0.6294471964088229,0.9999986058607342,0.629141237426888
25,0.23910410287223338,0.17761731264847982,0.17901982316629145,0.11889308203836002,0.1637314237946321,0.2233525064326024,0.2788189701030246,0.25992739410904053,0.2287919568648585,0.14990839432153974,0.16819214087166884,0.14983397928945702,0.1505855904534328,0.18615308171756162,0.666593531006104,0.17696304607805355,0.16831135004550632,0.17586854280277206,0.1488525456526105,0.14870006339411865,0.14839033177422306,0.15005834304493887,0.15439275425666585,0.2872522696780274,0.16551784193872837,0.08015502905557693,0.40572419615796995,0.1501668639065526,0.1493204540651334,0.09752461829699069,0.14861731774321915
26,0.06914830157984432,0.08857006691905961,0.08673279813727337,0.03338297295312234,0.09175733523992877,0.07972816932664778,0.1149760494806724,0.07531942764268021,0.0986927288496439,0.08938056107860633,0.08967323369998244,0.0885655186515442,0.0891614315537947,0.10387499179175654,0.29106592169713635,0.0946730370352261,0.09743741332196797,0.09573187455905252,0.08907861991688223,0.088743651353578,0.08861043567050353,0.08979088533995208,0.30100121616093384,0.14925747131668984,0.07201470562012023,0.5521989784982307,0.4005645135999224,0.08918208173111658,0.08883029202145465,0.048206208580130444,0.08857572913975344
27,0.3023525665247709,0.34174112178612404,0.3516324518785676,0.17490122934294672,0.3303866024467025,0.2689810784763623,0.3279263088602383,0.30647207818982897,0.4001209828388113,0.3147226153872643,0.336425945504616,0.312737860235688,0.31373635790556786,0.3532992394543364,0.5111281984313018,0.34093613429538017,0.33667654098877287,0.3407219763294691,0.30996725516129753,0.3099847527429191,0.30979262815147013,0.31151787266904585,0.08614380376307391,0.3891311041730005,0.2644921535657405,0.1250610448415676,0.3626990005661339,0.3120427171967173,0.3114140891797111,0.13783820252850698,0.3105766964902718
28,0.091575593202324,0.09448210135023087,0.09709597779371576,0.036367665642994616,0.09570680731792187,0.08635677134291136,0.1287267997213133,0.10760003554230507,0.11145950842813639,0.09015574832389821,0.09441766087401239,0.08935177288485024,0.0894058767596188,0.10492085456218372,0.2906855584388987,0.10215500040204915,0.09814184926530752,0.10038851797194163,0.08895922511417695,0.0888396837108854,0.08870085033792809,0.08968521228861735,0.30118556016891174,0.1492943860227923,0.17908599399541156,0.15361683005685414,0.40051140409162594,0.08951998086371336,0.0892574858627421,0.04818753495247498,0.08881427329831977
29,0.4735463916373091,0.7580392463667505,0.7445164948829862,0.3085729779519633,0.7724310075626434,0.4894166353354984,0.5353867807883858,0.4900937808744653,0.7270417669892111,0.7931292586947942,0.7752759614924559,0.7894973144735565,0.791961860161552,0.7857525710261644,0.11617121444664014,0.7733384603888983,0.7899180919543952,0.7801030270926412,0.7949111507385395,0.7940968825343635,0.7951704710154407,0.7957551864253075,0.05560021630171891,0.274846314343894,0.20809826108997945,0.0743865324603925,0.08513766370858153,0.7917161186464702,0.7911370444886842,0.4715584019289238,0.7936125726986785
