K,n_total_GEPs,n_ambiguous,n_family_level,n_celltype_specific,ambiguity_rate,family_level_rate,celltype_specific_rate,n_unique_celltypes_covered
3,3,1,0,2,0.3333333333333333,0.0,0.6666666666666666,2
4,4,1,0,3,0.25,0.0,0.75,3
5,5,1,0,4,0.2,0.0,0.8,4
6,6,0,2,4,0.0,0.3333333333333333,0.6666666666666666,4
7,7,0,2,5,0.0,0.2857142857142857,0.7142857142857143,5
8,8,0,1,7,0.0,0.125,0.875,7
9,9,1,1,7,0.1111111111111111,0.1111111111111111,0.7777777777777778,7
10,10,1,1,8,0.1,0.1,0.8,8
11,11,2,1,8,0.18181818181818182,0.09090909090909091,0.7272727272727273,8
12,12,2,1,9,0.16666666666666666,0.08333333333333333,0.75,9
13,13,2,2,9,0.15384615384615385,0.15384615384615385,0.6923076923076923,9
14,14,3,1,10,0.21428571428571427,0.07142857142857142,0.7142857142857143,10
15,15,3,3,9,0.2,0.2,0.6,9
16,16,8,2,6,0.5,0.125,0.375,4
17,17,6,5,6,0.35294117647058826,0.29411764705882354,0.35294117647058826,5
18,18,10,3,5,0.5555555555555556,0.16666666666666666,0.2777777777777778,4
19,19,7,0,12,0.3684210526315789,0.0,0.631578947368421,8
20,20,8,2,10,0.4,0.1,0.5,9
21,21,6,1,14,0.2857142857142857,0.047619047619047616,0.6666666666666666,10
22,22,6,1,15,0.2727272727272727,0.045454545454545456,0.6818181818181818,11
23,23,7,0,16,0.30434782608695654,0.0,0.6956521739130435,12
24,24,8,6,10,0.3333333333333333,0.25,0.4166666666666667,8
25,25,12,4,9,0.48,0.16,0.36,6
26,26,16,5,5,0.6153846153846154,0.19230769230769232,0.19230769230769232,3
27,27,15,6,6,0.5555555555555556,0.2222222222222222,0.2222222222222222,3
28,28,16,2,10,0.5714285714285714,0.07142857142857142,0.35714285714285715,6
29,29,20,2,7,0.6896551724137931,0.06896551724137931,0.2413793103448276,3
30,30,21,3,6,0.7,0.1,0.2,3
31,31,17,5,9,0.5483870967741935,0.16129032258064516,0.2903225806451613,4
32,32,24,0,8,0.75,0.0,0.25,4
33,33,24,3,6,0.7272727272727273,0.09090909090909091,0.18181818181818182,3
34,34,18,5,11,0.5294117647058824,0.14705882352941177,0.3235294117647059,6
35,35,20,4,11,0.5714285714285714,0.11428571428571428,0.3142857142857143,5
