GEP,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
1,0.9812708774269897,0.4529177852740947,0.628865487283309,0.5826762240452324,0.6633051087625387,0.6285185290745917,0.7527248717424956,0.4955982940760389,0.5449008313658193,0.4610018501462338,0.5196837939684782,0.46917366106001024,0.4880998879377681,0.47018861289674146,0.46268470055943495,0.47875692178492973,0.46820912034422385,0.48415384347510215,0.4797482493865108
2,0.4651742162012621,0.9954054675199132,0.5948758649800954,0.5629059104716496,0.6798267550255249,0.6145346871656102,0.49455384372916444,0.49712108615531236,0.5237102189908655,0.4718319081526394,0.49911379793590316,0.4637964315491139,0.4473690055864707,0.4690168313522706,0.4911442048678421,0.47149108837500797,0.48317003123864644,0.47896647018692035,0.4724336556043449
3,0.4758557532770066,0.4562174688421659,0.9803167493156683,0.986078704276847,0.967080020041148,0.8054214106245432,0.7817753918847342,0.992861560975116,0.9860023460606129,0.997843776163074,0.9919126197162447,0.9968077159444888,0.9959506860650841,0.9917401798680958,0.9953736446209691,0.9923508035847729,0.9957380157457132,0.9927536564795556,0.9942955143242359
4,0.47950772228295346,0.46403195982860057,0.9823043915747873,0.9899047557767131,0.9658762498912798,0.8085943972710236,0.7898712322492454,0.9968162231616191,0.9897662083331477,0.9966158144934605,0.996867106211479,0.9995291719669287,0.9971051634249767,0.9970908716358998,0.9978776571218515,0.9972789754166761,0.9985392780959393,0.9976795966843007,0.9985527755787453
5,0.069987672751847,0.05838904983745072,0.23187471315992111,0.2388512025989874,0.17732874211496866,0.19940124504766155,0.15677951370816065,0.22756276870894937,0.25296524876187043,0.23155589148757932,0.2405436910935307,0.24229526091951603,0.24493559379366575,0.2437892035421596,0.24768289973271845,0.25672532288319416,0.24009287797055684,0.2513029458001837,0.2408815925361521
6,0.10647479117568617,0.09725643492842044,0.22961365469089434,0.25411028114100964,0.22411782974245295,0.3535897942789132,0.3238922075635254,0.24166062644787722,0.27722641182183927,0.24644043301773597,0.25363036705125935,0.24538777530294453,0.2704925643750884,0.2434673642992126,0.26650801882313724,0.27194300093648516,0.2548407606512992,0.2606287632271884,0.2474810070599354
7,0.5151405741725067,0.47182013013224805,0.9821552836173738,0.9875359034259088,0.9755348979441787,0.8387920266630764,0.8200739553741169,0.9925959334130514,0.992682677973565,0.9951435195236077,0.9930852656157219,0.9942578704347103,0.9979802433354141,0.9895562326378847,0.9936934090002838,0.9928930011308603,0.9937144021335136,0.9927850049253643,0.9933641806246304
8,0.4756882084520022,0.46672831828207956,0.9807212519982738,0.9888702826973531,0.962604636427882,0.782152556556573,0.7638793905948524,0.9986998024071219,0.9884324892156049,0.9891710457169373,0.9983729954362819,0.998695107231508,0.9928494150939849,0.9999609369661678,0.9965980013768908,0.9984683060240727,0.9982464596856693,0.9992447047198021,0.9996952965192232
9,0.48955472620109935,0.4702119010409034,0.9817164288495607,0.9880973783791712,0.9715328770958599,0.8036431464563062,0.7837733425875519,0.997548509394741,0.989699271625071,0.9953973529043261,0.996205426007307,0.9985031089507824,0.9970385285468246,0.9960892685100593,0.9966738385215107,0.9958611534744445,0.9978966132795598,0.9965973115834788,0.9979556711747136
10,0.5048277458446998,0.472833795207243,0.9831465157690089,0.9905766771068945,0.9695919663160355,0.8281866892903611,0.810943829002124,0.995512925971306,0.9952321976018045,0.991859337662729,0.9975587369681791,0.9966541589210378,0.9964346327621311,0.9955771953759541,0.997513719744608,0.9985268761751883,0.9977856225910159,0.9983666433460905,0.9971662414601865
