GEP,1,2,3,4,5,6,7,8,9,10,11
1,0.23653007691535113,0.2829441770842257,0.3234758915183521,0.33806707461645163,0.2681007934656688,0.23456523357716086,0.3129840602720264,0.27222103883490156,0.2495367487962463,0.2602356379375302,0.2812006783330369
2,0.21716097235202997,0.9525290900376601,0.9402087461409617,0.9292026646282056,0.9420189559508613,0.9500191261795615,0.9415539263971215,0.9492209195221485,0.9512480511144336,0.9469951587021221,0.9496486002237189
3,0.11207017681141794,0.9999402302318549,0.9896065683573316,0.9875726148967503,0.9945462632752512,0.9922556335382188,0.9914764628626329,0.9931490936849554,0.9926968128405952,0.9895557097959077,0.9901034214939888
4,0.1137876159529269,0.9908740305393383,0.99986946684439,0.9940041407671784,0.9952646160738807,0.9858123258550388,0.9975996669827251,0.995832389485515,0.9913491976753448,0.9900721966514079,0.9920787089639189
5,0.11506385585346082,0.9891962264599727,0.9943568597080249,0.9994196611381996,0.9942324595675288,0.9832970750695482,0.9946136046861251,0.9950099033765618,0.9906742944841662,0.9884413286531696,0.9915221400177007
6,0.10138333188752872,0.9951409024433671,0.9949054226916567,0.9926645161119422,0.9998085944911727,0.9930328229762826,0.9960463151561509,0.9969175307013747,0.9967353469396956,0.9942511888782317,0.9947523173386346
7,0.10726105555086513,0.9930477288029579,0.9855089057698394,0.9822082639645059,0.9932677523152404,0.9997623210904111,0.9860591930885546,0.9935765205098491,0.994965714892303,0.9929265690955464,0.9924355490268224
8,0.1167634014127775,0.9920827666272901,0.9978161327758582,0.9947402970602472,0.9957263588783263,0.9858035917858649,0.9999659161247687,0.9940715810165697,0.9909306836578595,0.991638101410888,0.9929983306975124
9,0.10579571676040862,0.9940836416966403,0.9915207312217952,0.9901909898141034,0.9973518955264352,0.9950545962505178,0.9915532556611801,0.997159865376889,0.9996372378825493,0.9939074454970297,0.9963270673946192
10,0.11958582166391464,0.9904929348918433,0.9904107386479762,0.9882041269423062,0.9946268580155254,0.9929895872431083,0.9920668959711322,0.9942223444146572,0.9944842044685775,0.9999814377112886,0.9983557601618542
