GEP,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30
1,0.8217388476418691,0.8573124224321057,0.8837610567278444,0.9674961574344091,0.9524865719980277,0.9545927138150878,0.952596117061198,0.5169183909788347,0.9584520398747014,0.9660849729251778,0.9637223899656829,0.649244044254758,0.9647235162677902,0.9579253383965438,0.05916914541279419,0.9529063067723768,0.9601001665174088,0.9542619524360045,0.9539794874858121,0.9537489974537446,0.9533048376227246,0.9532796007514046,0.18305610296282107,0.6256585906379966,0.2010437698217901,0.07686463862671357,0.37152199156077226,0.09169415714795996,0.6524818640665844,0.047683302369943135
2,0.7437140415982467,0.8557304390192567,0.8574876003142913,0.9891614777345172,0.9741314606735649,0.9738146268154263,0.9743043274862103,0.5815167473938525,0.9867500662539648,0.9872826080699527,0.986803657826099,0.6619402432980457,0.9781476001723115,0.9791987665450916,0.06337597304133717,0.9741469619566809,0.9805265688804942,0.9752291103178681,0.9756005743674117,0.975215549766887,0.9747521483261232,0.97460858801142,0.17799133834123104,0.6124140095184559,0.18806100525153716,0.07554684174110977,0.3558321824082701,0.09005346523021936,0.7200370858347223,0.03529686487155785
3,0.6814795526047634,0.8090955446473578,0.8166570622263911,0.9949215816006013,0.9895029185294375,0.9895303592710346,0.9898045530908535,0.5869384876049147,0.9952395309392915,0.9973284454736855,0.9950096642385778,0.6489944072435093,0.9926959571439805,0.9927776674949033,0.06904388828417071,0.9894952567899629,0.9933685850672493,0.9904309404034154,0.9903462546465607,0.9902911411826079,0.9898770062286475,0.9898300267923725,0.1812761037846332,0.6317926617735513,0.18425671298967763,0.08212030258141997,0.3589742184933227,0.09696274999226856,0.7368692838586156,0.039347238052589
4,0.9384756641901915,0.9801283723992326,0.9975696962905714,0.8412272891751384,0.752448687283355,0.757435735224916,0.7597923915704152,0.39128607324486414,0.7939611773919489,0.808646703868665,0.8049065651711425,0.49512550247441556,0.7911654070391272,0.7723967689386757,0.06199607786239322,0.750716202613715,0.7756743988883131,0.7606814729352184,0.7554818731888182,0.7523771923874161,0.7531221089386995,0.7524497492415867,0.2029237466704404,0.4752702491357604,0.229366477630395,0.07592519060341127,0.27543346812114505,0.09609161665690971,0.5070825211212718,0.03942649643858239
5,0.5703940558906708,0.8224668059283521,0.8115275662594372,0.993821874650385,0.9847105659959766,0.9754144186243866,0.979274722681891,0.5822982088636128,0.9901166862155528,0.9851813591626153,0.9842229784195689,0.6347276037140177,0.9864588603888811,0.9824426467448638,0.07022095700355724,0.9760991339082844,0.9867515114332802,0.9819562049220286,0.9782870958800667,0.9770693363487641,0.9767288791028975,0.9761732219712265,0.1839001482776578,0.6331795101334288,0.19610221761113097,0.10454185936165974,0.36385172753729306,0.09512258874046182,0.7508649297673887,0.0514927484781885
6,0.6670646836152796,0.7930299942407227,0.7974038408342059,0.994644519077325,0.989641559861046,0.9891334638303843,0.9895617540937119,0.5891097237517391,0.9921467225165215,0.9940251460612366,0.99635591115447,0.640100638741315,0.9917973604488634,0.992845561833159,0.06282104363030981,0.9894150049364336,0.9934002518348519,0.9913233315305933,0.9908116546478545,0.9900975339139165,0.9898640086408289,0.9894853956049618,0.15994126984486604,0.629352519140614,0.17031893226712363,0.0922857992964761,0.3346570353602932,0.086734155804551,0.7500537600029441,0.04055948025727926
7,0.6627864733186029,0.7899613214092088,0.7953294516202809,0.9955681394575224,0.9924164668918533,0.9923770415621672,0.9926486205207277,0.5950682656377908,0.9943095039618549,0.996677788010199,0.9976805007627769,0.6388114562423655,0.9940961386944652,0.9953537232875351,0.06316905936442013,0.9925877302276641,0.9958154992231556,0.993997773096442,0.993647078741939,0.9931688304375671,0.9929474059819472,0.9926827691346152,0.15976106726595593,0.6237028862026981,0.16739209241530692,0.08928278864037305,0.33416397066453757,0.08675862512437756,0.7557402175548844,0.039828801166853424
8,0.5988478944228789,0.7318307690816296,0.7432748846482189,0.9862781954306656,0.9974870178305583,0.9999530016543462,0.9995671484617522,0.6250306529211891,0.99156112796584,0.9963625813936322,0.9943924903209257,0.6315590402956593,0.9960606952252865,0.9989052920106398,0.06790252746192875,0.9998691955625298,0.9978099283374708,0.9992116804582315,0.9996754768198892,0.9998136713363237,0.9998518067662882,0.9998856765428777,0.15100994773360177,0.6246514815080327,0.15073978584409478,0.08860871350035592,0.3148857168135348,0.08932673684442868,0.7893950132570413,0.03926538675867593
9,0.568241637718025,0.7394652510990839,0.7460258842147055,0.9889304657910654,0.9993410019443866,0.9987925650639606,0.9996597376926755,0.6328100464811062,0.9943164430279782,0.9967519665388579,0.9938544146292415,0.6423449943727684,0.9974443581881998,0.9989955698326839,0.07020974513798682,0.9989777990951858,0.9990974853066957,0.9995727077592099,0.999095459908697,0.9990543178545115,0.9990196839400196,0.9989642746929429,0.15837760260792139,0.6327954490916825,0.15860680479211547,0.0935333669052193,0.3243878730431248,0.09214767651622131,0.7896838357017996,0.04131688636481102
10,0.593902253742155,0.7281042741993295,0.7392942168626712,0.9858622673823737,0.9974663663561272,0.999978743514028,0.9996638830139633,0.6310756497426381,0.9914283814468019,0.996087986271939,0.9943029867360774,0.6319750374682908,0.9959650143827016,0.9989729450291881,0.06852224838368332,0.9999477015079725,0.9977734549058112,0.999301669890894,0.9998150410479131,0.9999079355774324,0.9999385317533024,0.9999516160189609,0.15018259591203373,0.6309891112129539,0.1505853570306967,0.08965099303886337,0.31251996357899053,0.08940248502448879,0.795064127278481,0.03920377774422105
