GEP,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32
1,0.7723789270662168,0.8658220681247228,0.7931249035797233,0.8262594660197072,0.7497359155069204,0.7650351494293789,0.779183049797308,0.7412612220723065,0.8800161580965998,0.7332632646923887,0.760384052924985,0.7897418863494599,0.7635862164398938,0.7431418965679665,0.7592819370924531,0.2901469152071755,0.5683574465284578,0.0912396641101365,0.0725074710243179,0.7361714406864198,0.733996502854715,0.05527224165946999,0.15347700280559642,0.7332958570179574,0.07251868875909974,0.2382190253081161,0.7313938022829375,0.7300087119772788,0.06618064267304823,0.11517548491169001,0.47338502542055294,0.03862818825015252
2,0.5513399448405496,0.973608412668983,0.9961616144233774,0.9950803608649199,0.995785281705641,0.9960803241116394,0.9965869715023835,0.9932268335565061,0.9698742065364688,0.9939067715862433,0.9953771960620995,0.9916485491123739,0.9946191746255525,0.9946820886906597,0.9958139172196333,0.2186492607084147,0.6694992509032921,0.09491867321207513,0.0906844344884579,0.9940192809404954,0.9943078442383267,0.07073052698691358,0.285476053122816,0.9944265236066855,0.0906888024776003,0.3324240722173556,0.9941302275719957,0.9939095436474327,0.16841240798889184,0.28656156700213054,0.7580160365423598,0.09208092673238487
3,0.5654333110119475,0.9762462562298204,0.9957870186932667,0.9965348836488365,0.9951176059829238,0.9951741707858847,0.9969804460326783,0.9924857717014159,0.9723589055914907,0.9926980599403734,0.9947469746019881,0.9917198211682617,0.9937891102726997,0.9936716007768329,0.9952298901111645,0.22245762200025612,0.6696866799022007,0.09420998779423335,0.08998392850346297,0.992668140029934,0.9932375928080599,0.06850773223017588,0.2890179089627686,0.9932658026179606,0.08998805824553807,0.32232817931691304,0.9929451226201096,0.9926510348305254,0.16749019900121942,0.28019787378902905,0.7445050956779117,0.08724362214301107
4,0.4252811114228501,0.5599220446310456,0.5562244863914467,0.5811578409346217,0.5137590748830191,0.5144227504316448,0.541648467680107,0.4654713008503091,0.6288158716070309,0.4709897969106051,0.4913055949489149,0.48768119653506303,0.5124277515164956,0.48419342595354264,0.4605750278952581,0.1568388470313744,0.3562542337579161,0.0390966863500797,0.03222641035395588,0.478682135404947,0.47550700111483746,0.022544369798028156,0.092510159007855,0.479091920985598,0.032290762645554645,0.14193644503570046,0.4752977963692368,0.4742126448716849,0.03889893682611507,0.06614443440102816,0.30836012012204184,0.01387325526379066
5,0.4938591119559933,0.9671012781873181,0.9937627442416889,0.9895020032689265,0.9961889450197026,0.99715521371944,0.9946026999321392,0.9974570451672493,0.9599087681751002,0.9982739390294866,0.9976155283566773,0.9912880666688784,0.9966309829526372,0.9983173507689282,0.9975696546483689,0.20680263021480097,0.6456175687217884,0.09406908119479744,0.09193353600817074,0.9980577856685682,0.998463416176541,0.07142073737537175,0.30872930664483555,0.9985182057158105,0.09193501998715613,0.327651428072877,0.9984598154015671,0.9983505482331595,0.1856124993673238,0.3101506160303974,0.7724253679160511,0.09198126533166905
6,0.7423455475388618,0.8568638581389207,0.7927269365333179,0.8221635140828683,0.7498030140036751,0.7657471905023786,0.7754131341154067,0.7383786690549637,0.872402519048419,0.7319091525784981,0.759091860243236,0.7843217221820944,0.7643388134960107,0.7417868534038153,0.7546136172369863,0.2608303590316101,0.5454532919102237,0.09508474072833223,0.0727744503366257,0.7358011893671093,0.7324872940781163,0.0666856678660969,0.15834650673453238,0.732458454931031,0.07279259825576413,0.22125645687566348,0.7304712675261603,0.7290806720929108,0.0734843973633016,0.1213980784912822,0.4892441281597466,0.03614721899933432
7,0.4877031392600664,0.8942662411080697,0.8065294090620425,0.8311014037181295,0.7677313730920525,0.788147008818345,0.790418841887457,0.7761431053931058,0.8887236410433011,0.7640402075080159,0.7903277141445526,0.8248631653318651,0.7901746138230545,0.771797036807148,0.7936513519852381,0.3396118005057612,0.5747925341038215,0.13091785054480917,0.11696801894245823,0.7659662870153123,0.7627881197747277,0.09270761617776717,0.20585245668588353,0.7611223983089005,0.11695098451894767,0.2796496977156859,0.7599284818700655,0.7587396514117896,0.1054795804512763,0.16488289487420396,0.5352377255651322,0.057338019736658405
8,0.8342878273161579,0.8581431707153481,0.8025067338493015,0.8394075439888512,0.7602629765191085,0.7768326005509725,0.7904966668998463,0.7524802358418711,0.8693439049352941,0.746281166677745,0.7728813792280603,0.7951931957172312,0.7747688218944605,0.7562406849769329,0.7734100646753358,0.3055287554120151,0.5767382788758825,0.10478018508797263,0.07970124180758824,0.7488644024850358,0.7477010484796408,0.06253446845041939,0.16347430058073453,0.7468302327292693,0.07972097110298304,0.24593526399615048,0.7451299072051786,0.7437133347001836,0.07144074474916469,0.12889649010624438,0.48991298972361447,0.04153157179715123
9,0.4932542567472264,0.99678833696701,0.9834397877981036,0.9844340825893749,0.9765568040395878,0.9782147568643197,0.9803921705352492,0.9750719957311418,0.9945945663563148,0.9711493194409946,0.9793535681735157,0.9873630178568319,0.9797047101175453,0.9733166469049238,0.9772123872004337,0.27878126739971687,0.7093843656048746,0.1161761155610486,0.09978914304470611,0.9726985598987139,0.9705038914639625,0.07953029527187258,0.28982836570950754,0.9705266234384248,0.09978503944926712,0.3639005655619143,0.9697067985851888,0.9692863459194504,0.15425862875223026,0.2305020318432502,0.7270131203103526,0.08455932979384762
10,0.4569959899199942,0.9692360719696085,0.9933260012623925,0.9865049996603579,0.9969197970798086,0.9977273627808452,0.9939621875214342,0.9995302912090773,0.9613502516596978,0.9999302302637616,0.9984583096678965,0.9931774148194741,0.9978616993443897,0.9996838004748675,0.9977627744419775,0.19217833306009025,0.6345407469253626,0.08954624799336311,0.08982164395208592,0.999668283591888,0.9998744566342789,0.06849972944230352,0.3118790373012865,0.9997986584958154,0.08982030829765231,0.31288941620340716,0.999874512537951,0.9998813945422425,0.19224629528968407,0.31231279168176623,0.7931334338855304,0.09014132876232478
