pathway,K5,K6,K7,K8,K9,K10
MERGED_CLC_IL5RA_POSITIVE,2,2,1,1,1,8
MERGED_CLUB,3,6,7,8,9,2
MERGED_COL20A1_POS_SCHWANN,4,4,5,5,5,6
MERGED_COL9A1_HIGH_CILIARY_BODY,4,4,5,5,5,1
MERGED_COLLECTING_DUCT_INTERCALATED_CELLS_TYPE_A_CORTEX,3,3,3,3,3,2
MERGED_COLLECTING_DUCT_INTERCALATED_CELLS_TYPE_A_MEDULLA,3,3,3,3,3,7
MERGED_COLLECTING_DUCT_INTERCALATED_CELLS_TYPE_B,3,3,3,3,3,2
MERGED_COLLECTING_DUCT_PRINCIPAL_CELLS_MEDULLA,3,3,3,3,3,7
MERGED_COLLECTING_SYSTEM_PCS_STRESSED_DISSOC_SUBSET,3,3,3,3,3,2
MERGED_COLLECTING_SYSTEM_PRINCIPAL_CELLS_CORTEX,3,3,1,1,1,1
MERGED_COMPACT_VENTRICULAR_CARDIOMYOCYTE,4,4,5,5,5,6
MERGED_CONJUNCTIVAL,3,3,3,3,3,2
MERGED_CONNECTING_TUBULE,3,3,3,3,3,1
MERGED_CORNEAL_AND_CONJUNCTIVAL_EPITHELIAL,3,3,3,3,3,2
MERGED_CORONARY_VASCULAR_ENDOTHELIAL,4,4,5,7,8,9
MERGED_CRYAA_HIGH_CILIARY_BODY,2,2,7,8,9,7
MERGED_CSH1_CSH2_POSITIVE,3,3,3,3,3,2
MERGED_CXCL9_POS_MACROPHAGE,1,1,2,2,2,3
MERGED_CYCLING_DC,2,2,1,1,1,1
MERGED_CYCLING_DEFINITIVE_ERYTHROBLAST,2,2,1,1,1,1
MERGED_CYCLING_NK,2,2,1,1,1,1
MERGED_CYCLING_T,2,2,1,1,1,1
MERGED_CYTOTOXIC_T,1,1,2,2,6,4
MERGED_DC1,1,1,2,2,6,4
MERGED_DC2,5,5,6,6,6,4
MERGED_DCLK1POS_PROGENITOR,4,4,5,5,5,6
MERGED_DECENDING_THIN_LIMB,3,3,3,3,3,7
MERGED_DEFINITIVE_RETICULOCYTE,1,1,4,4,4,5
MERGED_DELTA,2,2,1,1,1,7
MERGED_DENDRITIC,5,5,6,6,7,8
MERGED_DEUTEROSOMAL,2,2,1,1,1,1
MERGED_DIFFERENTIATING_BASAL,2,2,1,1,1,7
MERGED_DIFFERENTIATING_STEM,3,3,3,3,3,2
MERGED_DISTAL_CONVOLUTED_TUBULE,3,3,3,3,3,1
MERGED_EARLY_AIRWAY_PROGENITOR,2,2,1,8,1,7
MERGED_EARLY_CAP,2,2,1,1,1,1
MERGED_EARLY_ERYTHROBLAST,3,3,3,3,3,7
MERGED_EARLY_FIBROBLAST,2,2,1,1,1,1
MERGED_EARLY_IMMATURE_ENTEROCYTES,3,3,3,3,3,7
MERGED_EARLY_MESOTHELIAL,2,2,1,1,1,7
MERGED_EARLY_STALK,2,2,1,1,1,1
MERGED_EARLY_SUPRABASAL,2,2,1,1,1,1
MERGED_EARLY_TIP,2,2,1,1,1,1
MERGED_EC,4,4,5,7,8,7
