pathway,K5,K6,K7,K8,K9,K10
MERGED_STEM,3,3,3,3,3,2
MERGED_SUSTENTACULAR,3,3,3,3,3,2
MERGED_SYMPATHOBLAST,4,4,2,5,5,6
MERGED_SYNCYTIOTROPHOBLASTS_AND_VILLOUS_CYTOTROPHOBLASTS,2,2,1,1,1,1
MERGED_T,1,1,2,2,2,3
MERGED_TGFBI_HIGH_EPITHELIAL,2,2,1,1,1,7
MERGED_TH17,1,1,2,6,6,4
MERGED_THECA,4,4,5,5,5,6
MERGED_THICK_ASCENDING_LIMB,3,3,3,3,3,2
MERGED_THIN_ASCENDING_LIMB,3,3,3,3,3,2
MERGED_THY1_POS_OPC,4,4,5,5,5,6
MERGED_THYMIC_EPITHELIAL,2,2,1,1,1,1
MERGED_THYMOCYTE,1,1,2,2,2,3
MERGED_TM4SF4_POS_CHODL_POS_NEURON,3,3,3,3,3,2
MERGED_TM4SF4_POS_PENK_POS_NEURON,1,1,2,2,2,7
MERGED_TRABECULAR_ATRIAL_CARDIOMYOCYTE,2,2,1,1,1,7
MERGED_TRABECULAR_VENTRICULAR_CARDIOMYOCYTE,2,2,1,1,1,7
MERGED_TRANSITIONING,4,4,5,5,5,7
MERGED_TRANSIT_AMPLIFYING,3,3,3,3,3,2
MERGED_TREG,1,1,2,2,2,3
MERGED_TREM2_DENDRITIC,5,5,6,6,7,8
MERGED_TROPHOBLAST_GIANT,3,6,7,8,9,10
MERGED_TUFT,3,3,3,3,3,2
MERGED_T_ALPHA_BETA_ENTRY,1,1,6,6,7,8
MERGED_UNKNOWN_INP,2,2,1,1,1,1
MERGED_UNKNOWN_NEUROD2_POS_INTERNEURON,2,2,1,1,1,7
MERGED_UNKNOWN_NOVEL_PT_CFH_POS_SUBPOPULATION_S2,4,4,5,5,5,6
MERGED_UNKNOWN_NPC,2,2,1,1,1,1
MERGED_URETERIC_BUD,3,3,3,3,3,2
MERGED_VALVAR,4,4,5,5,5,6
MERGED_VALVAR_ENDOTHELIAL,4,4,5,5,5,7
MERGED_VASCULAR_SMC_1,4,4,5,5,5,6
MERGED_VASCULAR_SMC_2,4,4,5,7,8,6
MERGED_VASCULAR_SMOOTH_MUSCLE,4,4,5,5,5,6
MERGED_VASCULAR_SMOOTH_MUSCLE_CELLS_AND_PERICYTES,4,4,5,5,5,6
MERGED_VEIN,4,4,5,7,8,9
MERGED_VENOUS_ENDOTHELIAL,4,4,5,7,8,9
MERGED_VISCERAL_NEURONS,4,4,5,5,5,7
MERGED_WIF1_HIGH_FIBROBLASTS,4,4,5,5,5,6
MERGED_X,4,4,5,5,5,6
