GEP,1,2,3,4,5,6,7,8,9,10,11,12
1,0.198299598465182,0.4255649594749336,0.3478788222775289,0.2753956945248479,0.22982094982688892,0.42984137712907566,0.33699388666649166,0.17415292103944335,0.31449759886968676,0.2948841507919894,0.18840140036654696,0.24568484487478529
2,0.862454520892135,0.15238825570893974,0.8034474500167723,0.13833914042876685,0.914167256877956,0.7948462397927519,0.9280430164239467,0.7877683518024735,0.9363497874510651,0.9522924587795317,0.7254917618640438,0.9767038292857503
3,0.20015177716610388,0.5033464862187356,0.36192640747814525,0.38889484397362983,0.3387299759945914,0.40886419888852177,0.5426507771553682,0.26673571980933486,0.5154498353231733,0.4759760363417883,0.3227591073758447,0.4115037071943875
4,0.9408015818205016,0.21348942348346175,0.9960206850819892,0.18242175150625087,0.7828557830121717,0.9310808959922201,0.7112451222217568,0.5443930040747672,0.7385457152340988,0.7568995145751133,0.5095784285121185,0.7676720001440105
5,0.7543914670426933,0.17547865771689924,0.7673513796928594,0.28947010372580434,0.9942622031861511,0.7610905979555824,0.9491265162229622,0.716491768022767,0.9540358419274242,0.9653902242266621,0.7856458083022744,0.9784297958617669
6,0.7548280794962522,0.2596173429104073,0.764054479320991,0.3258885535112606,0.945361200819792,0.7988686754105557,0.9905789506583539,0.7626823337537849,0.9781195823438055,0.98324850863586,0.7564543688512118,0.9802999693737924
7,0.7316274096138595,0.25041840450958763,0.7326437467238576,0.30327007531060357,0.9502141113983599,0.7662657176766201,0.9817054174017877,0.769712215402581,0.9958469787902444,0.9971902519269571,0.7941330086903333,0.9823999662852834
8,0.6802686903140018,0.18073020013876792,0.7072686690400233,0.2988167297877929,0.9369136883551354,0.6952608133253657,0.9625759003541394,0.7189000067630107,0.964978635834702,0.9744306122396142,0.7458189444672392,0.9884340713986502
9,0.9466864631058557,0.28284531551839065,0.9455378574686103,0.1901871471408595,0.7862852886950905,0.9902173846910507,0.7453536586783043,0.601595796537843,0.7658693364594455,0.7767743534586432,0.49495489989007796,0.7701249368470637
10,0.7611479798335656,0.19817079547050856,0.7548743958645596,0.25201326879630626,0.9596735975307364,0.7636134401627507,0.9745108643867545,0.7872198836702619,0.9850290499720622,0.9947944592005638,0.7824926765023311,0.9969715672538404
11,0.7507243394602128,0.2057090595254829,0.7486114221316146,0.2590697528959875,0.9581930276888975,0.7617876945744544,0.9773050546610604,0.7628121622412758,0.9909071926652769,0.9969327272298064,0.7832408542395402,0.9954811274449622
