GEP,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
1,0.5327058461666936,0.0743757911342438,0.19912251968697367,0.10214088250932166,0.09298390589336594,0.08660428147643727,0.1684912307015853,0.13917826519663606,0.11347965048758778,0.14883320660246505,0.1647848455952036,0.13855363275081495,0.1452529994857396,0.10465605420599958,0.1211838416997659,0.08533282483089462,0.12175988648353103,0.1351861422784619,0.11537252125624956,0.11302863427323585,0.11641279928946864,0.12332266905748489,0.11034232793426986,0.11321618721705484
2,0.1979798974935619,0.6059825244348279,0.5856338256134356,0.5758011976189406,0.2652189636598109,0.599538797310755,0.7140312773738885,0.7004043128090519,0.652301004615163,0.7246630583621592,0.7071443210900751,0.4775080912443885,0.7087909017941647,0.577644441553566,0.6565144380605475,0.26651714462093856,0.646832690585818,0.4704509055327666,0.646694319604594,0.628493184652499,0.6598603634195543,0.6362164313588956,0.6208111511649085,0.6276213660924446
3,0.1230739720586574,0.6604251541780259,0.2028666288472611,0.6060427035767022,0.4268634845943859,0.6540004535851283,0.6225444046576241,0.5933303661474381,0.5932628258115126,0.5795375905986723,0.5849878366791281,0.7581298430963352,0.5734287405371795,0.5552280424792906,0.5938006545805139,0.46512605388146405,0.5854162619697073,0.7812567289210799,0.6132085242793581,0.610577986192876,0.617235012126654,0.6028764694805305,0.6212126411673928,0.6248275342257872
4,0.16277280739342673,0.9582756625199512,0.4548003284101275,0.9986955250825473,0.46730962144306043,0.9817188619381318,0.9671438622952221,0.9812866930585996,0.9915807995132315,0.9725694284181494,0.9758574985578797,0.755704270215523,0.9778780599234362,0.9985509508767422,0.9913595273265052,0.46663881622498005,0.9920577716740788,0.7572885313857639,0.9912448413751186,0.9918930656676823,0.9885768363658607,0.9892189316442459,0.9924750103949813,0.992643988452963
5,0.18576044245317128,0.9666220395547934,0.5302840303993571,0.9943665719408666,0.45687079763501465,0.9893921599592819,0.9727339935071411,0.985161551889721,0.9998727726913637,0.9782140833588713,0.9799943556394656,0.7783745293918103,0.9839846313655732,0.9921521032974602,0.9927922276241656,0.45392176794023964,0.9944046208642747,0.7793640117094411,0.9945366789850106,0.9965582934272181,0.994670167614895,0.9931347166245419,0.9948973078339749,0.9951730770821912
6,0.1663181704679958,0.9815201026576804,0.5190246531058877,0.9851426121529593,0.46287874530639644,0.9998998536033734,0.9594889377763727,0.9725541572891947,0.9870907632880135,0.9666247144012987,0.9648887205862768,0.7991282256571481,0.9717819485874716,0.9775857568101144,0.9827727082841557,0.46367359695460164,0.9847641988531034,0.8019233425686881,0.9876523909050735,0.9909952785162093,0.9874948315474076,0.9851251414346687,0.9891179778523643,0.9885314500307429
7,0.17150669106627556,0.9871508779187103,0.4513448410805807,0.9938569347630586,0.5166766122669617,0.9931489461222731,0.971937561261721,0.9829021979783867,0.9909486030011564,0.9685330586208983,0.9749351542874939,0.8058597744490185,0.9803085384485958,0.9860641057307326,0.9910540658033568,0.5168039224396637,0.9943577615135866,0.8074987292552069,0.9945419083594619,0.9946944092931559,0.989779950675876,0.9923778117728936,0.9967884611494661,0.9965856177055865
8,0.17159937473217557,0.5714416423825883,0.16390735703719087,0.48533902237051485,0.9998418486928474,0.46657133771587966,0.5128064747586577,0.47494214840713234,0.4470091450792827,0.4194024895654341,0.49335505847743033,0.5821268608506834,0.489507814854311,0.451035439771251,0.4660600737394638,0.9896220255129499,0.48496029966082405,0.5950966388163698,0.4952706760955787,0.4755616253015736,0.4570367022481281,0.47990378233720343,0.4975896645657319,0.49188547380032493
9,0.22235634060539225,0.9448809512129859,0.5903347331661072,0.9830078980168143,0.45109780246221115,0.9763821001368883,0.981625060668836,0.9876562356056511,0.9848994845605965,0.9975445103956642,0.9934832758337521,0.7742586684659258,0.987948517981528,0.9831491189612028,0.993207771992735,0.45315864232923014,0.9892342377384812,0.7775606730613148,0.9872925614464584,0.9879307310344558,0.9899738559683403,0.9890575708477243,0.9856767678887874,0.9866115420084618
10,0.2036566376160223,0.9573344358457393,0.5486651039244462,0.9916743592110554,0.4682086045435353,0.9814645700986849,0.989826731179834,0.9972830723796534,0.9911817102949688,0.9824109745592381,0.9883099236311684,0.7504508906664792,0.9955753024694208,0.9912741859548249,0.9973790497325608,0.4711257655853844,0.9988626680828337,0.7492057749593903,0.9956441889759482,0.9942373040298514,0.9921982829592453,0.9964746453056009,0.996014290638229,0.9962347562193004
11,0.23288725657505474,0.8478919795688402,0.33720032240175957,0.7764558568753106,0.5689596851923275,0.7993226206336382,0.8250728520486531,0.7729833831357897,0.7745537779037555,0.7682842180843605,0.7997816382712063,0.9997966174917889,0.7880414796867486,0.7300237612945459,0.7538745208328491,0.5725277683474171,0.7768325060475124,0.9967467182403178,0.8038992387429079,0.7867302712804227,0.7760046721421703,0.8066290940159906,0.7902082779429439,0.799972493767387
12,0.20270447782043471,0.8426422728015325,0.30176861810612154,0.7794498733184271,0.5678130803500155,0.7962705780947359,0.8133204263408635,0.7646147346670709,0.7744989365096516,0.7643910890958919,0.7954366064801784,0.9937881113088546,0.7804067253757725,0.7346569159039381,0.7509789345157888,0.5676981397381905,0.7731018298832671,0.9933763679429957,0.8006050006975316,0.784579499169727,0.7742846111874722,0.8020883287242119,0.7871361143891024,0.7968520547238628
13,0.2059492264273619,0.9647665886975281,0.5226015584593556,0.994429383737134,0.4950026756513104,0.985769785360305,0.984094745897116,0.9913981110740542,0.9923805319887444,0.9844306499532394,0.9929035938996835,0.7951897079991593,0.9898578370719037,0.9905887885283458,0.9985182686885472,0.49592630067283283,0.9981072603793937,0.7970389043267706,0.9960753461336126,0.9959638761806545,0.993333054412429,0.9966848037712984,0.997048715215982,0.9973611618613301
14,0.20942096043905695,0.9627253444407198,0.5357247308253132,0.9927617938772894,0.49703701795046096,0.9846939634671664,0.9858833837520544,0.9933415870066954,0.9911689020346087,0.9838240356880423,0.9934195316068318,0.7947128531740298,0.991601082271465,0.989332910447959,0.9987290008263541,0.4992263606930642,0.9975361883947553,0.7963893250695094,0.996089836459579,0.9950761030044989,0.9929665239309743,0.9957006876100966,0.9960711782652123,0.9963800407601473
15,0.17191447724428205,0.5681913447503308,0.16939387035529418,0.48349224700720195,0.9861486057599143,0.4669897175778994,0.5202000637900394,0.48043065674670193,0.4431393533028282,0.42051991380065107,0.4944290468911235,0.5847187298950184,0.49398089340825035,0.4484606243050617,0.46636561487833794,0.9994531610363045,0.4852498247697326,0.5954157974793912,0.4974188621009891,0.47488012070009805,0.4565008918421732,0.48014658756192613,0.4983563413542131,0.49256519535070437
16,0.18709186382462845,0.9692000072092253,0.5020226853580863,0.9966548855826349,0.48243520647659927,0.9899222366986105,0.9837758102793289,0.9927581373512099,0.9947483644866326,0.9774524354366394,0.983295314612935,0.7812138294615111,0.990001117615815,0.9928392557966942,0.9963925899438962,0.48468124168457205,0.9989076290933216,0.7808848281682466,0.9980204015197485,0.997745178980872,0.9945956775021418,0.9969875197622305,0.9996521985093559,0.9996156589997922
17,0.19906360226163414,0.9704149587185379,0.5091015927413732,0.9956730249360681,0.49722212104207897,0.9893188894787004,0.9845370347048867,0.9936295929125915,0.9943199366314743,0.9767917969517663,0.9836899322028441,0.8026116365997857,0.9908149594747673,0.9906359858902061,0.9945607542722318,0.5000324648195847,0.99833920007094,0.8015790665476681,0.9997608037609276,0.9967785114097113,0.9922506945642289,0.9961396367684142,0.9989562021983657,0.9991561273152867
18,0.09921324413748249,0.48676017340213423,0.19876631686702165,0.48742550690507974,0.5016840168716451,0.46814113901821786,0.4825338538307396,0.4833340578843275,0.44102700878282197,0.41795803634997875,0.45773159421416704,0.323924663954461,0.46287839461778746,0.4730300430187565,0.49305336381520576,0.5462794227082037,0.47662113282944263,0.3406624029854825,0.4725911180177628,0.4731758981195669,0.4748115956868327,0.45124227451240173,0.4980471629934017,0.48397613123981165
