GEP,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
1,0.9999953013631949,0.7911377019031193,0.13189775507662768,0.7579741606496384,0.1983557574123359,0.24511764059422464,0.5897578732192593,0.43124126527277373,0.5371169280808967,0.8340525540682429,0.8931196542529515,0.5935275650843505,0.7491389098332011,0.7641496003110714,0.760573462297877,0.6383506685381243,0.7747715915697477,0.7641699783736371,0.7604355848922443,0.7826749369957395,0.735717630709892,0.7740702187051982,0.5256737953373527,0.6354215860498167,0.6390200913420977,0.8090359756051199,0.5890874824851008,0.7686147330182318,0.572567256145697
2,0.7907942289451054,0.9999965438829851,0.3208739265148226,0.946006424334702,0.29943805801287654,0.4592393909701025,0.9411349625451813,0.771309067834405,0.8000911843331429,0.9430412615058463,0.811898741244111,0.7139372346553617,0.9430303863786171,0.9394382789841255,0.9498606883366968,0.6476658699872595,0.9471622280013801,0.9490915516097352,0.9485610221468402,0.9484581155508235,0.9516659627656239,0.9483490869686595,0.7421975525353689,0.6475797154714816,0.6475775640745649,0.5690244862219113,0.38511715262393487,0.9492612804359377,0.6485812446099285
3,0.13190278425329766,0.32099440630914217,0.9999918152108731,0.27966387600252723,0.33431068003922565,0.5120861205960616,0.4966865164146388,0.5244886753031683,0.5383213106337861,0.29270670460254405,0.29369602495647884,0.31841022008369085,0.36339869393635227,0.31799320109385915,0.29472048605335854,0.20035133752133288,0.3044522872443263,0.2964150941299874,0.31795346597827856,0.31069992995194073,0.32994162329865173,0.3098059278255942,0.22936621900454632,0.19116145514885688,0.18972981659790675,0.11159030455593855,0.083154024756247,0.2999419184268716,0.20224288800991372
4,0.1987690155961837,0.30000860258077966,0.33414079096881355,0.22029769497000584,0.9999984204647031,0.7642910906306459,0.24979668395757887,0.360509862852362,0.39735297619474796,0.23238881344019227,0.3894994665384797,0.4536004287679369,0.2681628483983028,0.2488391954350805,0.22735213234149687,0.2931790139566125,0.23818527045232624,0.2304230760793278,0.24129129471526106,0.24757660292038972,0.2411683513348382,0.24640691388757183,0.15757202780039134,0.2812746342975778,0.28095837372055277,0.3340250000798814,0.13481252358627402,0.2356891067861497,0.15957418226033263
5,0.7693642460616587,0.9486587547312739,0.283093263282101,0.9922441254930356,0.2228784496437033,0.28684651933570265,0.9400339047237832,0.7613683282896975,0.7626617640791327,0.9889931701753614,0.7636381537808943,0.6060558180378773,0.9903750649486053,0.9927765236376419,0.9996776695552897,0.7950318101494411,0.9984917378755515,0.9993595645820421,0.9973296063602188,0.9973590094030088,0.9966518377650655,0.9980996767263557,0.7977334737101207,0.796624232841499,0.7966811497349066,0.6330759554082358,0.49275593906419896,0.9990450511361394,0.7860578947646235
6,0.589810827445932,0.940859439803702,0.49364935667997606,0.9403548487840077,0.24887300182880703,0.3738444934991751,0.9999939690402222,0.8698127479585104,0.7979510070291836,0.9236951866539643,0.6412904312804263,0.5687859230755885,0.947683573483143,0.9377147520542038,0.942733367798996,0.6577397378087375,0.9414806767258993,0.9412139791151677,0.9447338238171517,0.9395250764527522,0.9513762577157822,0.9416770319154234,0.831882338025378,0.6549151902714005,0.6548524066655531,0.43941753904451936,0.30144274544490757,0.9414885810788188,0.6620827551746852
7,0.8342376927817378,0.9426754756308944,0.29306107477233145,0.9699072167420962,0.2328978083715699,0.3084141111155219,0.9231007964424194,0.7375134528040362,0.6893202068998753,0.9999970024142119,0.8087564573825297,0.6471697814626615,0.9796325569558226,0.9865656689056839,0.9894306175795274,0.767443655987218,0.9903368273979614,0.9908697309791691,0.9879463104628058,0.9899355514129434,0.9878563433411194,0.9899915858611699,0.7419092430532862,0.7687016021608357,0.76872717946063,0.6553622899925872,0.5326528719401958,0.9906805547698271,0.8075607861343252
8,0.6895372098280409,0.9108295864477879,0.39971368818122394,0.9648100192781285,0.2875217476890224,0.362998640485555,0.941548211087046,0.843789608983123,0.8201555878361354,0.954486642538329,0.7341115038705568,0.620902457373175,0.9869354644205308,0.9793303750953893,0.975340423526735,0.7854049298050277,0.980866499837689,0.9753153022203194,0.9796614491779323,0.9780527886373532,0.9773069349524909,0.9781252076826511,0.8243169021653635,0.7854658259516492,0.785319036264678,0.5883775870651613,0.47294214587590594,0.9764954386109511,0.7716732288967891
9,0.8933019080843825,0.8120605267562139,0.2923697384790781,0.7669436207472018,0.3884747796199389,0.5399765467308281,0.6416326905378404,0.619781496986759,0.6801143868959401,0.8084632768089479,0.9999892038651036,0.8501476302468342,0.7727879504664286,0.7672722876781881,0.7568330844850711,0.5590629074338516,0.7769090031896223,0.7592594963488759,0.7629128311479799,0.7829096461771702,0.73831451584735,0.7738226202623905,0.6233816609014509,0.5530215368005681,0.5563252108785307,0.702641379845133,0.5545954151947272,0.7648080672847586,0.5849130487971671
10,0.9008685159536557,0.7954464225403096,0.2819437071182389,0.7678166584784573,0.40275329024831796,0.521826035071107,0.6244701215309126,0.6144710659524047,0.6732248701148105,0.8045443992941412,0.9863313870053215,0.864620744246524,0.7713984067236216,0.7699071505181108,0.7551315950294187,0.594678271530464,0.7754149160405727,0.7577013981988443,0.7620701063462246,0.7828847106739479,0.7348832028891144,0.7726054248562676,0.5481389404328103,0.5890293210852048,0.5923677815570321,0.7492344508131501,0.578922669279714,0.7632044931949266,0.5467414468620834
