GEP,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22
1,0.12411063031607462,0.23985263543564014,0.8541586528658723,0.3017150695627259,0.3081470406673931,0.40370700863856745,0.3958314393898219,0.04681877544227065,0.42575322773923824,0.4231103911703673,0.3865677846364804,0.35763906263882617,0.08737265122258016,0.3037982560535934,0.33725389813414536,0.3160668079812103,0.23426386709724667,0.1028726893406161,0.3316958526869895,0.33214463038362846,0.3146293595984197,0.1814140535391265
2,0.11750287664236803,0.9939276782841667,0.3156700393761402,0.9608611090533328,0.9785920348237828,0.9629953787177803,0.9672311456287673,0.44136032693973576,0.9503903801642051,0.953482924920368,0.9684835656941632,0.9750398262179426,0.5661893110746801,0.9819954930582881,0.9787322869331746,0.9840390811165685,0.7542152290289635,0.5144927259243006,0.9809221811755313,0.9819054875743506,0.9860030932912205,0.8291081219594423
3,0.12839287548608883,0.9911958337213115,0.3595378979324268,0.9722561044672964,0.9900926187858297,0.9704985610186232,0.9731359252282321,0.38377172734776505,0.9638355678395005,0.9656238626288367,0.9798330956852399,0.9812385230487126,0.49661430059799877,0.9903046019122635,0.9881908197722996,0.9903171635251102,0.7743206119183524,0.4689864542274585,0.98872375297246,0.9913876226170527,0.9915188130279181,0.8216017394472609
4,0.24957364889668138,0.2041888306193321,0.8298076851231747,0.3133000164605357,0.3336520028395599,0.4091240287044964,0.4037943496921015,0.07670495555979989,0.4324247254905944,0.43091870510995733,0.38852372952501035,0.35538535189167997,0.11909209705582367,0.3043197992395066,0.33691981378063385,0.31599944789601303,0.2344886773833435,0.11780786042383862,0.33454466621470974,0.33310286973349434,0.31522440644224714,0.2096670902661187
5,0.13541745132966157,0.9566620011007699,0.4543937370038007,0.9864733210311096,0.9975230497811177,0.9769079374034919,0.9744200440771444,0.3129570584113467,0.9772676255361449,0.9697616804848702,0.9830194298262168,0.9835879900251923,0.42265286200305857,0.9899289240286437,0.9880254970914271,0.9867520573083982,0.7507846788829965,0.42205126717325026,0.9859420248737272,0.9913199400491689,0.9858268615111044,0.7563734128039559
6,0.16212732650597464,0.9522770933993234,0.44792414581262996,0.9816781885710112,0.9865904012764312,0.99831174311237,0.9981421382352835,0.3869367332386282,0.9864808508307493,0.9854179970798543,0.9910367087644035,0.9983401149020896,0.4860140845335034,0.9918012088454802,0.9941722307246526,0.9964081044555759,0.7695331026994278,0.48512802747930955,0.9964879643843195,0.9920857860614352,0.9959999480227775,0.7694220701959773
7,0.09258506540837445,0.670220712799492,0.1523288280047775,0.5753298902735311,0.5945676000540047,0.5823216926705047,0.6009211060183549,0.5871702005783724,0.5465680375361921,0.6099509137113983,0.6021489663517112,0.5701975884582906,0.7562024638679734,0.6081028797289151,0.6181813183182094,0.6208793075216603,0.4178856470217075,0.39976413863506144,0.641155002484103,0.6015450396461391,0.6402947458115751,0.7839944451386356
8,0.18003424622769318,0.908976897119993,0.5680635234766777,0.958356465980452,0.9635938405126868,0.9821870604595824,0.9761255433875545,0.3043912262392405,0.9973429956746315,0.98698797312102,0.9826051041788003,0.9766241860650305,0.3952279482137149,0.9657867956414605,0.9734398901711667,0.9668216050823712,0.7726562880392477,0.46279151676755104,0.9703750889166407,0.969394495561447,0.9651369301721245,0.6653823400476488
9,0.17640697322748555,0.9337850842539328,0.5118561266914905,0.9679507368301752,0.9730475593520984,0.9951760217641903,0.9939365240820455,0.37716368605826667,0.9793703035761554,0.9823127645932469,0.9841158166249423,0.9903231432441046,0.51046703803902,0.9764227024866402,0.9839796248558303,0.9850562225902321,0.7229527135353946,0.46426543473451,0.9873502236339473,0.9808466472085189,0.9841225819908114,0.7914411140274098
10,0.16353178999092596,0.6668867681116194,0.6399466203048164,0.7922931022608753,0.7691775391503769,0.816574366734749,0.8147949537403786,0.2733975358744814,0.8361823094706282,0.8328362194499137,0.8132462217265096,0.7886449298477384,0.38875304652869225,0.7744124943291318,0.7890394784623462,0.7746041901078172,0.5746166863021746,0.3376807595301677,0.7651227461407563,0.7666795588157926,0.7703113987580468,0.6259109957494672
11,0.1979049293958444,0.9380008381670808,0.5157391488866019,0.9688910763516553,0.9765752363390735,0.9861431804644402,0.9870194157976468,0.36280937054058066,0.9877686945336447,0.9908762818039915,0.9971986225886306,0.9826320209378906,0.4631621660188632,0.9789509577299533,0.9883864229968926,0.9818739389795503,0.7711501937635781,0.4488683458262518,0.9850696181188261,0.9816099305916823,0.9811850501773217,0.7937102522956758
12,0.16420068144863226,0.9592099757580722,0.4463364895205067,0.9780911961142009,0.9881487218028534,0.9896737891330075,0.9934319328036777,0.3530734372944706,0.9755272051051754,0.9802311718210476,0.9866029668356213,0.9918552809720836,0.48608298652291454,0.9907318531683517,0.990488189621103,0.9940173253582117,0.7957590978819954,0.4786157515829736,0.9911129345545518,0.9901726282775053,0.9940693289976279,0.7951305088480735
13,0.20476291426294238,0.6485091359992369,0.18455854279964437,0.5311311315443559,0.6049379544259573,0.5669626934765333,0.6109003297327734,0.30142165472316185,0.5523850404356447,0.6054030085312818,0.6134693714687633,0.5610342835126102,0.45608583571984485,0.6069430351876618,0.6157722720976395,0.625842268387912,0.7868999709396792,0.43995711928503967,0.6105650473690517,0.6031410389074796,0.6177343412790224,0.7834098017732727
14,0.14274027281578677,0.9696237499392503,0.4256374473231587,0.9861164114979323,0.9983820656575122,0.9837630784314035,0.9842685664536512,0.3469950759732951,0.975672549606101,0.9758270857964373,0.9873760301502335,0.9892252509454359,0.4635220419765917,0.9945105140442841,0.9936559271919122,0.9948342674170426,0.7552633436999644,0.42868682449310247,0.9938043113847219,0.9953206463491334,0.9946153874561395,0.8146823329799416
15,0.13478880354875586,0.970275946500202,0.37745857597755544,0.9913579831064371,0.9957804219347893,0.985663086786232,0.9860058326810215,0.37665052405518423,0.9804673282470997,0.977747028240173,0.9901366962010831,0.993357529925267,0.4816693449701846,0.999856501621837,0.9970695627597875,0.9982055671983255,0.7911593531763399,0.49022835205884413,0.9959581382813295,0.9971299188735047,0.9980326514531098,0.7805953785802708
16,0.16556323238625234,0.9632069585963952,0.4320463492219132,0.979956240605447,0.9895695532883211,0.9910966822440863,0.9949170468489277,0.37430300876195516,0.9783377100642129,0.9823557721180345,0.9896056246589108,0.9937582863590401,0.4879656354003089,0.9932473105004939,0.9933477427319497,0.9965155908328176,0.7979643741297988,0.48150735450739085,0.9941511772227314,0.9925934159440428,0.9966769278673903,0.7992200343755809
17,0.13334180417567176,0.9659228680285379,0.3920695348287468,0.9934856338662328,0.9957348328978267,0.9880792318297035,0.987385416585984,0.36515838002333423,0.982759724511497,0.9783763547004447,0.9903688498706871,0.9952014985567809,0.4775410901264807,0.9995674174256507,0.9967054943327393,0.9978273554789453,0.7803366202907396,0.4906542720423986,0.9956477408919047,0.9972047553097547,0.9973670473420644,0.7628632906932737
18,0.15015942645832162,0.9396911197520763,0.502640052791767,0.9707318804502965,0.9793056437513102,0.9743403461986159,0.9709938236810879,0.28768542719444734,0.9765795721515163,0.9702383991032318,0.9808033711924257,0.9772347301462879,0.3990641825960279,0.9747919609166761,0.9802577482595867,0.974891835796679,0.7184299238715154,0.3963202460247819,0.9798321487938492,0.9864260068024514,0.9736987225925609,0.7383514484143203
