GEP,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
1,0.20991904858609275,0.40732115548700065,0.11037085433747616,0.1499004929087949,0.13257991542594852,0.2388680879463556,0.14236618238754692,0.13535380460180932,0.14768109424980477,0.09276756319475761,0.17306902981434483,0.18608953796914396,0.14408681516446373,0.17744950560575415,0.1443557667367909,0.15344734493024256,0.15391144158064005
2,0.05337314341031764,0.08007860900875044,0.8129755990940771,0.8126986910712061,0.8256642069410052,0.41738511346599466,0.7941452270905611,0.7892333447757753,0.8067890948987243,0.5525767081273824,0.7944988311539793,0.9727428660935035,0.7456792565285567,0.7956697135365397,0.7877176943801212,0.7410216995632598,0.7901366480798397
3,0.32970200539997374,0.2679560353120586,0.15545206012779061,0.19393197825558112,0.1790957788655762,0.30078945492257125,0.1800900073768035,0.17821406362884942,0.19425084994061936,0.1098146430350593,0.2176272938528395,0.24157469361980105,0.17759616812614637,0.20964300072720923,0.18707064638672524,0.19449146596680839,0.19933457179707503
4,0.0679961966513229,0.17331582908350418,0.9537630459235206,0.9764040462557908,0.9640477788455043,0.4959241398664673,0.9921047971761422,0.9870557194019739,0.977136328761158,0.7795494106834443,0.9740676235040249,0.8063223067096804,0.9737488874355898,0.9615567230876909,0.9814333660345229,0.9754285761308858,0.9781329664248829
5,0.05734955833986016,0.19791381007335515,0.9680101623690578,0.9964614606399782,0.9720406591315164,0.6185159357572328,0.9777655611209715,0.9792468023494038,0.9930244905448332,0.7068830516891131,0.9697278638785567,0.8320631468618088,0.9824192471707236,0.9744109015143747,0.9781621099120451,0.9728908672712803,0.9775738420330512
6,0.09100444859765251,0.2740028037206566,0.9576810196298645,0.9706025652907913,0.9712592582146005,0.7074654633586874,0.9769884781625046,0.9800923713538316,0.9773333043205785,0.7790340225835614,0.9901153172312646,0.7670693028952843,0.9832356996907851,0.9806076995341959,0.9830898956208188,0.9860013789739325,0.9853247523085594
7,0.06488916868215121,0.24796427648275782,0.955253918260022,0.9771836410569396,0.963092927919375,0.7084769851119942,0.9702658243654335,0.9726170351892236,0.978092117129927,0.7210795237918289,0.971778650250501,0.6925882173112733,0.9896974794867444,0.982622925163472,0.9745516562823674,0.9789554495352417,0.9763164966645509
8,0.09173807473530174,0.25917862305190376,0.9616894661216532,0.971711799402468,0.973484747116461,0.7300185501678331,0.9779510551698114,0.978326993472843,0.9786359331782358,0.7744622103835653,0.9895732537734401,0.7491266160383272,0.9832795692405212,0.9782979408740071,0.9855567044794008,0.992006462058736,0.98847694609291
9,0.10031185918717755,0.22532896109107717,0.959814763247315,0.9743541029070557,0.9679139286729022,0.7135818329756437,0.9681054028399747,0.9722908350578636,0.9767589363489863,0.6862257456477626,0.9761915456855127,0.7794317935003897,0.9749052423661082,0.9654457323119823,0.9766408124472482,0.9798155664423236,0.9772085416066094
10,0.08656982021058425,0.22066048887089137,0.9752508052803506,0.9814548323475604,0.9850327175870381,0.682632742035576,0.9880349772995166,0.9894244530088021,0.9881232933340413,0.7919603259092477,0.9947779688559726,0.802945220032434,0.9881152859316238,0.9864767565377781,0.9940554382941293,0.9961260164188437,0.9963121239305583
11,0.08045679645453814,0.13344798532794,0.7999886279199729,0.823940415058337,0.8231961923545168,0.4644666810406645,0.8109604244212762,0.8015807026808347,0.8191500374368829,0.5557631125877946,0.8196912680970624,0.999523630301711,0.7562438268254453,0.8152976866789929,0.800451645779361,0.7561393808075665,0.8043743665220249
12,0.07164203366619935,0.20082688924992187,0.9849808228137021,0.9891081237266772,0.9928147326860612,0.6328043878940949,0.9942594846883787,0.9973353870267558,0.9939189994950313,0.7721027558279566,0.9958867396806523,0.8037534392851858,0.995211521287493,0.9872930896078773,0.9984690293344102,0.9970198361166874,0.9978763955000151
13,0.07268996286822839,0.20567932181169338,0.9822461054666654,0.9885122694597029,0.9909288299151413,0.6433969622948239,0.9932211636524201,0.9960160044725407,0.9936947635072307,0.7682705450389087,0.9987580878933489,0.8147732435079502,0.9946719221666285,0.9879032519052087,0.9976404584667125,0.9963613293953996,0.9973259202761954
14,0.07617214026009553,0.21000974744730705,0.9821177668811994,0.9878195486410092,0.9912489303287089,0.6479647798475345,0.9931142241292911,0.9960952486808492,0.9927412847421354,0.7740701648965267,0.9970896902381744,0.8020704673846543,0.9942822416931835,0.9859519037407329,0.9978442630357885,0.9971958907566767,0.9976240348127007
15,0.06307453479897247,0.21010101051312488,0.9814006833540275,0.987495202684179,0.9879705066947896,0.6576834263548927,0.9896309662759541,0.9919115946035595,0.992121755551031,0.7912171810295694,0.9909369887110222,0.8046636110781274,0.9948141034398014,0.9977116702970991,0.993782619056233,0.9931396030386821,0.9947259396505208
16,0.07150039561280794,0.1968813081751958,0.9841827315024368,0.9896002519135843,0.9922403384548113,0.6517135434397487,0.9932415086952479,0.9950272114679711,0.9943374816162522,0.7871339205242809,0.9957688347093078,0.811769619572081,0.9963971420135065,0.99050691447399,0.9979415271768465,0.9975179729944006,0.9992703724454974
