GEP,1,2,3,4,5,6,7
1,0.9994885080577964,0.044967883662909026,0.02685968531088938,0.5526532945083152,0.5725226133830715,0.7544486385417613,0.5362454433213932
2,0.04422945251512445,0.9989895683632186,0.7933136390243798,0.21840606694208295,0.15872729836841337,0.22748890507458533,0.17824051764460713
3,0.018900295539335314,0.4953456650025973,0.7231765740665571,0.1362227816112911,0.08682769683792986,0.14378512124418902,0.11359070576245556
4,0.21568788232050518,0.338119007450514,0.27720756353075626,0.5921295501478452,0.4963299373722731,0.4354036439148969,0.5109750131723756
5,0.5708188602488755,0.16508227769925782,0.12989553278119187,0.961804136438064,0.9986215975917055,0.6998726469141493,0.9693007274477876
6,0.5858558505262137,0.16083405039251064,0.1268796035373662,0.974532314621109,0.9691986443555761,0.7929748045120909,0.9972013817434384
