GEP,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30
1,0.034567848852386625,0.853962593052672,0.7906598775261224,0.12732804264184075,0.10310537097287566,0.2628321918815327,0.8428758486569264,0.7610394499632132,0.7767305695408939,0.9670626900836624,0.7573280231036537,0.966010205660952,0.6870671135188008,0.7713528742422974,0.7721967691890699,0.639402253647894,0.7746848505286447,0.7724888346437477,0.7737180941568896,0.7771013313596659,0.7529579630236984,0.4392372821466107,0.7759794960044947,0.9662896826684625,0.6374590352336952,0.9679586936548428,0.7698553425243947,0.8103907019178032,0.759336146041886,0.5741266143209345
2,0.046639678809823566,0.9118047240948078,0.9995457137311601,0.2538711036034419,0.17158752696732926,0.6909282226501118,0.9406854356841287,0.9453299528955872,0.9460543812230562,0.8357697149941462,0.9409010119319147,0.8381527109876505,0.653759443307645,0.9429649327654082,0.9466402480095578,0.648325213820884,0.949954012286369,0.9486615043757791,0.9468638669984408,0.9458278757996411,0.9484951582638902,0.5038520626847984,0.9484894218150165,0.8377759768883443,0.6464822931107301,0.8371710489069577,0.9475049752734158,0.5689099748589307,0.9466261162419781,0.4434489940838512
3,0.14783880641392919,0.2343437526320526,0.3280214561687004,0.33174364693198943,0.2478945911869572,0.49994512827790305,0.29125607526291236,0.31630763946053386,0.3128873147893399,0.17134892681018019,0.3623268310002406,0.17519046338595506,0.12882236086677665,0.3172233313466497,0.31595982702309805,0.19987337614713202,0.32321882965180637,0.297408957432481,0.3101095244405943,0.30171241860077624,0.31645499061571103,0.14485271806296246,0.3031182054163578,0.18223913819817342,0.1927390232385854,0.17865229602414925,0.2985825053573828,0.11061099566698067,0.29985332413328913,0.08184640568361973
4,0.05333034524964045,0.9562628083808071,0.9410877858763854,0.18218002027522978,0.1385885034781435,0.6464227608005525,0.9652068794067477,0.9958963580786012,0.9807875579139035,0.7986749494342145,0.9836253659100979,0.7990717025454116,0.6303998574424903,0.9864673814756254,0.987864024185484,0.7855283092235218,0.9878144914645014,0.9888650436273873,0.9875899044393353,0.9878056098435086,0.9872372504982572,0.6212484699543198,0.9875826164806796,0.7971934210824785,0.7864341007440177,0.7971347417809557,0.9880840975319058,0.6330259654884928,0.9878489694923328,0.4992321079734115
5,0.08226920276599947,0.20525178144153267,0.3096568821503508,0.40106959327632413,0.31161149958785844,0.21347790605591827,0.23095677676528945,0.24388262450141857,0.23537442004424827,0.26591319454625656,0.2664401963145693,0.2714467380114483,0.1822534186984164,0.24920117062100186,0.2506581135467463,0.29322579962105294,0.24223141173833262,0.23405325994320691,0.24680006531564808,0.24034137299406416,0.24222952861916439,0.19212161451478207,0.2388335080519149,0.27742336049574107,0.28323256683392606,0.27699818142625254,0.23490155886659772,0.33143483399791557,0.23256530891506977,0.23003727685234435
6,0.14070682919188732,0.24914707221570914,0.4795231960010435,0.5855363657846022,0.39978307634744514,0.33414929400867055,0.30762968775589106,0.3096960620021569,0.30528342276888915,0.34630315528343186,0.3553047288804862,0.35389413576885453,0.25483587443150213,0.32064219518272863,0.3188619326902872,0.23211655483023155,0.32435806265902195,0.30149786370182996,0.31420713121624516,0.30678353101752165,0.31032337446180086,0.15941476408405794,0.30846552030130003,0.3662408376662769,0.22389534810695605,0.36063518685449053,0.30122932818296966,0.2618213833252451,0.2981205831801946,0.19089112405282113
7,0.05675054551573615,0.8831019622168143,0.9384411957169223,0.2212984419733325,0.14783163751847642,0.8439869407039797,0.9193922505353653,0.9459919148716018,0.9346603912766831,0.6330058632281245,0.945956785020369,0.6353490197400717,0.5576423247705967,0.940657534563856,0.940040283867157,0.6565105977213843,0.942581954406604,0.9397296259006984,0.9403649669135088,0.939366066752109,0.9447762888048578,0.5753190676590623,0.9396140161182078,0.6359608052084005,0.6521636373769688,0.634560206696582,0.9401394726861954,0.43843657226489474,0.9406363548091233,0.3846593573077831
8,0.09931929495062701,0.6426678647666175,0.7739193365209165,0.32454322964489857,0.25411586710081296,0.806252402219108,0.7307888398829967,0.792465279200154,0.7432199159697775,0.5493082583997676,0.8053027172403571,0.551952982209492,0.4537289421565836,0.781662068881984,0.7737106755153438,0.6137771652771958,0.7780545554184043,0.7640224651146515,0.771855126495834,0.7711264396396871,0.7730729140894096,0.5028430330253877,0.7656673255320956,0.5542207883945104,0.607037960941455,0.5513282848625514,0.7642956856659732,0.43509348527623265,0.7638653659367235,0.35728569542802446
9,0.11254793562174827,0.7098844168622497,0.8054943941709011,0.3800735909728389,0.2919146070306518,0.6146198628123705,0.6766313881595972,0.7824466593365144,0.7519292146088692,0.6084979446970362,0.7967827105714022,0.6118657339541006,0.4659583727604357,0.7824736649466937,0.7702238220325877,0.5832798357293345,0.7706044223742823,0.7642534723206805,0.7672149713955517,0.7474292458583378,0.7696164702051198,0.4525727337396383,0.7661056217075025,0.6126306307967732,0.5860514499645236,0.6103167178896244,0.7598345322252533,0.4600634669075147,0.7632781195348762,0.35784691670996766
10,0.04096340451581512,0.9843991249724007,0.9371679434640041,0.16198374554556152,0.12477968633656689,0.5297026742364844,0.9997171144148785,0.9781537878134804,0.9928986064586564,0.8456595449450393,0.9788288904620802,0.8452786128020654,0.6345419271052601,0.9875230410254532,0.9883482391719638,0.7674963006981623,0.9884941973226347,0.9911461822776042,0.989069624686087,0.9899968858179973,0.987953056054509,0.5752999002497379,0.9910706582938046,0.8452997890803937,0.7683165516214698,0.8459995411935353,0.9907020005671551,0.6551842353922245,0.990067877462077,0.49003740764269005
11,0.0962119612625776,0.7887540893072365,0.8198049122873395,0.342499137943017,0.25577631822918706,0.46029326611943944,0.8124768168686873,0.771592715204614,0.7594462368936641,0.959668243911409,0.7838547113271862,0.9616076086603267,0.809111231830087,0.7816409048913907,0.7744799921950373,0.5602033303112448,0.7774561099814886,0.7680830794059345,0.774156348067066,0.776061379264572,0.7535353814523954,0.4530913947274219,0.7743648912288121,0.9650186172917177,0.5538866648640991,0.9627956717574665,0.7662484701873349,0.7028754826472903,0.7556599039355553,0.5907285532818023
12,0.11983487016391844,0.5570749999440539,0.7292628305311903,0.41630829940780867,0.3494724896948045,0.4082911692327078,0.6500228932024403,0.6343153589962316,0.5983991725049207,0.7514590830396871,0.6449583765208711,0.7548857101997796,0.5452276771562974,0.6260819053209591,0.6224270058760586,0.4693753839043744,0.6265033053543007,0.6094294646235434,0.6171215305638063,0.6201618598989498,0.6038636951511651,0.32383789943096836,0.6152287376284856,0.7576694088353454,0.4602353256470811,0.7537092355985208,0.6079165113448941,0.5742398192834022,0.5988520468621887,0.41276065999336
13,0.06441323757317904,0.9655869147187559,0.9383922386647682,0.22086927459534894,0.16930658637112764,0.6357145755551056,0.9752774794175626,0.992693844739803,0.9915332445458436,0.7831701941474828,0.999602395772485,0.7840448910860944,0.6259408036907399,0.9955002099788078,0.9968705052028092,0.7681582974111575,0.9970465386714312,0.9935934705513334,0.9961718691064212,0.9956973421416309,0.9952610309715891,0.6137575359309075,0.9944057691792232,0.7859566779000544,0.7681976585773134,0.785146672071189,0.9943067414809249,0.6048891031565548,0.9942994598223861,0.4820920645770895
