GEP,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
1,0.1075008514496491,0.1309799015281641,0.09939129519570168,0.9805284588999945,0.3637496753277933,0.10705527114084287,0.17844661797938705,0.4852071781571197,0.18107130295625834,0.11063688858224499,0.13827573223527964,0.15705077377472673,0.15715238736351103,0.1805885186955764,0.14771318926294044,0.14324542204027488,0.14150458375786057,0.14714432259674917,0.14343847431815882,0.14357049348830833
2,0.06307790817345099,0.07138555200137574,0.05396233059403515,0.1638562473894142,0.18901846065225933,0.05458902384592856,0.08741751625499102,0.19518125936943503,0.07098666075477263,0.09091732212558933,0.11018977991035712,0.07450573851792883,0.07449137371890835,0.0962513003177297,0.06727360448728961,0.06683844726350345,0.06557734711063515,0.06949768766341859,0.06690777900387172,0.06704210912719026
3,0.7717781760445821,0.9207446628030146,0.9996801285589898,0.10141122875535825,0.3054755194174091,0.9920695311264068,0.9714472899536367,0.21322493785366275,0.9146280688278162,0.7861908793889153,0.7927453835492121,0.9796652722617167,0.976150505530249,0.9545526237802163,0.9827517425288942,0.9830128117685988,0.983275765833429,0.9830471115943402,0.9828177883682871,0.982200000777019
4,0.8205796348747197,0.9341020508739571,0.9934397062074142,0.10869737765919743,0.3491279678713977,0.9999630781135286,0.9776982548185588,0.23566773120055373,0.9382574127072163,0.8261735657348621,0.8330216213591344,0.9852499936118578,0.98629115274004,0.9685538691949759,0.9894171696983222,0.990487460104598,0.9902535360742257,0.9896826616101565,0.9898927664009669,0.9902443009173273
5,0.8354289269064993,0.9568785880417457,0.9611682390785267,0.15486959456516575,0.45350993455454863,0.9765582887155432,0.9768511461122074,0.3363323232458493,0.9635737483803019,0.8118279125918944,0.8124233496079719,0.9829956025524844,0.9854452592817725,0.9758942575182195,0.9862678566533752,0.9871775803758939,0.9860074536531818,0.9860921998072791,0.9860985292138145,0.9870456182949793
6,0.2721428327377848,0.2670308572093185,0.23461694654788498,0.2547432197326715,0.5179098012361869,0.2658866119933859,0.35252700074939547,0.7018521836247555,0.38301644202053386,0.34918778526043515,0.3029122701246549,0.31132334665128975,0.3160684668249453,0.3764227670855308,0.3014660783367134,0.30662458658856295,0.2953857801754356,0.30521891427188474,0.29843939017189686,0.2966444466288631
7,0.6748138514906215,0.6837001684722535,0.6603223436412873,0.09696045690633515,0.20107014451884736,0.6650882436806463,0.660804792987002,0.2516836674811808,0.4589435316238593,0.8046161167544882,0.7991510076793454,0.6343466853266909,0.6284506990428055,0.6121846246405005,0.6310640670110894,0.6390849971480738,0.6333107147020938,0.6316946803157452,0.6311074280859083,0.6193617247311669
8,0.7872557065641763,0.9549455775890838,0.9679125557327303,0.17781996215732518,0.4517136836366822,0.9768050692463595,0.9921510115413549,0.3692623702665645,0.9518090247184041,0.8083601646729025,0.8311220925583233,0.9909609666959376,0.994462651992506,0.9779059414625807,0.9897933500151599,0.9900150684574784,0.9889313914473603,0.9905273866175681,0.9896666025159052,0.9892254834621093
9,0.7001107107275719,0.9319368288349953,0.9562207105905662,0.18265026357231562,0.46720835911162323,0.9691241203976421,0.9782888369312037,0.3547490117073505,0.9888817173569995,0.6968477847862781,0.705512800336189,0.9824219150119795,0.9851622786229469,0.9855842381134217,0.9834342982970371,0.982411741671953,0.981612652668212,0.9833681852324933,0.9825396569463343,0.9839551640764534
10,0.7745286795928802,0.9564780602641484,0.975282667705232,0.16635417773868555,0.4190824594955748,0.9828304772286955,0.9955528744030538,0.33427584871299465,0.9545653871202487,0.7926413112348383,0.8084989759476878,0.9973846776913253,0.9982592409990166,0.979123228587631,0.9961929344907035,0.996064837929922,0.996288567193092,0.9963071543259495,0.9965176260400772,0.9959489310708367
