GEP,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
1,0.04947230647893268,0.24705863857489138,0.3640568991044722,0.06441392407514698,0.06970711039327726,0.2023570344405387,0.087626835947489,0.1127395196776801,0.06882435264600875,0.06223966711519775,0.07775021611834447,0.06360074480515267,0.06328451684359639,0.06804569822652679,0.0646210008471944,0.06994262853353031,0.06684675638821577,0.06533544512764401
2,0.06835504509846604,0.7630687169021088,0.41251669959379234,0.2051877136200298,0.1930396451613268,0.4138657683836506,0.22783129217318018,0.25494115571963927,0.2659853488664438,0.17785615113303263,0.21130625303146167,0.19646751227489212,0.19463084103715986,0.23642171342169063,0.1905833935141913,0.11932231897554843,0.1880855841700812,0.185928810340044
3,0.8100945832066216,0.1000236813436112,0.06757561415091279,0.9712362818530337,0.9531668921085692,0.2470972620572358,0.9688884518629408,0.9516230292572878,0.9532187692351113,0.9868501280960167,0.9778149965798202,0.984608407316247,0.9865180561272445,0.9740841343569019,0.9873361863400433,0.8046965189035094,0.9873393123785551,0.9882364328973904
4,0.8002736021501232,0.14513208999946112,0.08838803075678943,0.9985620741722581,0.9753937136771585,0.3258669651845844,0.9769433747546745,0.9617992633682269,0.9710298595942155,0.9898699197660129,0.9832482673679077,0.9965930745116129,0.9922311514205493,0.9813743520704061,0.989236905698212,0.8272027610149585,0.9904278407899738,0.990288149193182
5,0.8197320669636897,0.11949403714054771,0.07472684159338576,0.9768348414976108,0.9647710617155498,0.2679532427783205,0.9803628725665058,0.9647019308349781,0.9617076170933331,0.9935334360815499,0.9881190280418006,0.9911614186183916,0.992520883192743,0.9832522964290729,0.9937358987820459,0.8265313298054746,0.9942440665509388,0.9949601340727279
6,0.4030342105735796,0.26616004572422836,0.17202986094225098,0.650153034934048,0.5088932723777777,0.5037051244744792,0.6688119262461825,0.7331219471369181,0.7439216643586293,0.5881142362351582,0.6482007857613994,0.635167620802974,0.6386396750319551,0.6712927666473923,0.6374686011814812,0.44389588056235113,0.6339800407443742,0.6189107891721475
7,0.7822106377143138,0.140322531904407,0.08941606283715009,0.9810239971252203,0.9935936994262535,0.28103350166556074,0.9844322141509443,0.9682807440284181,0.9636394059540359,0.9972100689907896,0.9904700807259653,0.9934803441157053,0.9929642381428623,0.9866261585169979,0.9940023808494682,0.8132951414499248,0.9945347913718928,0.9955906243714742
8,0.7785837927603289,0.13373277949282666,0.08209011166736428,0.9824465609380569,0.987795840345344,0.2810722221586436,0.9878323383433477,0.9692201260917386,0.967230633255048,0.9998140230297444,0.9938828804134449,0.9965021026724773,0.9961805191388261,0.9878197103402833,0.9968155198663665,0.8037257648748622,0.9974875496168397,0.9985141539188669
9,0.794800652056328,0.14510346148171413,0.09014099134182202,0.9963215213613786,0.9774697730862019,0.3127259577174326,0.9839524876646923,0.9704760898373176,0.9732380758813884,0.9939870297758742,0.9894471307695615,0.9988368511522168,0.9953605124158634,0.9869096642643005,0.9945029310221432,0.8215592197500994,0.9953525839298916,0.9949510737771389
10,0.5510074557668615,0.11000157180092794,0.05787912569626103,0.7078933072142871,0.7638810092457585,0.18376219533162425,0.7941718941439105,0.7428799675239547,0.7303223127609864,0.7859657309621777,0.7758132821464907,0.7497510119162192,0.7681588478891535,0.7867180447807774,0.7963715577974253,0.5585789326665953,0.7868870493700507,0.7839242591702146
11,0.7813881497657503,0.16992141728811788,0.11026531137231653,0.9764374211998886,0.9778535627007173,0.329844006248914,0.9973969030413778,0.9829115913929674,0.9715299538046205,0.9930089434035072,0.9993761006342143,0.9918773676776644,0.991627695580544,0.9903070612603905,0.9942870260626255,0.816358241301752,0.9952112763294672,0.99494878876039
12,0.9575125719417996,0.10909934158391077,0.11239144928609879,0.8303424560797489,0.7614590539052275,0.2484747690087729,0.8186419800531337,0.8005797043987668,0.6902547106872854,0.7964379057869504,0.8142172318320497,0.806452463555706,0.7666822469565894,0.8052175931919803,0.8012828756443737,0.9963630354942185,0.797469273362383,0.7917859030258174
13,0.735989150913618,0.1493925776782823,0.0877994718710668,0.986393797538639,0.9781417161959551,0.31767620951806547,0.9859333860465588,0.9695660775235033,0.9871885706645924,0.994952361698582,0.9911124030875467,0.9961408208322362,0.9995864369704043,0.9907242989114401,0.9959365394880056,0.7576196179896254,0.9970907981726935,0.9964705765426821
14,0.7835050947148414,0.1677880955582225,0.11352569450059745,0.9782088232620447,0.9633832067233251,0.3661075676939423,0.9822372109663396,0.9731675273712288,0.9819328321098932,0.9834240501239446,0.9839595901684305,0.986306081621074,0.9881378378846655,0.9972737507484478,0.9918809544916503,0.8140015628190538,0.9885523167973191,0.9863561027917908
15,0.7773710164836811,0.1421443702979353,0.08783969872164724,0.9834515537383592,0.9842381722310519,0.2944168854886144,0.9899800878997022,0.9770443856966152,0.9712395380018817,0.9991497622261569,0.9959319401924763,0.9970648138182934,0.9974852985800446,0.9905704078870754,0.9987284902466634,0.802084466446041,0.9992989231492159,0.9998160566825885
16,0.7308631126139579,0.16085032223743642,0.09540554939017575,0.9802841175954867,0.981794865420101,0.3232740976240513,0.9896550791499042,0.9828320107099244,0.9772416625656208,0.995829222203764,0.9952025974225714,0.9945238618974303,0.9970603555407269,0.991335910999693,0.9975423044467804,0.75660786542909,0.9980444753099147,0.9982893879754349
17,0.779755461109042,0.15130755647339056,0.09373894474639949,0.9840747726283126,0.9812222602025107,0.3072614819512065,0.9912528096337396,0.9815373239107924,0.9742926444547134,0.9969006946186342,0.9953412381840578,0.995806520636391,0.9969073378410545,0.9921805261679547,0.9986927848530907,0.8052529996145174,0.9993205551345655,0.9988654135271152
