GEP,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27
1,0.6608763836606236,0.09415746081151043,0.9872803951112905,0.9376512825194331,0.956006187805279,0.5924750505746248,0.8198301780410102,0.9238247728005825,0.6771372767115186,0.931272935222427,0.9388856109911105,0.9321858838992297,0.9163808143326276,0.9261593815325234,0.9368854057628161,0.5560150369702332,0.7009417669164343,0.9344733860043637,0.22804118446437954,0.9388640566765473,0.9361036138021421,0.11839354288573999,0.20651030946617163,0.6468685148527136,0.9360088048441354,0.697082152315668,0.9366647125739478
2,0.13497454265752826,0.3168143442575966,0.3272168438120978,0.28480089053257834,0.5259218569474414,0.59624738032636,0.5165457291819482,0.29280838295763756,0.25264191039998496,0.34051278714456745,0.317060898054865,0.3234946268213319,0.4612261790589765,0.4013135123179471,0.3136439805012573,0.12880208393492368,0.1773541560145933,0.3203739664156845,0.0544794022154258,0.3074544245368655,0.30575980918633316,0.02173150770779242,0.05581105294349757,0.19171703625769473,0.30167076929733155,0.17443703230509372,0.29983595491298004
3,0.6649274865175349,0.037268502148981156,0.6304548369347817,0.7869275117142288,0.6324606574708851,0.23549510498073647,0.5689436511216542,0.7698041479983897,0.5759288801030034,0.7949056205488552,0.7796221701054764,0.7948081869689849,0.6972294742244415,0.775672834803939,0.7853560916558723,0.46487249228570154,0.5988115785563004,0.800572055240927,0.4659880916348483,0.7885552303608366,0.7852780809321775,0.27609782638463065,0.47120170702153336,0.9949708556914668,0.7926755350125076,0.6185191617350709,0.7942309140402282
4,0.15041685443968525,0.0646876749044048,0.26635531280963437,0.17433996436804136,0.23676367168232362,0.45811353882698386,0.260156210165449,0.16614410035730648,0.30826368755277983,0.20232646242264765,0.19619222491765195,0.20474867174927266,0.27999810860826946,0.25656347000867863,0.1941261339223811,0.14185901210852114,0.2125135122543292,0.20291752854436212,0.13169151948069732,0.19155055048986638,0.18756070911741632,0.0493717289770864,0.06304250251082445,0.2144496626767747,0.18601220978703106,0.21586438287398682,0.18447942024669914
5,0.7576973954852216,0.08227629886880357,0.9488019281542922,0.998011197625005,0.9392333569643234,0.4177381684717641,0.7855245750980876,0.9848596301711795,0.7562309912446937,0.9881767747785914,0.9953991352977842,0.9907919179425961,0.9603391008078227,0.9760499780286899,0.9945525963313054,0.5873230741882595,0.7819188217553108,0.9923687778011059,0.3662543102751193,0.9943712147622531,0.9945552258566405,0.21128487488709308,0.3663707825377993,0.7820334582814986,0.9945721172544811,0.779599555872608,0.9952610219457018
6,0.2631404983505957,0.208036444540943,0.5980380321140373,0.4515146611713097,0.6885419791871236,0.6727412662810008,0.538192720579591,0.4927954602114527,0.4579794272084954,0.512942276141694,0.4734624569792079,0.4990020214097864,0.6540979499007863,0.59031624154663,0.49411701106187433,0.27931985818452865,0.35565391118542816,0.4982168512056949,0.12472721323001637,0.4886024688942321,0.48374967563384724,0.057978786237811115,0.10530002047487579,0.3335641593208774,0.47858814253869914,0.35628467643036654,0.47672530018056963
7,0.6019435311945879,0.048376952113909244,0.630304831149612,0.7801181145488133,0.6366811316838965,0.24825607715109585,0.6008432238763358,0.8057596791669078,0.5925420930576901,0.777073290562239,0.7420277692146655,0.7860875414035525,0.7625605226688442,0.7242069662783566,0.7707799903402789,0.41752194640156015,0.6065941583486758,0.7679107704259489,0.5015045184384682,0.7772560713074337,0.7809788515070087,0.2803415394171452,0.51244379831273,0.6194613265927825,0.7794535736838164,0.6097402135129706,0.7814538664788124
8,0.13767523314595229,0.25450182139091404,0.5382094184547552,0.38423709036240045,0.6653392350191063,0.9935928750838513,0.6124496883227013,0.3113783689053567,0.3074574024810927,0.4132691291964483,0.4350013771387838,0.3979738636475542,0.5362365891894847,0.46636591863840826,0.39253745049968247,0.17417690318844628,0.23750840323429126,0.39675453828419904,0.0888730530547886,0.38652105710700013,0.3856979153197963,0.04137784401082673,0.09548587188933833,0.2751049286752294,0.3791396149317964,0.2278692723005177,0.3785644988138478
9,0.8052633788105111,0.06986301809908584,0.9362736480660774,0.9884713427930487,0.9172749257311971,0.3152074179432571,0.6922036053035632,0.9993588613619463,0.7821247886386736,0.9800777907792024,0.9780280046566627,0.9847624574078185,0.9530174259409046,0.9687470207155361,0.9892600307171174,0.610054255689902,0.8123080312519249,0.986418193791802,0.38831333601614004,0.9906421422083715,0.9892436902353882,0.21944259576223044,0.3647114607440027,0.769876720504895,0.9896225981534047,0.8119969872067123,0.9902147745453401
10,0.7868979635946607,0.12485632091809847,0.9261920417020676,0.9789269097511871,0.933022459721004,0.4790307230882259,0.8242468538282041,0.9658161995082265,0.8278439531439263,0.9860472336123997,0.9837968922437554,0.987944695479278,0.9924293099296411,0.9880797829380531,0.9860076802822952,0.661145573353043,0.8223689598729084,0.987326791582142,0.394881160961214,0.9829313021338013,0.9861545387681336,0.2510769916899795,0.37885683333483305,0.7772652239457443,0.9842151684074154,0.8238815503268734,0.9833430703231394
