GEP,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21
1,0.1939499883155779,0.7882202658841568,0.7915700161772902,0.3012252677959683,0.7589039864486515,0.7376126370529698,0.6583227220645812,0.645121873694913,0.761317231780899,0.6673806651954169,0.7667975764439744,0.7717054778196331,0.657829039670743,0.8054064107586553,0.75395913945886,0.7712407817077405,0.7389294383300512,0.731634525994475,0.760459371518417,0.77263001644817,0.7732738814327252
2,0.24988907975730992,0.92364257383193,0.9346639864514923,0.2878432176590637,0.9509342643486144,0.9533656063776662,0.6804775769730788,0.918720172396178,0.9363166862903797,0.8142834232016808,0.9402661491438238,0.9553674583742504,0.5874781079610025,0.9558972176166183,0.9645310596926371,0.9564874226236685,0.9648665778466379,0.9224455383176277,0.9565958651058196,0.9591072839135646,0.9566579109129495
3,0.25444389056158545,0.9993112408665169,0.9928252483234402,0.227261840154179,0.9630415574402177,0.9741282947108028,0.7030122635960162,0.9297840769942095,0.957071782528055,0.7120345468051013,0.9525889475434804,0.9742539027610186,0.6263087498026357,0.9769923799222204,0.9828751181268781,0.9786331210175,0.9797709032586789,0.9458041616037852,0.9794728121009106,0.9845840751309145,0.9821526881262935
4,0.2627918325582751,0.10218172900274704,0.11016090641956933,0.42368122213055015,0.1588271137557708,0.17828081780141408,0.05212279087411113,0.23258865650999042,0.2077728445341802,0.2673795405325284,0.20121994443291555,0.15172896926300342,0.06290951038239145,0.14810767274718328,0.1384067817337845,0.1531567480452869,0.1454996072499768,0.18543009569190638,0.1527852325810635,0.14725018076900562,0.15200686200389404
5,0.8041115884410034,0.3173140422462424,0.35938568239253266,0.7939137557140206,0.45076864785569276,0.44829356647338875,0.19987077744543655,0.5609593330042533,0.5150084990624295,0.6477182643942556,0.5141624606136761,0.44577595810602544,0.1989750898425605,0.42518043637738556,0.3764168504837514,0.43175642981576756,0.3905096794049027,0.4977830972314669,0.40987094145978376,0.40033478105786185,0.40519718876386396
6,0.28402332521059076,0.9947344226780737,0.9994211274661416,0.2532406880719885,0.9757359538677173,0.9781615212931604,0.6650115345300239,0.9408272766838812,0.9630831284646346,0.6984970158247776,0.9658770052575049,0.9823035449543368,0.662052267394433,0.9875429398150385,0.9888852135625538,0.9855834178688742,0.9857371126451657,0.9610162925933647,0.9874426905305239,0.9899145293105371,0.9888436042938494
7,0.3620471287265458,0.9729760543011504,0.9777006807805176,0.3679475159944545,0.9740498295962301,0.9981940115230103,0.6383575596880757,0.972223736737243,0.9925061997873693,0.8050020806220147,0.9852991090668974,0.9935623716507377,0.6346268032852485,0.9862207361552165,0.9889530455516933,0.9958350490415055,0.9890958367079529,0.9683916398753136,0.9915305628557127,0.9951925172016213,0.9943250356945842
8,0.4131342464497218,0.22080920690568054,0.2394219191810069,0.6453322941077858,0.3371026785575834,0.34675409854373257,0.1582252993672018,0.43013871302324475,0.38669095116688273,0.5266691906411536,0.4009610916778237,0.35352112814374287,0.1462271347358795,0.3159616405503545,0.306033460779398,0.34058410599331435,0.32245354643982144,0.3603497099746839,0.31430386681927003,0.30602312192785314,0.30482849626844555
9,0.47196481806608087,0.924903081372138,0.9473612177796878,0.4788658253273224,0.9759560452193831,0.9614788695474128,0.4699209029936987,0.9727036813042236,0.9619120129385718,0.7979908510083373,0.9677102362928162,0.9588677052076388,0.47692958020308557,0.9674730024212815,0.9615048552915156,0.9573308083375642,0.967221332254079,0.9878304087141581,0.9646518914317339,0.9579542783468215,0.9641014660220525
10,0.2494864626877772,0.798925231702749,0.7932551710685103,0.3079666312707264,0.7335774299348476,0.7560665405007279,0.6795380675274777,0.6563820718102252,0.7858086160579768,0.6558961355126929,0.7851661654304412,0.7944004834761982,0.8104663219597619,0.7952921200061288,0.7551078991440959,0.7929780174701543,0.7393991641579408,0.718950587429565,0.7649282065508061,0.7828007507322501,0.7793852655003597
11,0.24683710869704362,0.8033113008641767,0.7989636194660319,0.28667355388186366,0.738459468191744,0.7633277249571501,0.758449501999809,0.6757715902677778,0.791651936353615,0.6792572651470906,0.8054674061388887,0.7868247462053968,0.7561305583164462,0.7965510785361044,0.765027493567741,0.7907931693677478,0.74814585296707,0.7299490501900062,0.7795571134147928,0.7904952050303555,0.7900883960035037
12,0.3247952694719094,0.9814471123449819,0.9863680670010087,0.32719107403208275,0.9833306907690809,0.9984722583896551,0.6385284041987855,0.9699813872279825,0.9886332185187607,0.7855466964455818,0.9832006855348087,0.9935132631800221,0.6220931453848665,0.9923386025392511,0.9964114795268117,0.9962236662066859,0.9963818499711439,0.9718372782223489,0.9969800948236968,0.9991698004890431,0.9985902357494082
13,0.3302875763418741,0.9790995895896256,0.9878159970581842,0.3317136260447069,0.9863404297351314,0.9945285386113818,0.6221847473335897,0.9728457844348343,0.9838061702596707,0.7834061693976778,0.9879726719929512,0.9905080300489696,0.616061222885122,0.9927170082890787,0.9970712769646469,0.9936094427138021,0.9965171565079425,0.9781280623315963,0.9995966523869985,0.9977739589174206,0.9983757287489866
14,0.39871245092363394,0.9600307860460907,0.9713152458982498,0.41094202516926065,0.9772822404212005,0.9810553842950763,0.643631847816899,0.9681060402108175,0.9819564773701204,0.7747002518862619,0.9770548117965825,0.9745461578917427,0.5769593278523579,0.9803277631570169,0.9779116862091548,0.9762921750720667,0.9798128372293948,0.9945506792980924,0.9836228384828649,0.9811946116743174,0.9848737188521122
15,0.31028810995703976,0.9849126314465806,0.9909316648465518,0.31198367994795123,0.9874624006018213,0.9957384952407737,0.6228202367027931,0.9666351645040434,0.9829668484152445,0.7745750671801039,0.9815645476060582,0.9928204104666859,0.6101556568435547,0.994941764036441,0.9987656538874516,0.9957826965344732,0.9982362141314084,0.9738851734732313,0.9981726729104756,0.9994687368987155,0.9989446390565447
16,0.31275740355827203,0.9855929952936124,0.9918107116528515,0.3145588390459948,0.987220905713182,0.9951138931406119,0.6213819973515424,0.9648714432870829,0.9823299137654949,0.7752803776243767,0.981885894602317,0.9949211623371086,0.6221216385436257,0.9955448111068164,0.9986183076250208,0.9972971649638824,0.9978625634831993,0.9730997175509184,0.9979199749949708,0.9994947457393212,0.9985678180777676
17,0.3022273848739521,0.98553613922219,0.9915652601580094,0.3037299475202394,0.9867422160947693,0.9949006197537187,0.6280981891545937,0.9643623187321892,0.9813308696836036,0.7668192056755069,0.9800770358053701,0.9928917574603265,0.6329045643500747,0.9945774936748926,0.9989489834054579,0.9958036490020896,0.9980741954041039,0.9726597948486658,0.9982436980603836,0.9994649391653264,0.9986135058798074
18,0.3144298607702908,0.9850804628379309,0.991095679100973,0.3155950412861542,0.986646077151168,0.996128413182574,0.6320370844004536,0.966714059298957,0.984042277831081,0.7711538524809747,0.9819248948575804,0.993319880262035,0.6091908499523431,0.9947454330140896,0.9983122298422312,0.9961273397817157,0.9977368413463753,0.9742747039554903,0.9980689947086717,0.9997357428525252,0.9992788803862221
19,0.30671591563143275,0.9851206646819952,0.991347888163415,0.30815009470135474,0.9871264522769703,0.9951339594322792,0.6288631662103953,0.9658740584359107,0.9819401631575281,0.7700458539889116,0.9810029348990997,0.9926909750340546,0.6271753312734296,0.9945196932540871,0.9990402006802043,0.9956358040661314,0.9982996637189019,0.9743441296932464,0.99862557563811,0.9994919075562109,0.9988153725172949
20,0.3095214463518393,0.9845934684946072,0.9918313265314004,0.3110742283027046,0.9877256734372245,0.9952206476414444,0.6292095377568635,0.9662490944120291,0.9825417469167724,0.76200446913107,0.9811461155091332,0.992094622930594,0.6216816358103503,0.9952166052046837,0.9985485772721255,0.9951428207209332,0.9977300647915367,0.976139684732758,0.9984894685242748,0.9996004418286912,0.9995426458013993
