GEP,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
1,0.363576543626565,0.14307718919244494,0.15920955957857036,0.12381303712668995,0.14070492059970585,0.13222283792771516,0.13027465574487967,0.11558365785537121,0.17388954785353075,0.1532520383003794,0.17452136353940634,0.1510549742092606,0.15592905650254366,0.15997512761264257,0.12843660036266752,0.14692564772526964,0.15160297696837147,0.1270480628581475,0.14330280473603507,0.1584586127800876,0.14951536686578284,0.1439020033609704,0.14557769951865565
2,0.06963650035016944,0.5908252244519747,0.6685495968346388,0.9575210306353081,0.9679609238462952,0.9873599670861068,0.9849559416905418,0.5208903398469332,0.9456589652940416,0.9550900134560486,0.8378344637218728,0.8337767301871054,0.9628824085753723,0.9609343672439832,0.5185254361611839,0.9682499515111971,0.9691235018139337,0.46013550031891426,0.9682402591752882,0.9587016254988656,0.9646421216029402,0.9700536767219967,0.9691796267677878
3,0.22294964311679027,0.694599202577878,0.14310250687984422,0.37129519434021546,0.4283147598902505,0.37620586060852346,0.3546573348831891,0.12172600547266348,0.4906270536325748,0.44762227754630823,0.2615688008059253,0.23702515468698487,0.41879519445947,0.4336162023894114,0.1253204831065122,0.39774663217220113,0.40727897233328747,0.14784627101877967,0.4072237912669004,0.4402105175823362,0.40804176811089377,0.41268823187494413,0.4015452456658449
4,0.11022624467201429,0.5522020646315802,0.5241177038131583,0.9967104154052231,0.9882667149590529,0.9696046738323222,0.9803819506245799,0.45137481996487994,0.9765542574375295,0.9852435890439164,0.7396001937502241,0.7473703969144198,0.9858109263209688,0.9835319877119484,0.4460171274439313,0.9868522743997815,0.9857536460136604,0.43181091549005557,0.9882516510248258,0.9830247490504516,0.9860380420683678,0.9875115803788647,0.9855121020796492
5,0.1098641994761873,0.6374419519781923,0.6026382365612959,0.9913421077896396,0.9997493216288826,0.9893883296081976,0.9923379457455587,0.4554973138256236,0.9839607808194102,0.9896239926308161,0.7795208838394809,0.7798453031604206,0.9925394048182942,0.9907090582453743,0.4508446231379525,0.994598143633254,0.9937368068780266,0.44844788331280816,0.9957007207718264,0.9896578839718191,0.9928352612787266,0.9963901312733718,0.9932864650509603
6,0.14321260334675964,0.7043450064477559,0.5531938227482809,0.9803241341654271,0.9838298705416049,0.9683838422586462,0.9794409356878329,0.4468345796749317,0.9877047574642931,0.9977057664912907,0.7413239516976058,0.7337890919032433,0.9908190502174948,0.9923415369010025,0.4507300160551305,0.9909856836535291,0.9905412960214526,0.4626907001237201,0.9898016606934127,0.9953669765589551,0.9924178734274134,0.9884670987729199,0.9914846340511823
7,0.14279717554932575,0.7028610361621098,0.5970040444018946,0.9794759865944666,0.9836202330352996,0.9711546668011702,0.9814318964753932,0.47215563625865686,0.9868220759129548,0.996412182155434,0.7723345758336376,0.7634958005596991,0.990160524384719,0.9922597791529686,0.4780025402935645,0.9917339107242575,0.9927159583000253,0.48476199700161704,0.9893069023258508,0.9947221787501782,0.9932437376269877,0.9886966709797653,0.9923209164031374
8,0.10891293175684257,0.18542429017331757,0.31710923373374494,0.3584650953731257,0.3442610450865118,0.3496252529411523,0.4127323563945197,0.6819139411360894,0.33852242048593095,0.3710299402858687,0.44825628074956325,0.42466044752822846,0.3898646043774299,0.3868895118909252,0.6383787588232088,0.37720725247325904,0.38787135077652474,0.3221897194126336,0.3707493424137773,0.37847587458050835,0.3816156823978174,0.3578829188559165,0.39211699190142313
9,0.1414246744110439,0.7124260960834126,0.5409526954684308,0.9779012369344436,0.9804274940533838,0.9644190537457957,0.9722116953852713,0.4122437360631796,0.9926152436731915,0.9898598836652296,0.6989882989528474,0.6953309887071498,0.9893460543952911,0.9908807363428014,0.41250169247681046,0.9823362570447609,0.9794902148476851,0.464160710872609,0.9851361386352507,0.9853018688374268,0.9822047960746478,0.98285873715778,0.9800107182837486
10,0.16621495283535692,0.7063950876053754,0.5914422255000038,0.972606546671136,0.9769646670131317,0.9638139413447733,0.972433678855177,0.49748086365306576,0.9923713017417329,0.9864799606183668,0.8056198954152325,0.8000498464050153,0.9910028130649257,0.9922474025068772,0.5000456425270942,0.9809608191620698,0.9821208781652938,0.45942677478085164,0.983977060009158,0.9857213381858577,0.9807841598514505,0.9801756788852617,0.981629625400531
