GEP,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
1,0.05468129280114694,0.044101438023191754,0.8261686866751002,0.8543497908346355,0.7983248368020739,0.16030235995711067,0.7642080582225258,0.7881706967125741,0.6864794744312219,0.7780360685728767,0.7273381656794725,0.7892516470885206,0.7773863242701016,0.7721888177382212,0.7785668278597774,0.7231657933739939,0.7611177284217444,0.7841986837350334,0.7757438932637
2,0.9996743907484213,0.22355989693479097,0.10088519468259892,0.10753352866740572,0.15175292426625583,0.24814817844340245,0.10029104177693722,0.17798329217542666,0.1807458267632345,0.16488642990772512,0.15326799736371435,0.14045438320021564,0.13711427702834836,0.16915076629741013,0.14251402695971968,0.14427858174950625,0.16379656591691877,0.14824913460303746,0.14663635329971805
3,0.3295883240250505,0.6912497509538399,0.06455907041353688,0.07254975316417862,0.09383122205947922,0.21411638059516838,0.10478835525076394,0.1154414325224925,0.10443943765631981,0.10365063911633578,0.08994199652696076,0.08605856245622079,0.0849602374800081,0.1107464664946841,0.0873554908615726,0.08456099656655156,0.09890020589086404,0.09367825132418549,0.08995774821249766
4,0.1471758945293602,0.06126502293858378,0.9594746868149833,0.9769071163287608,0.9985901361594376,0.3292437934149917,0.6171952114333462,0.9694607434918924,0.974074452022157,0.9757638645571415,0.9858031845909936,0.9941137941904603,0.9832629390611884,0.9791158861812013,0.9843439089045378,0.9806924747064926,0.9807196712413561,0.9839709874772282,0.9844411546589827
5,0.14796465393946848,0.07008567082222736,0.9463426150809013,0.9565188651446053,0.9726742927702173,0.2766491192083628,0.6241470627555649,0.9712641260505723,0.9645422926873758,0.9786127616089922,0.976301675711384,0.9800262191511647,0.9873371966721559,0.9705388217735195,0.9844829524627577,0.9854974093938564,0.9813258299584684,0.9798248837679358,0.9813916691819424
6,0.2487398724798377,0.12305326558326377,0.2347630268524811,0.2665379495141331,0.33197401147630656,0.9999796235960581,0.25593379015075013,0.35839756711105075,0.38059664562724077,0.3249835418661969,0.3200828729060175,0.3072581573294277,0.2842814535165932,0.34305027555213186,0.29209844098308835,0.3015676175154305,0.32143555713124966,0.31073707210271656,0.30181671215229716
7,0.17570455567242987,0.0889762748121338,0.9643301522904039,0.9755004058853048,0.9745835971490221,0.3394182431787587,0.6333223557990253,0.9988463954565754,0.9770037765675963,0.9972064406679718,0.9853529512850597,0.985333269961387,0.9886948674538872,0.9865550294439136,0.9903886476566565,0.988345988344112,0.9924049381253665,0.9898804887081256,0.9904595563011764
8,0.20654467366931503,0.10632483626447255,0.9485879238320595,0.9550342383798436,0.9598354896231811,0.4100792841013073,0.6446897099447584,0.9801855427586282,0.9629038022948685,0.9824962594595962,0.9669344175912996,0.9690693534154208,0.9725564811470756,0.9760248422285842,0.9746367425476791,0.9728418590803758,0.9835290631261377,0.9771930782650501,0.978410640871905
9,0.18409823845070283,0.07516819991197059,0.9388534968357111,0.957036535179933,0.9705974126513524,0.3844571978441633,0.4926409596576695,0.9681150668199161,0.9970272839714491,0.9707113211380379,0.9903340488361453,0.9749463249274327,0.9698428122469197,0.9818825739803032,0.9721777540968106,0.9749174285415183,0.975864877645403,0.9751940267734135,0.9744515671967054
10,0.13487105350737427,0.0631680644483783,0.9814479831157326,0.9893102198238257,0.9858874112677377,0.28285088041419254,0.6360005343414887,0.9881072357560413,0.9792182889908048,0.9949002856430599,0.9928104298328798,0.996551043413378,0.9997128348508508,0.9889648448079901,0.99953050311692,0.9985314865487218,0.996359547565715,0.9975525571955357,0.9978737841128102
11,0.16123295273666347,0.0788310635560032,0.9722314269436059,0.982573462008585,0.9802890137489272,0.3248827772165143,0.6482223822940446,0.9961871157618128,0.9796111993617601,0.999880194682471,0.9889320538362909,0.9910567198553115,0.9949220042538574,0.9886301384147016,0.9959016774173187,0.9938138586807694,0.9968592012016588,0.9947829253358351,0.9949549277888984
