transition,n_parents,n_children,n_edges,n_novel,n_splits,pct_same_ct,mean_sim
K=5→6,5,6,6,0,1,100%,0.995
K=6→7,6,7,7,0,2,86%,0.936
K=7→8,7,8,8,0,1,100%,0.900
K=8→9,8,9,9,0,1,100%,0.979
K=9→10,9,10,10,0,2,80%,0.970
K=10→11,10,11,11,0,1,100%,0.956
K=11→12,11,12,12,0,3,67%,0.865
K=12→13,12,13,13,0,4,69%,0.961
K=13→14,13,14,14,0,2,86%,0.984
K=14→15,14,15,15,0,1,93%,0.999
K=15→16,15,16,16,0,1,81%,0.964
K=16→17,16,17,17,0,2,88%,0.895
K=17→18,17,18,18,0,5,72%,0.921
K=18→19,18,19,19,0,3,100%,0.970
K=19→20,19,20,20,0,5,85%,0.932
K=20→21,20,21,21,0,5,90%,0.948
K=21→22,21,22,21,1,6,86%,0.919
K=22→23,22,23,23,0,6,91%,0.948
K=23→24,23,24,24,0,6,79%,0.961
K=24→25,24,25,25,0,6,76%,0.880
K=25→26,25,26,26,0,6,81%,0.904
K=26→27,26,27,27,0,4,93%,0.923
K=27→28,27,28,28,0,8,86%,0.961
K=28→29,28,29,29,0,6,93%,0.924
K=29→30,29,30,29,1,8,86%,0.932
