GEP,1,2,3,4,5,6,7,8,9,10,11,12,13
1,0.15697769898263256,0.8504758235547825,0.1617163790627595,0.9432872505756161,0.7549022437766957,0.7389438592772676,0.7407693710755083,0.682241099763211,0.7358145607649503,0.7568042761438107,0.950113779027991,0.7181574674128495,0.7529993727459057
2,0.5824209677131447,0.14971463176280111,0.9945854759349959,0.21391797347557756,0.17339530312496948,0.24392465026743124,0.23285763009213611,0.18106963532562131,0.2250234631182464,0.22984943796787757,0.26858912704616966,0.2250618423119427,0.20467973352109742
3,0.23629685114526056,0.7934600766240832,0.2280842996168357,0.9954339379897739,0.7660166639951608,0.7407716327661025,0.7487958124996943,0.7081093960038758,0.7399988314664945,0.7653580618000009,0.9502879895275234,0.7226691141458058,0.7491393636716074
4,0.24398935733394514,0.14002798574356198,0.224917182679122,0.18002833599705043,0.28348144513238466,0.2962301820422225,0.3213016925080013,0.29625920371327785,0.2900995589432739,0.26482943918182633,0.19038621067764075,0.31345906796465806,0.25435972771641263
5,0.18033314857891117,0.9170617524235476,0.18207848511877134,0.7836478743240008,0.9935107868469892,0.9519252503402584,0.94812007373744,0.9370738688891523,0.9486650314172358,0.9491882503232966,0.7887531295698939,0.9476199706917666,0.9581524215989701
6,0.34090223957005,0.7845510127760795,0.33611871870892346,0.9330144930744679,0.7594859883030263,0.7701402970967389,0.7749296929103554,0.6961460861258479,0.7625216820580677,0.7760888982564998,0.9894079213116441,0.7441975858972146,0.7625189733263167
7,0.2747862969126132,0.9286277075233371,0.27666114895005184,0.7123544393892204,0.9489426455783984,0.9820515144013904,0.9886402947860147,0.9629784978715142,0.9790980761190804,0.9654193188817054,0.7435647678024322,0.9939358465682652,0.9771699103124244
8,0.1308390400561784,0.7906592810309738,0.12205591986814797,0.5477146497010819,0.7191612656394918,0.7647096936554396,0.7715714992696473,0.7236004402308353,0.7693549023784816,0.8010181405661715,0.6023818249766373,0.7746759844259485,0.7652116026905944
9,0.2576210009346641,0.938082820037693,0.2513296767989142,0.7396833905424559,0.9549495585087574,0.9959648648809083,0.9774852744899571,0.9654396600664233,0.9944377109897304,0.9806657912302275,0.7666289720879924,0.9776938179619236,0.9907495704753788
10,0.22802022730702615,0.9541331551167225,0.22914567947687323,0.7579038227071256,0.966131364928403,0.9982008620264595,0.986232270131226,0.9751763269416056,0.9996634023093648,0.9876583610642522,0.7789137061539373,0.9871673409849466,0.9965607273421009
11,0.12422589751870505,0.7460243669534169,0.10364918519345169,0.5088308153976391,0.7936126110990852,0.7891552534519609,0.7707547867374702,0.7463489270228323,0.7800155387631706,0.8122190324521442,0.5115992982162955,0.6958906857337112,0.781854596723124
12,0.187885408483365,0.9785627396651256,0.18596789625021282,0.7685312210818905,0.9797208121809873,0.9857908696971273,0.9864165332431718,0.9892204963421536,0.9876491823397637,0.9823625088210235,0.7729251804580483,0.9882707950466845,0.9956230010641621
