GEP,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28
1,0.9987514954091538,0.7959270833262845,0.13864442992635273,0.21426766509249026,0.7745972885303328,0.5961986947777493,0.8371143013889986,0.6983156239260673,0.9046611529424355,0.9115702151349211,0.7621784632393959,0.7581818374088791,0.7797592568944645,0.7515238000254439,0.7568443340591181,0.761030304951531,0.7791987642841791,0.7536304740893756,0.7447894239006261,0.973228634556503,0.7797458876632496,0.7782845756375687,0.7730727449708558,0.9743399399004039,0.7702225430762016,0.783036471032263,0.7760702579343036,0.7742142190634659
2,0.026347934846748394,0.08348649136361339,0.3303939669968974,0.05720510395968946,0.0815251858551304,0.13991079153013805,0.06912475070164133,0.13541847634525978,0.07553122294597218,0.0762443275965827,0.0946884245258832,0.12742755525091495,0.09661717149958478,0.0975419545156315,0.11601906752166269,0.11283473418480461,0.08842667203091292,0.09576595044533372,0.09123144831982298,0.04151209759631947,0.09040201166099467,0.08803983246016306,0.08518187474884754,0.04056447731376257,0.08872250498911519,0.08526134004202114,0.08647311236120922,0.08614243399729328
3,0.7934789162882427,0.9997264640414288,0.32495482570500267,0.30723894887346614,0.9432606256278676,0.9377083008687593,0.9376014783817009,0.9059819031494724,0.8195311889048263,0.8024229356847885,0.9452445880287828,0.9235350534461644,0.9385320297926322,0.9356131564673712,0.9351421870050722,0.9361819593643709,0.9422995249952267,0.9408675948665851,0.9444226296996607,0.8424059880852361,0.942928137519565,0.9418657703123138,0.9429992133234101,0.8421102199222903,0.9442048612227079,0.9442493225946086,0.9453589728785899,0.9429081680174202
4,0.7682998491440785,0.9496604687534277,0.28407879169810135,0.22128841030818308,0.9999518801816002,0.941507518662258,0.9887348438511694,0.9719003336659657,0.763631720302077,0.7615223697379501,0.996177528605101,0.9788946903856693,0.9936848630331829,0.9946746315957689,0.9821247882424774,0.9871642171495448,0.99811780118125,0.9964450575424327,0.9954888133053319,0.7950589289297132,0.9971784226907247,0.9984098942264508,0.9984536538609249,0.7952177918595733,0.9985326975774234,0.9982984639251701,0.9978462948863285,0.998728952290705
5,0.5747100808558352,0.9329925001613505,0.5195109088594806,0.25436423747594966,0.9305286479886488,0.9990660934351029,0.9117008073058567,0.9358262619900608,0.6354745052491398,0.6180453649563862,0.9374080737613726,0.9332635066550818,0.9314008601345494,0.9324462534097456,0.9332140219510539,0.9408308988520137,0.9315548099176656,0.9364023317875424,0.9406075925586367,0.6233698912025923,0.9338104123557875,0.9311027636032286,0.9311006388055302,0.622115531598336,0.9336195761939419,0.932134445072334,0.9356920934757877,0.9309312078423285
6,0.1396578736430991,0.5246520396363941,0.5906208549520873,0.3662076521567644,0.38189281063081276,0.6201949048621821,0.3138354620649332,0.49185355683191606,0.3755983523197374,0.3653579248034457,0.4356444800806198,0.48178068942675784,0.4052306835008829,0.40187816233135776,0.4614052703066287,0.4571262539097199,0.39106789051634105,0.39771716480300523,0.4102918966344214,0.2555219290672405,0.39222416001955857,0.3848364276937412,0.3825802522295836,0.2528820149572833,0.3900081760811711,0.3855641537564015,0.3929782423881524,0.380746226280958
7,0.45382785298306194,0.7983283682096525,0.5176769596441837,0.3080849251357698,0.770092152341822,0.8086288410888117,0.692133757959664,0.8232538596061488,0.5650749434031023,0.5575248070781582,0.7934630945405282,0.8285301234210074,0.7877432830420426,0.7842690287055538,0.7966600304956147,0.8064576983273258,0.7777754025158731,0.7774919912643431,0.7846373960947601,0.5152808167618387,0.7730387873248555,0.7726421514035249,0.7710197851332288,0.5127594234031949,0.7784892104983588,0.7696152298708956,0.7763172540593449,0.7708724958316266
8,0.8352711055943397,0.9428290540330289,0.291974472965592,0.23216532291927386,0.9885924656759112,0.9230173710028793,0.9999872440261677,0.9536865265829761,0.8086868692739956,0.8046593483387189,0.9797713836621527,0.9649548346549378,0.9836741108648605,0.9832997025785294,0.9721117422842115,0.9767736095963566,0.9895768656865184,0.9859866382715224,0.985720952852885,0.8465325589322178,0.9888682352729501,0.9898779019472345,0.9902521634438272,0.8471456045298265,0.9897716619474176,0.9908644787922127,0.9896786196044631,0.9900588090088346
9,0.9108923867677498,0.8082692304832871,0.2611734431659369,0.3696211741882041,0.772047732533506,0.6323672280577814,0.8157719646157545,0.7392287950438763,0.9950280191312155,0.9923754922497992,0.7730738311249805,0.797729198405934,0.7911525629814126,0.7600856675936296,0.783214635066432,0.7898360571092842,0.7831815229175555,0.7593650200548807,0.7495765298797247,0.9744828257547368,0.783466527871192,0.7815645091102797,0.7726529213508536,0.9730932495514102,0.7720597653576604,0.7839790265154692,0.7785090192443361,0.773737206880139
10,0.7257510386692675,0.9388351906951617,0.3402447841987662,0.25311813775232733,0.9926369815372307,0.9446596791202274,0.9798160430698744,0.9829077964460117,0.7359648690170447,0.7358944989900423,0.9927696955507228,0.9873677573385637,0.9984602672366495,0.9995807655614607,0.9948544063750071,0.9949397472826412,0.9952390657782055,0.9986500856334378,0.9967404602806782,0.755255205230858,0.9974719592095763,0.9959383647487322,0.9961351300104638,0.754678363797979,0.9960314441294523,0.995631138611553,0.9962187383349373,0.9960737695517401
11,0.7554723850393029,0.9504461674952714,0.31661193554648837,0.24112954781732956,0.9956261651389845,0.9498984583471008,0.9786565919972553,0.9758430602937266,0.7670202990347683,0.7660893120421213,0.9990748227912953,0.9832428648069845,0.9950452589272115,0.9949543924179454,0.988332511531155,0.9900602370912511,0.9947416135791286,0.9956749386835253,0.9934472794473042,0.7910588947199975,0.9955002120281733,0.9949290100677493,0.994614314397749,0.7906254607636523,0.9954770570276702,0.9943251259980838,0.9945174393682515,0.9951754173403323
12,0.7756951211152903,0.9451060201231195,0.3232798868147075,0.25859753921910333,0.9954031643639939,0.9409110012727376,0.9856239435787076,0.9814102710256698,0.7835261694298752,0.7825791754263169,0.9944365904405141,0.9876137378558362,0.9998657987365029,0.9991531626717274,0.9930303515187038,0.9953592421171095,0.9977908656671354,0.9989333807543584,0.9967447543558893,0.8060474645234216,0.998863638091689,0.9981723919131645,0.997972660233936,0.8054955522670434,0.9980272419571453,0.9977313697632456,0.9980737808209973,0.9979773328847626
13,0.7422777631776324,0.9259608564084664,0.4625233868162768,0.3244692869256449,0.9650010622913802,0.9458735419217156,0.9549027624025818,0.9881127979960137,0.8137746761523635,0.80948373589742,0.9702968243355317,0.9935981116140681,0.9794921365365542,0.9769568553959929,0.9860474835614667,0.9922049539667223,0.9755482813022507,0.9759574556850097,0.9753799146261587,0.7973651539675402,0.9749657983382155,0.9741947325385575,0.971822219519239,0.7959760153551877,0.9734521719332876,0.9724609228378227,0.9738686374395746,0.9708988767609293
14,0.7507491986075213,0.9377806635363395,0.4021990423557173,0.31034186647194856,0.9796225873700334,0.9400084085815246,0.9700315790466014,0.9801782038492275,0.7789078662841985,0.782987610941162,0.9852228374803275,0.9894123749310844,0.9923812063784572,0.9917831675625189,0.9998109946320258,0.9940732751775896,0.985974477487068,0.9903481351697312,0.9895564497186228,0.7878597145218771,0.9892405969561973,0.9858263779469307,0.9860426529933177,0.7870451040410659,0.9861570947564121,0.9858702134128677,0.986944791781534,0.9854064584964036
15,0.777068403925377,0.949226380087853,0.31317853528846173,0.24500915852625288,0.998098090288211,0.9425172683273361,0.9899910432267263,0.9785649849453217,0.7822422670097146,0.781157097821653,0.9941907668646685,0.9853669260114316,0.9965207503234984,0.9966609114045913,0.9886653131237356,0.9921138718114685,0.9992120320891126,0.9981789425457848,0.9969918138382351,0.8044196021807417,0.9986692592968346,0.9993588512026826,0.9989281070539187,0.8043846547522165,0.9993221569352476,0.9990638594982337,0.9988613441830531,0.9991638519475728
16,0.6894086169508834,0.6545491295410636,0.13140379837079125,0.18688925207159043,0.6339607498878586,0.5578788166443586,0.6338642828764648,0.6154823370643062,0.8124587345641471,0.7137402408882534,0.6038043231858174,0.634629841278259,0.6412171082204913,0.6208818906028265,0.5969239505886941,0.633172544427001,0.6317687189210685,0.6200252846638921,0.614970004476243,0.7819990009272598,0.6372809985687201,0.6376008830800972,0.6281744436475875,0.7741058844713108,0.6218879768212486,0.6383298761321217,0.6390175802475201,0.630737109188144
17,0.9654136887826302,0.8400268530918418,0.18263290710511762,0.2715659729615789,0.7952101962424973,0.6358462618401545,0.8457190456180286,0.7309905177168934,0.9620048495372334,0.9614330738700984,0.7921816306662925,0.7936188259171834,0.8024310485653975,0.7724626320214023,0.7852495229504146,0.7925072959229642,0.8003487266113083,0.7740088094513762,0.7652023325046381,0.9992272143282988,0.7996467541576773,0.7987767541611843,0.7920464555465438,0.9993471382243828,0.7902029411289179,0.8026994574324438,0.7961519089006893,0.7929449079285614
18,0.7717078689265426,0.946602643098456,0.320049443271641,0.25488956841400195,0.9967445588436498,0.9424628374536338,0.987132600407196,0.980613687153809,0.7764967749925951,0.77625639177158,0.9945209369612628,0.9871774090235275,0.9989150635381114,0.9992384482915131,0.9932655848715318,0.9944373117079673,0.9985447811967655,0.9994469987695993,0.9982743089329,0.7997601226685301,0.9997204202746697,0.9989248170919718,0.9989558235287928,0.799464524734527,0.9988397813893478,0.9989393762167278,0.9991031410810275,0.9989963697724783
19,0.4815698795298071,0.26803828884645975,0.056886597351882506,0.17374343737630243,0.3900764388490269,0.2066833760167079,0.40355041673332037,0.38483922859893616,0.40398562893045153,0.44700718893690117,0.3709737756752481,0.3801619303391695,0.40550364962852864,0.38639299822861645,0.36683847667665176,0.38250471147122167,0.3958993164766291,0.37403348721199664,0.3677443516933418,0.4684394931179919,0.3872065469087819,0.39374542878787483,0.3913048198198467,0.46955345033890256,0.3845301380494626,0.39158300001077573,0.38830185432229614,0.3890531599261729
20,0.776414551239633,0.9513072781289669,0.30685753334869637,0.2422064923892044,0.998349868713662,0.9432526761129001,0.9910897820312228,0.9756171171145224,0.7759292902793372,0.7726471712866411,0.993476741950763,0.9834134791796826,0.9961309932689559,0.9970924609142281,0.9885798708070357,0.9918318001876945,0.9989267513169326,0.9982170162286476,0.9987564004383346,0.8026193687942789,0.9992262936490892,0.9993012616913917,0.9997095226552419,0.8026405013351717,0.9991328025604251,0.9998239712483457,0.9998306069858592,0.9994432356100621
