GEP,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
1,0.7081710939447766,0.16637652266888875,0.5854827744102548,0.1714531829657948,0.1877674837217239,0.24410553845034708,0.1863076892987645,0.2238369280715212,0.23748452724616892,0.22976907696000834,0.2381502369962623,0.20141033367894115,0.20360567328850382,0.21015364601212552,0.20548333057388204,0.20315270969573476
2,0.10443696688260086,0.8456496514202678,0.1499154692661719,0.9472273761758372,0.960464451286757,0.9482780100754515,0.9400765714510625,0.9465742586933313,0.9450539946191883,0.9650011489883836,0.82731987975527,0.9782681680240171,0.9752902112431099,0.9748372960378024,0.9740680233643598,0.9761990135928881
3,0.2995131279573462,0.21791241311269752,0.793881974755175,0.2150546561006366,0.2574982195341649,0.30342016820143736,0.2494941046780412,0.2905878230099525,0.28315205145076805,0.29025034900926083,0.30162715816185637,0.25233835187469694,0.26001751660451544,0.26132491592300267,0.25513001934558077,0.26157044492760667
4,0.13588203825081532,0.7701478086922046,0.181142136521686,0.9985484207002037,0.969757143471584,0.964496314607234,0.9598257525560052,0.9588749954677991,0.9536969200554389,0.9726502859510892,0.7916974042957065,0.9807307017124667,0.9786869404185696,0.9794526008828556,0.9739893738150216,0.9784292104469106
5,0.15448437521742187,0.9698942346569224,0.20678888799020756,0.801371492110391,0.8546759937788065,0.7468156475116574,0.6954098739819731,0.7282004971226839,0.770064891953175,0.7843890420415682,0.9808786466521878,0.7925292878458747,0.8014954409916168,0.788325910530857,0.7982984526206673,0.8005283838247945
6,0.18862382857067903,0.7490773966657008,0.24688690417844075,0.963709442200035,0.9545129178797034,0.988694719052721,0.9685945711060714,0.9974772058919448,0.9824803211323728,0.9974853911464129,0.777952855194175,0.9890811513808754,0.9890778567393167,0.9919433217422413,0.9826135666524454,0.9906677558454697
7,0.18751809821722215,0.7489992064603569,0.23266294984712876,0.9648118670891969,0.9638974802197885,0.9989450682502912,0.9780701200332199,0.9848932330443627,0.9721451423888364,0.9875684429991307,0.7774005395120039,0.9920676438659676,0.9912637493029547,0.993653652649735,0.9857838653215232,0.9881631891072998
8,0.1795039103400302,0.7442989968453669,0.23374255566997146,0.963058261181497,0.9596230560187002,0.9852555895493863,0.973169627535543,0.9991420202655699,0.984120376758736,0.997425380128402,0.7700159784497284,0.9890553862546112,0.989888820715003,0.9912487814513229,0.9848787563771486,0.9919327183257662
9,0.14552375496945813,0.6970339137570962,0.17352833867477038,0.9632912814641298,0.9761090771600192,0.9793033924589701,0.9979841081501719,0.9784225444734124,0.9684617266820733,0.9782997056666233,0.7130239690669957,0.9848385763238376,0.9853433231027098,0.9841389416095544,0.989087215828135,0.9876636083295339
10,0.15912779612425812,0.7814470135591408,0.23835244866569585,0.962091799525799,0.9664240366303134,0.9703834647333489,0.9678091038552488,0.9834924442732603,0.9986658464642487,0.9882599746457282,0.8027289953766328,0.982295797108479,0.9804911704692502,0.9838149394105571,0.9758612361996073,0.9807677095782014
11,0.19705871530047983,0.9645783680676169,0.2694072652018688,0.8002062990925237,0.82669549931573,0.7688049069799836,0.6924614420087533,0.7466910672105177,0.7780074867931958,0.8011191232901017,0.9970526363216349,0.8006067996632056,0.8122474621959821,0.799264837121438,0.8031980838435623,0.8082568071435322
12,0.17211771034316894,0.7395990257896663,0.2213703638113036,0.969188076237566,0.9625157157407453,0.9974109506890705,0.9725644246242754,0.9867161582110511,0.9750613192683187,0.9918973532985835,0.7638298190853067,0.9950549870505169,0.9934268422948959,0.996473383223494,0.9878551481391216,0.9901247578346546
13,0.1641562592696335,0.759866467979847,0.21173353668594438,0.9723932007972413,0.9710646684938379,0.9870509343694795,0.977282868354337,0.9937137321654949,0.9822331209677476,0.9978712156419689,0.7788818884867055,0.9961133784414479,0.9962875177001276,0.9967496137253944,0.9922548091815988,0.9974345759045448
14,0.1477984861261493,0.7480462486310477,0.18318277608377595,0.9739198588868422,0.9833635403024693,0.9838394461825269,0.9885460334597945,0.9840448888482084,0.9757141397980081,0.989387680942902,0.7591487428406402,0.9958785625658864,0.9950298565398897,0.994716025581504,0.996265172953813,0.9962022046327285
15,0.15434750057594238,0.8034741639068597,0.18814047298843106,0.9703587837205429,0.9778427456751706,0.9821954216081246,0.9785327592719275,0.9806503446058639,0.9700229460175517,0.9900655389255146,0.8184999834652711,0.9944683439368952,0.9947203582662374,0.9930070476518199,0.9988072317395968,0.9948879621240212
