GEP,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26
1,0.8910774236918099,0.2388552650606275,0.8258026384649301,0.14709373524544708,0.9725683799644287,0.3751239750356338,0.7836824233729712,0.2524580889917188,0.9841363184457096,0.9551243737741876,0.9580665672330758,0.9763644866478247,0.9322001599265157,0.9791563986541283,0.7785768203772745,0.9657052305339434,0.9703891297130024,0.9816050495356183,0.8405478921315845,0.9791418078292183,0.3829614120712748,0.9816784202238743,0.3275747453269246,0.9818597205585448,0.831116802573024,0.9819244729211077
2,0.21377007442105933,0.5864382002346504,0.07631218413541728,0.1455844042977617,0.14412796877409406,0.4419965117440263,0.08904696757568563,0.5070530826927129,0.12596909120506009,0.20332010126647324,0.18030222989751823,0.1630022257872277,0.26142408371011117,0.15653351046873074,0.08979028847901212,0.17734037014104503,0.16728854707525467,0.14558785899916996,0.07614298598423318,0.1576792228329971,0.00946183177929128,0.14815661230061694,0.022134974339455268,0.1457937026109783,0.09163655645391285,0.14593094977961904
3,0.9856854226661323,0.3282813889608832,0.6945504806543034,0.22507589725963772,0.9778326690901608,0.5802701251897939,0.7065307115478472,0.4919484310793801,0.9682313732181433,0.9585547221378239,0.975736310200297,0.9715472160681223,0.9582804942092105,0.9740790813716792,0.7158253209981851,0.9721091888582963,0.9819971127531993,0.976077067395514,0.7627844858370098,0.9767740282857278,0.2110582519507551,0.9767373590797892,0.210851783329004,0.9768473346690872,0.7022502793319169,0.9772358194311107
4,0.3991685346428798,0.4005912156618373,0.14006266854640284,0.2930038590014547,0.2822733975614234,0.5560543146409693,0.21813786816068687,0.5189710436019477,0.2736312577391564,0.37200740588444786,0.2996100595722454,0.31744977459777046,0.4364931942712184,0.3043790844236949,0.2116836252144059,0.3572976815236255,0.32931024638758205,0.2954155900434118,0.2321255214553558,0.3093693003744014,0.0612888253137344,0.2994760411645928,0.03693450262132123,0.2961244419233015,0.1635460312125529,0.2915920639963281
5,0.6006143453509213,0.6279861048368962,0.23323684278344023,0.41261954328578637,0.4178936001469076,0.688623913262955,0.2560094292509411,0.9998542297148059,0.31642698759599497,0.4742266005744894,0.4630649684289831,0.40405678419338953,0.5632126468633781,0.391913925520062,0.2667435227752157,0.44011978326495754,0.4320005605576615,0.3808667018569171,0.23892218489271064,0.39815470343096326,0.06020903399405793,0.3864810737953329,0.07588312236170684,0.3801970115376733,0.2769055505581073,0.38083374351279986
6,0.5013095219853622,0.6812149276045145,0.17710135584121484,0.5967140954823206,0.300183999408514,0.765810451289699,0.19063356214656427,0.864688263772779,0.26386924295590114,0.4050356324830558,0.33062562264600964,0.32478892202593246,0.5006846469219067,0.3135965628824942,0.1882951353353188,0.36717192284378963,0.353136884141706,0.3015149149769304,0.25151054465719785,0.3203287790270002,0.054080026705180556,0.3075221376309765,0.04595749152917881,0.3015574404465485,0.20719864810726765,0.3008861348552474
7,0.4832578918972368,0.10651158080125779,0.7813449223304471,0.24806511603345302,0.6140187105501475,0.23126572758764283,0.4739413769154736,0.1768341819780396,0.6269852491976267,0.645835278306775,0.5868155095388122,0.6217080797955064,0.5587456046996443,0.636945012223322,0.4612986771411839,0.5918789199005905,0.5960975117528194,0.6297942766283086,0.776450880632119,0.6359888854691156,0.41616491383306564,0.6303914648550272,0.22738068208331574,0.6338876771150018,0.47433254232406946,0.6340097689595761
8,0.9219903211064221,0.42709088372339016,0.7816185099243235,0.2601918450160936,0.9678687688675589,0.5925532456067739,0.7359126037074011,0.4859062348064082,0.9572029092060056,0.9846801121815076,0.9788018439747974,0.9901847490143166,0.9841940320461677,0.9863937693147866,0.7339939655442426,0.9925067231560858,0.9819654967968268,0.9808470655853685,0.7528913968294562,0.9858969766048473,0.28830487577580605,0.98160208410293,0.31351141967035623,0.9802649713117095,0.7767792824782513,0.9793610985420546
9,0.9290073542244688,0.30243699264833285,0.7732398078488641,0.16169424392284298,0.9860601600600326,0.5017426477879015,0.8013132847550192,0.3179821740191544,0.9999518624533756,0.9641204990994183,0.9741725046996234,0.983094555510199,0.9555247916833398,0.9863854749113172,0.8058264069454419,0.9771525820607462,0.9879887084579339,0.9897002947073872,0.8052609654994458,0.9876226483090171,0.2912788429007876,0.9901206053239939,0.2692259955741448,0.9903752309597802,0.7600624399428465,0.9906553924571361
10,0.9272935625651495,0.38985101163808966,0.7471007535645555,0.2334259314301938,0.9801759078651318,0.5738862411289077,0.7765585758654221,0.46624356222237257,0.971896293698598,0.9899337149061669,0.9832026023493299,0.9898119833007119,0.9873657347748096,0.9906031309688856,0.7825639463547261,0.9897962976192218,0.9864576803512006,0.9880976790293737,0.7908837396227799,0.9904032278905579,0.2865145906324549,0.9880729911388322,0.2962852546252903,0.9877686978551271,0.7907521154541053,0.9878988936301801
11,0.9426485437437265,0.3081406014498275,0.7820359138102023,0.18057599814385777,0.9985112156544212,0.4644312850091396,0.7917880236398649,0.42749039533162686,0.9828717165536224,0.9780117314093659,0.9974485316032228,0.9934416744562569,0.968352777398137,0.9946755670685451,0.798633636483506,0.9879618491031811,0.991897016926718,0.9956886885025401,0.7592015763643274,0.9949656790315675,0.2810915918546918,0.9958453457951388,0.29274366428739584,0.9957235374534492,0.7682109126409712,0.995981973508618
12,0.9370055056764368,0.2937077552762375,0.7837157925022987,0.17308236142985967,0.9934288390662463,0.4675335959554826,0.7679809156822139,0.3489764997998907,0.994623047743129,0.9775630517546521,0.9871346533679641,0.9936294215106078,0.9651007509061333,0.9959582854748176,0.7719362612310935,0.987745680209585,0.9939814628399736,0.9976210032983999,0.8039953777827892,0.9967673836625337,0.2952967972297944,0.9978388571868678,0.28864289084176836,0.9979881911567381,0.7928870181721017,0.998264750173266
13,0.929858779585285,0.4840145256147935,0.7031021303034404,0.28340753077050795,0.9593590945994173,0.6792490948735186,0.7594560248422957,0.5604759295593855,0.9525102429901612,0.9872171077349724,0.9670913524433282,0.9753460696761176,0.999419935241085,0.9734198322852973,0.7647804547180874,0.978226358564769,0.9780936362033833,0.9693190163094837,0.7709674690134599,0.9743951667192833,0.25766555467944047,0.9701615111032212,0.27614940357724826,0.9690817887262163,0.7286138336115747,0.9690444783953605
14,0.9532864314010456,0.3147159682690688,0.7747539550128694,0.19349645490279319,0.9953315345872591,0.5037876807209618,0.7797750171079256,0.4051889543617087,0.9902370026073057,0.9803610668811689,0.9920092618783827,0.9949683653562001,0.9732989367220285,0.9967470743375404,0.7860431812897927,0.9896548109887869,0.9965619723333727,0.9977086688211889,0.7878027978402353,0.9975218989246291,0.2775311515728027,0.9979293614250387,0.28322160982786543,0.9979360507989083,0.7647365804543287,0.998335562095185
