GEP,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25
1,0.16285180754651102,0.08077247053413622,0.20315585712281098,0.4474902971876485,0.24160623951316382,0.390099746688606,0.12844348640889292,0.24290112169037556,0.16818005194882119,0.2241104376610708,0.16740756456489164,0.17677382179464804,0.2677377472705664,0.1818608440343006,0.1992213651050208,0.20794872994719255,0.10136436625198547,0.1870166595231625,0.2049120655524992,0.2117833787173124,0.19422721370723886,0.18503127513777673,0.18941254957830292,0.11664679212924943,0.14264794155050733
2,0.9957163056439128,0.09437665407065814,0.9408348681454436,0.2064748795799698,0.23316695200458107,0.1991153171162483,0.7183655957017984,0.9306633399731278,0.983158029206107,0.9433183902713664,0.9595121115430545,0.9832222568384961,0.9144402449559926,0.9705854660464737,0.9653081975124518,0.9646012868538011,0.4937725416269296,0.9723384636857428,0.9671830615617317,0.8558823866767121,0.9694876847138444,0.9705894445976769,0.9716093370590982,0.4327283352125739,0.7243213952797365
3,0.3840595067506889,0.37653134361211593,0.593817691760175,0.5808561256056858,0.6037485266257451,0.6628779280667545,0.203000912923708,0.6100607434224029,0.511812508100907,0.5734675550939471,0.473884617424957,0.47707314121437916,0.6765922269253591,0.5132052811617558,0.5230708205352502,0.5273017213751355,0.20118987748868855,0.48978820194657313,0.5206098246121086,0.3128503911603976,0.5044860052419516,0.5101603955324046,0.5027450237325387,0.1134959412219579,0.21857304079607923
4,0.97514133630814,0.14167791376403932,0.97615301035161,0.2781150524251619,0.39861189932043856,0.28912867810545206,0.6183907806757284,0.9709986550121601,0.9862948429369198,0.9827440218223223,0.9986735231678311,0.9950214249692878,0.9615148504112758,0.9963717859753113,0.9947924511277655,0.992507662108322,0.48438872951729117,0.9970070192999149,0.9939023012892192,0.7796436129721963,0.9956826718588988,0.9965424597353162,0.9966530002532953,0.3810889962980969,0.6173218242525276
5,0.5725840946824288,0.027526394911984484,0.4177891064315866,0.16312831532768085,0.1291939149909232,0.13904129657134193,0.7193256951766722,0.4847134708088481,0.4731996350188148,0.4525498989667562,0.46048805953237065,0.4871157096587858,0.43547724480105315,0.4681658992976539,0.47333489804884266,0.5047977781069716,0.24157695386662065,0.4972427065282904,0.508583738134857,0.5934558159552324,0.4920000327551439,0.4730779113064188,0.4899459383490967,0.6972110225591875,0.7547173255645309
6,0.9828290922670497,0.13050605925056244,0.9706891471208609,0.2768981873922422,0.3259249023450798,0.2711188994110554,0.6190970698069161,0.9591844659450832,0.9999256930626776,0.9734709017706085,0.9845124299700586,0.9951980890707248,0.9547911008683285,0.9915086625595376,0.9879913516795947,0.9858464350351399,0.47018506868466703,0.9902788228708281,0.9863139500874981,0.8036300370495296,0.9886043022853304,0.9916618129477557,0.9897638537069542,0.3796796673387446,0.622542710530408
7,0.9539380102195175,0.20550889332918765,0.9540584006900109,0.3679618928333706,0.4686258901456373,0.40354018492452254,0.65800377310508,0.9966228193175931,0.9606183271625808,0.9890716718217641,0.9750774153015017,0.9742935587026785,0.9828113759628754,0.9779841985781721,0.9849694689273281,0.9905968136084826,0.49946380380151945,0.9830551902824743,0.990026000482619,0.8170665317280207,0.9866631753700141,0.9805237410182104,0.9846135372139195,0.402127441302505,0.6623353292772526
8,0.9639954516111018,0.19340383242822226,0.9692155621076515,0.36135950453899857,0.4648949718435316,0.3889108227280761,0.6100826771252877,0.9950640163960441,0.9734796513421401,0.9908349320350438,0.9875292728336467,0.9850089024044506,0.9817750170694661,0.9887020415301823,0.9923701063209462,0.9965063659815332,0.49528394734845077,0.9915560781265965,0.99545373542116,0.7679651799750364,0.9940022746880497,0.9897910557004479,0.9927788761189303,0.37449262029363595,0.613488215978846
9,0.9692843556663077,0.16185057660167324,0.9923097607582185,0.31999790120782307,0.42907603390659765,0.34555302114258113,0.5876936875875335,0.9735541775927136,0.9873873786616159,0.9823611851823679,0.9932201797948604,0.9941349314241135,0.9693332378182905,0.9987052499909786,0.9938011433507439,0.9907779602341249,0.437635231259938,0.9941896657187723,0.9928267967880257,0.7761179738135726,0.9933522965524826,0.9965281103575988,0.9947732310337333,0.34230070197857615,0.5886179004792268
10,0.9415323143292422,0.24302370713712698,0.9660920377667154,0.38232546793510114,0.5343541102758693,0.4616108358828934,0.5722702182113591,0.9739739640758576,0.9663619733267899,0.9919438890577964,0.9752554882753445,0.9730919770666201,0.9906501698641765,0.9798092545360094,0.9873162438480926,0.9757886828568235,0.42702969794483303,0.9754229766070532,0.9803490683527062,0.7663890583903201,0.9766640428488654,0.9805254409153228,0.9782775811239325,0.3234871087932173,0.5743272184424005
