K,n_total_GEPs,n_ambiguous,n_family_level,n_celltype_specific,ambiguity_rate,family_level_rate,celltype_specific_rate,n_unique_celltypes_covered
4,4,4,0,0,1.0,0.0,0.0,0
5,5,4,0,1,0.8,0.0,0.2,1
6,6,2,2,2,0.3333333333333333,0.3333333333333333,0.3333333333333333,2
7,7,2,2,3,0.2857142857142857,0.2857142857142857,0.42857142857142855,3
8,8,2,3,3,0.25,0.375,0.375,3
9,9,2,4,3,0.2222222222222222,0.4444444444444444,0.3333333333333333,3
10,10,2,5,3,0.2,0.5,0.3,3
11,11,5,4,2,0.45454545454545453,0.36363636363636365,0.18181818181818182,2
12,12,4,5,3,0.3333333333333333,0.4166666666666667,0.25,3
13,13,4,6,3,0.3076923076923077,0.46153846153846156,0.23076923076923078,3
14,14,6,5,3,0.42857142857142855,0.35714285714285715,0.21428571428571427,3
15,15,8,3,4,0.5333333333333333,0.2,0.26666666666666666,4
16,16,14,1,1,0.875,0.0625,0.0625,1
17,17,14,1,2,0.8235294117647058,0.058823529411764705,0.11764705882352941,2
18,18,14,2,2,0.7777777777777778,0.1111111111111111,0.1111111111111111,2
19,19,14,2,3,0.7368421052631579,0.10526315789473684,0.15789473684210525,3
20,20,12,5,3,0.6,0.25,0.15,3
