family,n_pairs,median_within_R,mean_within_R,min_within_R,max_within_R
Macrophage,6,0.804,0.749,0.35,0.934
DC,6,0.477,0.43,-0.156,0.946
Monocyte,21,0.258,0.331,-0.458,0.957
