celltype_A,celltype_B,median_R_across_K,family_A,family_B,pair_type,family_pair
Mac_IL1Bint,Mono_TIL,0.7635162936009423,Macrophage,Monocyte,between,Macrophage ↔ Monocyte
Mono_CD16,Mono_Int,0.7434436916053548,Monocyte,Monocyte,within,Monocyte
Mac_CXCL9,Mast,0.736799454151209,Macrophage,,unassigned,
Mac_IL1Bint,mregDC_LAMP3,0.7242842468485772,Macrophage,DC,between,DC ↔ Macrophage
DC_pDC,Mac_CXCL9,0.7192844371605661,,Macrophage,unassigned,
Mac_CXCL9,Mac_IL1B,0.7150106255716131,Macrophage,Macrophage,within,Macrophage
Mono_CD14_ID1,cDC2_CD33,0.7147183667524454,Monocyte,DC,between,DC ↔ Monocyte
Mac_IL1Bint,cDC2_CD1C,0.7003396118339369,Macrophage,DC,between,DC ↔ Macrophage
Mono_CD14,Mono_CD14_ID1,0.692083532179457,Monocyte,Monocyte,within,Monocyte
Mac_CXCL9,cDC1_CLEC9A,0.6712972723796973,Macrophage,DC,between,DC ↔ Macrophage
Mac_SPP1,cDC2_CD1C,0.6526119007175238,Macrophage,DC,between,DC ↔ Macrophage
Mono_CD14_IL1B,cDC2_CD33,0.6490295956781211,Monocyte,DC,between,DC ↔ Monocyte
Mac_IL1Bint,Mast,0.6389534415341177,Macrophage,,unassigned,
Mac_SPP1,mregDC_LAMP3,0.6117071647778113,Macrophage,DC,between,DC ↔ Macrophage
Mast,Mono_TIL,0.5889471005877331,,Monocyte,unassigned,
DC_pDC,Mac_IL1Bint,0.5874473481436436,,Macrophage,unassigned,
Mac_CXCL9,Mono_TIL,0.5863408624716266,Macrophage,Monocyte,between,Macrophage ↔ Monocyte
Mono_CD14_THBS1,cDC2_CD33,0.5397083564819436,Monocyte,DC,between,DC ↔ Monocyte
Mono_CD14_THBS1,Mono_CD16,0.5295784762093011,Monocyte,Monocyte,within,Monocyte
Mono_CD16,cDC2_CD33,0.5280360749659887,Monocyte,DC,between,DC ↔ Monocyte
