transition,n_parents,n_children,n_edges,n_novel,n_splits,pct_same_ct,mean_sim
K=4→5,4,5,5,0,1,80%,0.997
K=5→6,5,6,6,0,2,50%,0.997
K=6→7,6,7,7,0,1,71%,0.957
K=7→8,7,8,8,0,1,100%,0.999
K=8→9,8,9,9,0,1,89%,1.000
K=9→10,9,10,10,0,2,80%,0.929
K=10→11,10,11,10,1,2,80%,0.999
K=11→12,11,12,12,0,2,83%,0.927
K=12→13,12,13,13,0,1,92%,1.000
K=13→14,13,14,14,0,1,93%,0.980
K=14→15,14,15,15,0,2,87%,0.929
K=15→16,15,16,16,0,6,56%,0.934
K=16→17,16,17,17,0,3,82%,0.895
K=17→18,17,18,18,0,3,94%,0.880
K=18→19,18,19,19,0,4,63%,0.977
K=19→20,19,20,20,0,4,60%,0.954
