k_parent,k_child,parent_gep,child_gep,similarity,raw_value,parent_celltype,child_celltype,celltype_match
5,6,2,2,0.9022884738235741,0.20564198856149207,Ambiguous/Mixed,DC_family,False
5,6,2,3,0.8705010888874093,0.277372537797693,Ambiguous/Mixed,Macrophage_family,False
5,6,2,4,0.8552837367668543,0.3126440184593804,Ambiguous/Mixed,Ambiguous/Mixed,True
5,6,2,5,0.8558323342901201,0.311361586364114,Ambiguous/Mixed,DC_pDC,False
5,6,2,6,0.8219218205318395,0.39221999458226847,Ambiguous/Mixed,Mast,False
5,6,3,1,0.2362265297225845,2.885928125265849,Ambiguous/Mixed,Ambiguous/Mixed,True
5,6,3,2,0.9922486288717554,0.015563138314804372,Ambiguous/Mixed,DC_family,False
5,6,3,3,0.9790135582682196,0.04241957489643926,Ambiguous/Mixed,Macrophage_family,False
5,6,3,4,0.9771631533677281,0.046203293292406585,Ambiguous/Mixed,Ambiguous/Mixed,True
5,6,3,5,0.9993096828489701,0.0013811110592505003,Ambiguous/Mixed,DC_pDC,False
5,6,3,6,0.988217955054968,0.023704006562036826,Ambiguous/Mixed,Mast,False
5,6,4,1,0.2604888057291563,2.6903907819219386,Ambiguous/Mixed,Ambiguous/Mixed,True
5,6,4,2,0.9803754165277229,0.039639405167368566,Ambiguous/Mixed,DC_family,False
5,6,4,3,0.9920762712402114,0.01591057664401685,Ambiguous/Mixed,Macrophage_family,False
5,6,4,4,0.9999464105457074,0.00010718178051730464,Ambiguous/Mixed,Ambiguous/Mixed,True
5,6,4,5,0.9751414007152319,0.050345584250002115,Ambiguous/Mixed,DC_pDC,False
5,6,4,6,0.9851604486221263,0.02990151814670228,Ambiguous/Mixed,Mast,False
5,6,5,1,0.25048030392125936,2.7687499772186555,Mast,Ambiguous/Mixed,False
5,6,5,2,0.9852847775313532,0.029649130700978306,Mast,DC_family,False
5,6,5,3,0.986446889235381,0.027291585081199728,Mast,Macrophage_family,False
5,6,5,4,0.986558239721424,0.02706583708992103,Mast,Ambiguous/Mixed,False
5,6,5,5,0.9899496498203029,0.020202391828446513,Mast,DC_pDC,False
5,6,5,6,0.9998725798980638,0.00025485644113411467,Mast,Mast,True
6,7,1,1,0.7072912299819331,0.692625548614836,Ambiguous/Mixed,Mono_CD14_ID1,False
6,7,1,2,0.2871456442846289,2.495531441135109,Ambiguous/Mixed,DC_family,False
6,7,1,3,0.25868855171580707,2.7042608877945447,Ambiguous/Mixed,Macrophage_family,False
6,7,1,4,0.2405441025652457,2.8497036551969206,Ambiguous/Mixed,Ambiguous/Mixed,True
6,7,1,5,0.2607397214329664,2.688465210237989,Ambiguous/Mixed,Ambiguous/Mixed,True
6,7,1,6,0.23841332998667833,2.867498861960884,Ambiguous/Mixed,DC_pDC,False
6,7,1,7,0.2519301971893608,2.7572064502426126,Ambiguous/Mixed,Mast,False
6,7,2,1,0.09771620607509224,4.651375715585485,DC_family,Mono_CD14_ID1,False
6,7,2,2,0.9973179636464448,0.00537127891386862,DC_family,DC_family,True
6,7,2,3,0.9839991546179525,0.03226048211669941,DC_family,Macrophage_family,False
6,7,2,4,0.9946327428414021,0.010763425261319168,DC_family,Ambiguous/Mixed,False
6,7,2,5,0.9814094203200808,0.037531113027094526,DC_family,Ambiguous/Mixed,False
6,7,2,6,0.9893470549130947,0.0214201878756689,DC_family,DC_pDC,False
6,7,2,7,0.9839375850319041,0.03238562757453455,DC_family,Mast,False
6,7,3,1,0.1106429239260215,4.40289432917704,Macrophage_family,Mono_CD14_ID1,False
6,7,3,2,0.987805395828668,0.024539136839439934,Macrophage_family,DC_family,False
6,7,3,3,0.999430934685176,0.0011384545878887985,Macrophage_family,Macrophage_family,True
6,7,3,4,0.9917003193484756,0.016668629537715078,Macrophage_family,Ambiguous/Mixed,False
6,7,3,5,0.9920550992038982,0.015953259374866937,Macrophage_family,Ambiguous/Mixed,False
6,7,3,6,0.9795491636350085,0.04132570054837586,Macrophage_family,DC_pDC,False
6,7,3,7,0.985517392721095,0.02917700783784558,Macrophage_family,Mast,False
6,7,4,1,0.11829634338976062,4.269124836228099,Ambiguous/Mixed,Mono_CD14_ID1,False
6,7,4,2,0.9818004532490108,0.03673439141446279,Ambiguous/Mixed,DC_family,False
6,7,4,3,0.9924846324782242,0.015087500379617837,Ambiguous/Mixed,Macrophage_family,False
6,7,4,4,0.9881934805536658,0.023753539773315693,Ambiguous/Mixed,Ambiguous/Mixed,True
6,7,4,5,0.9999721438457949,5.571308438996809e-05,Ambiguous/Mixed,Ambiguous/Mixed,True
6,7,4,6,0.9768979973296505,0.04674607270258084,Ambiguous/Mixed,DC_pDC,False
6,7,4,7,0.9859241273908365,0.028351754496342873,Ambiguous/Mixed,Mast,False
6,7,5,1,0.10616442592637032,4.4855323974696475,DC_pDC,Mono_CD14_ID1,False
6,7,5,2,0.9907988420503124,0.01848750013871823,DC_pDC,DC_family,False
6,7,5,3,0.9783995637850524,0.04367428090895564,DC_pDC,Macrophage_family,False
6,7,5,4,0.9887795281922875,0.02256779236412936,DC_pDC,Ambiguous/Mixed,False
6,7,5,5,0.9766900773959843,0.04717179179278449,DC_pDC,Ambiguous/Mixed,False
6,7,5,6,0.9997748478274469,0.00045035504621753495,DC_pDC,DC_pDC,True
6,7,5,7,0.9895820206279612,0.02094525278299729,DC_pDC,Mast,False
6,7,6,1,0.11950657895037188,4.248767710295958,Mast,Mono_CD14_ID1,False
6,7,6,2,0.9857506882939325,0.028703615961472053,Mast,DC_family,False
6,7,6,3,0.9872436246014025,0.02567687314188921,Mast,Macrophage_family,False
6,7,6,4,0.9916449887901908,0.016780219905911727,Mast,Ambiguous/Mixed,False
6,7,6,5,0.9866116876097767,0.026957487803576326,Mast,Ambiguous/Mixed,False
6,7,6,6,0.9908386906212423,0.018407064498439492,Mast,DC_pDC,False
6,7,6,7,0.9999875192287604,2.496169825021632e-05,Mast,Mast,True
7,8,1,1,0.9957785033992176,0.008460864548736353,Mono_CD14_ID1,Mono_CD14_ID1,True
7,8,1,2,0.11071865114165148,4.401525939589805,Mono_CD14_ID1,DC_family,False
7,8,1,3,0.11602608929787583,4.307880410846836,Mono_CD14_ID1,Macrophage_family,False
7,8,1,4,0.10524367838603021,4.502953742128118,Mono_CD14_ID1,Ambiguous/Mixed,False
7,8,1,5,0.11832353179772828,4.268665222967535,Mono_CD14_ID1,Ambiguous/Mixed,False
7,8,1,6,0.10736396744414374,4.463061303715036,Mono_CD14_ID1,DC_pDC,False
7,8,1,7,0.11715353829458902,4.288539822744563,Mono_CD14_ID1,Macrophage_family,False
7,8,1,8,0.11967960874199175,4.245874067925172,Mono_CD14_ID1,Mast,False
7,8,2,1,0.10875371877680169,4.4373388278985,DC_family,Mono_CD14_ID1,False
7,8,2,2,0.9999848301556525,3.033991882134109e-05,DC_family,DC_family,True
7,8,2,3,0.9873659693090064,0.02542903740131992,DC_family,Macrophage_family,False
7,8,2,4,0.9913024996144914,0.017471088788941404,DC_family,Ambiguous/Mixed,False
7,8,2,5,0.9820915413559631,0.03614151133779139,DC_family,Ambiguous/Mixed,False
7,8,2,6,0.9899093863621534,0.02028373793929405,DC_family,DC_pDC,False
7,8,2,7,0.9890305352330856,0.022060145959072755,DC_family,Macrophage_family,False
7,8,2,8,0.9854625055046295,0.02928839855579069,DC_family,Mast,False
7,8,3,1,0.11317381207958861,4.357660964059718,Macrophage_family,Mono_CD14_ID1,False
7,8,3,2,0.9848987734297429,0.030432822365363817,Macrophage_family,DC_family,False
7,8,3,3,0.9991866381039325,0.0016273857086516724,Macrophage_family,Macrophage_family,True
7,8,3,4,0.9917738722802774,0.01652029802496663,Macrophage_family,Ambiguous/Mixed,False
7,8,3,5,0.9922233488183637,0.01561409404242817,Macrophage_family,Ambiguous/Mixed,False
7,8,3,6,0.980176625168752,0.04004498758583889,Macrophage_family,DC_pDC,False
7,8,3,7,0.9980922775869359,0.003819088866215718,Macrophage_family,Macrophage_family,True
7,8,3,8,0.9868577197851363,0.02645880831918747,Macrophage_family,Mast,False
7,8,4,1,0.10406389559638035,4.52550037552183,Ambiguous/Mixed,Mono_CD14_ID1,False
7,8,4,2,0.9911136429192426,0.017852152465266537,Ambiguous/Mixed,DC_family,False
7,8,4,3,0.9932837880405556,0.013477734412514396,Ambiguous/Mixed,Macrophage_family,False
7,8,4,4,0.9997351155550401,0.0005298390660816822,Ambiguous/Mixed,Ambiguous/Mixed,True
7,8,4,5,0.9885310221909042,0.023070507534780897,Ambiguous/Mixed,Ambiguous/Mixed,True
7,8,4,6,0.9902942117765844,0.019506392782185647,Ambiguous/Mixed,DC_pDC,False
7,8,4,7,0.993547075073198,0.012947670099398508,Ambiguous/Mixed,Macrophage_family,False
7,8,4,8,0.9913441634390123,0.017387031805307297,Ambiguous/Mixed,Mast,False
7,8,5,1,0.11656187454295996,4.298666070019361,Ambiguous/Mixed,Mono_CD14_ID1,False
7,8,5,2,0.9825110913616393,0.035287292769482184,Ambiguous/Mixed,DC_family,False
7,8,5,3,0.9926753676903962,0.014703178284184184,Ambiguous/Mixed,Macrophage_family,False
7,8,5,4,0.9892463336809736,0.021623809767440633,Ambiguous/Mixed,Ambiguous/Mixed,True
7,8,5,5,0.9999326998514526,0.00013460482660799936,Ambiguous/Mixed,Ambiguous/Mixed,True
7,8,5,6,0.9784408599679919,0.04358986690678298,Ambiguous/Mixed,DC_pDC,False
7,8,5,7,0.9937879229850695,0.012462904494634452,Ambiguous/Mixed,Macrophage_family,False
7,8,5,8,0.9866421070181667,0.02689582435516393,Ambiguous/Mixed,Mast,False
7,8,6,1,0.10506083570517219,4.5064314178730775,DC_pDC,Mono_CD14_ID1,False
7,8,6,2,0.9902190558585454,0.01965818357157995,DC_pDC,DC_family,False
7,8,6,3,0.9837337942853481,0.03279990558747248,DC_pDC,Macrophage_family,False
7,8,6,4,0.9908933453407073,0.01829674742531939,DC_pDC,Ambiguous/Mixed,False
7,8,6,5,0.9781254896175864,0.04423460937248777,DC_pDC,Ambiguous/Mixed,False
7,8,6,6,0.9999793811773188,4.123807050420694e-05,DC_pDC,DC_pDC,True
7,8,6,7,0.984471223631601,0.0313012215092464,DC_pDC,Macrophage_family,False
7,8,6,8,0.9908958842210323,0.018291623004847126,DC_pDC,Mast,False
7,8,7,1,0.11883262212611706,4.2600786254545335,Mast,Mono_CD14_ID1,False
7,8,7,2,0.9860198467538221,0.02815759205701224,Mast,DC_family,False
7,8,7,3,0.9893255967403939,0.02146356679978497,Mast,Macrophage_family,False
7,8,7,4,0.9925680592722833,0.014919390395525249,Mast,Ambiguous/Mixed,False
7,8,7,5,0.9868672438595031,0.026439506593683926,Mast,Ambiguous/Mixed,False
7,8,7,6,0.991127249299494,0.01782469590273658,Mast,DC_pDC,False
7,8,7,7,0.9923374925363286,0.01538403061335658,Mast,Macrophage_family,False
7,8,7,8,0.9999566198218341,8.676223822603443e-05,Mast,Mast,True
8,9,1,1,0.9999011224833644,0.0001977648106790454,Mono_CD14_ID1,Mono_CD14_ID1,True
8,9,1,2,0.11111880816877018,4.394310612433174,Mono_CD14_ID1,DC_family,False
