k	gep	label
4	1	Ambiguous/Mixed
4	2	Ambiguous/Mixed
4	3	Ambiguous/Mixed
4	4	Ambiguous/Mixed
5	1	Ambiguous/Mixed
5	2	Ambiguous/Mixed
5	3	Ambiguous/Mixed
5	4	Ambiguous/Mixed
5	5	Mast
6	1	Ambiguous/Mixed
6	2	DC_family
6	3	Macrophage_family
6	4	Ambiguous/Mixed
6	5	DC_pDC
6	6	Mast
7	1	Mono_CD14_ID1
7	2	DC_family
7	3	Macrophage_family
7	4	Ambiguous/Mixed
7	5	Ambiguous/Mixed
7	6	DC_pDC
7	7	Mast
8	1	Mono_CD14_ID1
8	2	DC_family
8	3	Macrophage_family
8	4	Ambiguous/Mixed
8	5	Ambiguous/Mixed
8	6	DC_pDC
8	7	Macrophage_family
8	8	Mast
9	1	Mono_CD14_ID1
9	2	DC_family
9	3	Macrophage_family
9	4	Ambiguous/Mixed
9	5	Ambiguous/Mixed
9	6	DC_pDC
9	7	Macrophage_family
9	8	DC_family
9	9	Mast
10	1	Monocyte_family
10	2	Mono_CD16
10	3	DC_family
10	4	Macrophage_family
10	5	Ambiguous/Mixed
10	6	Ambiguous/Mixed
10	7	DC_pDC
10	8	Macrophage_family
10	9	DC_family
10	10	Mast
11	1	Ambiguous/Mixed
11	2	DC_family
11	3	Macrophage_family
11	4	Ambiguous/Mixed
11	5	Ambiguous/Mixed
11	6	DC_pDC
11	7	Macrophage_family
11	8	Ambiguous/Mixed
11	9	DC_family
11	10	Mast
11	11	Ambiguous/Mixed
12	1	Monocyte_family
12	2	Mono_CD16
12	3	DC_family
12	4	Macrophage_family
12	5	Ambiguous/Mixed
12	6	Ambiguous/Mixed
12	7	DC_pDC
12	8	Macrophage_family
12	9	Ambiguous/Mixed
12	10	DC_family
12	11	Mast
12	12	Ambiguous/Mixed
13	1	Monocyte_family
13	2	Mono_CD16
13	3	DC_family
13	4	Macrophage_family
13	5	Ambiguous/Mixed
13	6	DC_pDC
13	7	Ambiguous/Mixed
13	8	Macrophage_family
13	9	Ambiguous/Mixed
13	10	DC_family
13	11	Mast
13	12	Ambiguous/Mixed
13	13	Macrophage_family
14	1	Monocyte_family
14	2	Mono_CD16
14	3	DC_family
14	4	Macrophage_family
14	5	Ambiguous/Mixed
14	6	Ambiguous/Mixed
14	7	DC_pDC
14	8	Macrophage_family
14	9	Ambiguous/Mixed
14	10	Ambiguous/Mixed
14	11	DC_family
14	12	Mast
14	13	Ambiguous/Mixed
14	14	Ambiguous/Mixed
15	1	Mono_CD14_ID1
15	2	Mono_CD16
15	3	Ambiguous/Mixed
15	4	DC_pDC
15	5	Ambiguous/Mixed
15	6	Ambiguous/Mixed
15	7	Macrophage_family
15	8	DC_family
15	9	DC_family
15	10	Mast
15	11	Ambiguous/Mixed
15	12	Ambiguous/Mixed
15	13	Ambiguous/Mixed
15	14	Ambiguous/Mixed
15	15	Ambiguous/Mixed
16	1	Ambiguous/Mixed
16	2	Ambiguous/Mixed
16	3	Ambiguous/Mixed
16	4	Ambiguous/Mixed
16	5	Mast
16	6	Ambiguous/Mixed
16	7	Ambiguous/Mixed
16	8	Ambiguous/Mixed
16	9	Ambiguous/Mixed
16	10	Ambiguous/Mixed
16	11	Ambiguous/Mixed
16	12	DC_family
16	13	Ambiguous/Mixed
16	14	Ambiguous/Mixed
16	15	Ambiguous/Mixed
16	16	Ambiguous/Mixed
17	1	Ambiguous/Mixed
17	2	DC_pDC
17	3	Ambiguous/Mixed
17	4	Mast
17	5	Ambiguous/Mixed
17	6	Ambiguous/Mixed
17	7	DC_family
17	8	Ambiguous/Mixed
17	9	Ambiguous/Mixed
17	10	Ambiguous/Mixed
17	11	Ambiguous/Mixed
17	12	Ambiguous/Mixed
17	13	Ambiguous/Mixed
17	14	Ambiguous/Mixed
17	15	Ambiguous/Mixed
17	16	Ambiguous/Mixed
17	17	Ambiguous/Mixed
18	1	Ambiguous/Mixed
18	2	DC_pDC
18	3	Mast
18	4	Ambiguous/Mixed
18	5	Ambiguous/Mixed
18	6	Ambiguous/Mixed
18	7	DC_family
18	8	Ambiguous/Mixed
18	9	Ambiguous/Mixed
18	10	Ambiguous/Mixed
18	11	Ambiguous/Mixed
18	12	Ambiguous/Mixed
18	13	Ambiguous/Mixed
18	14	Ambiguous/Mixed
18	15	Macrophage_family
18	16	Ambiguous/Mixed
18	17	Ambiguous/Mixed
18	18	Ambiguous/Mixed
19	1	Mac_SPP1
19	2	DC_pDC
19	3	Ambiguous/Mixed
19	4	Ambiguous/Mixed
19	5	DC_family
19	6	Ambiguous/Mixed
19	7	Ambiguous/Mixed
19	8	DC_family
19	9	Ambiguous/Mixed
19	10	Mast
19	11	Ambiguous/Mixed
19	12	Ambiguous/Mixed
19	13	Ambiguous/Mixed
19	14	Ambiguous/Mixed
19	15	Ambiguous/Mixed
19	16	Ambiguous/Mixed
19	17	Ambiguous/Mixed
19	18	Ambiguous/Mixed
19	19	Ambiguous/Mixed
20	1	Monocyte_family
20	2	cDC2_CD33
20	3	Mono_CD16
20	4	Macrophage_family
20	5	Ambiguous/Mixed
20	6	Ambiguous/Mixed
20	7	DC_family
20	8	Ambiguous/Mixed
20	9	Macrophage_family
20	10	Ambiguous/Mixed
20	11	DC_family
20	12	Ambiguous/Mixed
20	13	Mast
20	14	Ambiguous/Mixed
20	15	Ambiguous/Mixed
20	16	Ambiguous/Mixed
20	17	Ambiguous/Mixed
20	18	Ambiguous/Mixed
20	19	Ambiguous/Mixed
20	20	Ambiguous/Mixed
