k,gep,celltype,lineage_id,lineage_k_span,lineage_consecutive_span,lineage_size,lineage_dominant_celltype
11,1,Mono_CD14_ID1,0,12,12,12,Ambiguous/Mixed
12,1,Mono_CD14_ID1,0,12,12,12,Ambiguous/Mixed
7,1,Ambiguous/Mixed,0,12,12,12,Ambiguous/Mixed
13,1,Mono_CD14_ID1,0,12,12,12,Ambiguous/Mixed
8,1,Ambiguous/Mixed,0,12,12,12,Ambiguous/Mixed
14,1,Mono_CD14_ID1,0,12,12,12,Ambiguous/Mixed
6,1,Ambiguous/Mixed,0,12,12,12,Ambiguous/Mixed
15,1,Mono_CD14_ID1,0,12,12,12,Ambiguous/Mixed
10,1,Mono_CD16,0,12,12,12,Ambiguous/Mixed
5,1,Ambiguous/Mixed,0,12,12,12,Ambiguous/Mixed
9,1,Ambiguous/Mixed,0,12,12,12,Ambiguous/Mixed
4,1,Ambiguous/Mixed,0,12,12,12,Ambiguous/Mixed
4,2,Macrophage_family,1,2,2,2,Macrophage_family
5,2,Macrophage_family,1,2,2,2,Macrophage_family
12,4,Ambiguous/Mixed,2,17,17,171,Ambiguous/Mixed
18,17,Macrophage_family,2,17,17,171,Ambiguous/Mixed
17,3,DC_family,2,17,17,171,Ambiguous/Mixed
20,20,Ambiguous/Mixed,2,17,17,171,Ambiguous/Mixed
14,13,Ambiguous/Mixed,2,17,17,171,Ambiguous/Mixed
17,12,DC_family,2,17,17,171,Ambiguous/Mixed
19,9,Ambiguous/Mixed,2,17,17,171,Ambiguous/Mixed
10,6,Ambiguous/Mixed,2,17,17,171,Ambiguous/Mixed
9,8,Ambiguous/Mixed,2,17,17,171,Ambiguous/Mixed
11,5,Ambiguous/Mixed,2,17,17,171,Ambiguous/Mixed
19,18,Macrophage_family,2,17,17,171,Ambiguous/Mixed
13,8,Macrophage_family,2,17,17,171,Ambiguous/Mixed
15,5,Ambiguous/Mixed,2,17,17,171,Ambiguous/Mixed
6,2,Macrophage_family,2,17,17,171,Ambiguous/Mixed
15,14,Ambiguous/Mixed,2,17,17,171,Ambiguous/Mixed
