k_parent,k_child,parent_gep,child_gep,similarity,raw_value,parent_celltype,child_celltype,celltype_match
4,5,1,1,0.9989732676829424,0.00205451953549542,Ambiguous/Mixed,Ambiguous/Mixed,True
4,5,1,2,0.2077111634225663,3.1432136034454734,Ambiguous/Mixed,Macrophage_family,False
4,5,1,3,0.23732923772704212,2.8766138263105034,Ambiguous/Mixed,DC_family,False
4,5,1,4,0.24644261255180724,2.8012522434481997,Ambiguous/Mixed,Ambiguous/Mixed,True
4,5,1,5,0.2728998145430072,2.597301061693298,Ambiguous/Mixed,Ambiguous/Mixed,True
4,5,2,1,0.19843187851833752,3.2346188380457606,Macrophage_family,Ambiguous/Mixed,False
4,5,2,2,0.9998206618176163,0.0003587085307968276,Macrophage_family,Macrophage_family,True
4,5,2,3,0.8627744503752632,0.29520395471785466,Macrophage_family,DC_family,False
4,5,2,4,0.8450642279455258,0.33668529022108473,Macrophage_family,Ambiguous/Mixed,False
4,5,2,5,0.8440975774530596,0.3389743559456333,Macrophage_family,Ambiguous/Mixed,False
4,5,3,1,0.2517630453815511,2.758533859862742,DC_family,Ambiguous/Mixed,False
4,5,3,2,0.8579928507694344,0.3063190239308927,DC_family,Macrophage_family,False
4,5,3,3,0.9988887294087261,0.0022237770205265693,DC_family,DC_family,True
4,5,3,4,0.9951859494329177,0.009651350863954817,DC_family,Ambiguous/Mixed,False
4,5,3,5,0.9984632107575634,0.0030759426284863714,DC_family,Ambiguous/Mixed,False
4,5,4,1,0.24015113311718878,2.8529736650195963,Ambiguous/Mixed,Ambiguous/Mixed,True
4,5,4,2,0.8469270970876314,0.3322813198998236,Ambiguous/Mixed,Macrophage_family,False
4,5,4,3,0.9946698925882081,0.0106887262262932,Ambiguous/Mixed,DC_family,False
4,5,4,4,0.9997267328890266,0.0005466089104677555,Ambiguous/Mixed,Ambiguous/Mixed,True
4,5,4,5,0.9931812140733346,0.013684280145166115,Ambiguous/Mixed,Ambiguous/Mixed,True
5,6,1,1,0.9990244569727853,0.0019520383580197485,Ambiguous/Mixed,Ambiguous/Mixed,True
5,6,1,2,0.2553978920029977,2.729865178251357,Ambiguous/Mixed,Macrophage_family,False
5,6,1,3,0.2394491028296257,2.858828797993678,Ambiguous/Mixed,DC_family,False
5,6,1,4,0.27176826954388345,2.60561105201656,Ambiguous/Mixed,Ambiguous/Mixed,True
5,6,1,5,0.247920306134573,2.789295861382959,Ambiguous/Mixed,Ambiguous/Mixed,True
5,6,1,6,0.2737092516847622,2.5913777224482697,Ambiguous/Mixed,Ambiguous/Mixed,True
5,6,2,1,0.19593031652411314,3.2599924218097183,Macrophage_family,Ambiguous/Mixed,False
5,6,2,2,0.8740745453186533,0.2691792296743253,Macrophage_family,Macrophage_family,True
5,6,2,3,0.8631644931950251,0.2942999996205905,Macrophage_family,DC_family,False
5,6,2,4,0.8494970200980944,0.32622169141336055,Macrophage_family,Ambiguous/Mixed,False
5,6,2,5,0.8456173209045225,0.3353767221371571,Macrophage_family,Ambiguous/Mixed,False
5,6,2,6,0.8455605636525176,0.3355109652644932,Macrophage_family,Ambiguous/Mixed,False
5,6,3,1,0.23685462469335006,2.8806174479416606,DC_family,Ambiguous/Mixed,False
5,6,3,2,0.9927862142851279,0.014479861760000328,DC_family,Macrophage_family,False
5,6,3,3,0.9996228022517863,0.0007545378103565906,DC_family,DC_family,True
5,6,3,4,0.9917892471807837,0.01648929341441333,DC_family,Ambiguous/Mixed,False
5,6,3,5,0.9938399205791213,0.012358261979724854,DC_family,Ambiguous/Mixed,False
5,6,3,6,0.9966745393373295,0.006662004592092929,DC_family,Ambiguous/Mixed,False
5,6,4,1,0.24619951218360828,2.803226093232658,Ambiguous/Mixed,Ambiguous/Mixed,True
5,6,4,2,0.9854567292696622,0.029300121481551228,Ambiguous/Mixed,Macrophage_family,False
5,6,4,3,0.9936563784064442,0.012727655720568713,Ambiguous/Mixed,DC_family,False
5,6,4,4,0.9878743395680873,0.024399551990312504,Ambiguous/Mixed,Ambiguous/Mixed,True
5,6,4,5,0.9999291721380108,0.00014166074080136697,Ambiguous/Mixed,Ambiguous/Mixed,True
5,6,4,6,0.9947170512421406,0.010593905750894934,Ambiguous/Mixed,Ambiguous/Mixed,True
5,6,5,1,0.2729372681481912,2.597026594410437,Ambiguous/Mixed,Ambiguous/Mixed,True
5,6,5,2,0.9955917413639799,0.008836007315434604,Ambiguous/Mixed,Macrophage_family,False
5,6,5,3,0.9968734311099671,0.006262933636699129,Ambiguous/Mixed,DC_family,False
5,6,5,4,0.9959859098308175,0.008044336507625018,Ambiguous/Mixed,Ambiguous/Mixed,True
5,6,5,5,0.9934919332499443,0.013058673100420188,Ambiguous/Mixed,Ambiguous/Mixed,True
5,6,5,6,0.9996987982662822,0.0006024942081413866,Ambiguous/Mixed,Ambiguous/Mixed,True
6,7,1,1,0.9982953858019185,0.0034121374120304844,Ambiguous/Mixed,Ambiguous/Mixed,True
6,7,1,2,0.25719773191205486,2.7158202100798463,Ambiguous/Mixed,Macrophage_family,False
6,7,1,3,0.2514042421946834,2.761386217371218,Ambiguous/Mixed,Ambiguous/Mixed,True
6,7,1,4,0.24355495382267478,2.824825357744164,Ambiguous/Mixed,DC_pDC,False
6,7,1,5,0.23987828639156483,2.8552472486285874,Ambiguous/Mixed,Ambiguous/Mixed,True
6,7,1,6,0.27410026611156124,2.588522609636235,Ambiguous/Mixed,DC_family,False
6,7,1,7,0.26828026369722763,2.631446169666267,Ambiguous/Mixed,Ambiguous/Mixed,True
6,7,2,1,0.2538835810742127,2.74175891852403,Macrophage_family,Ambiguous/Mixed,False
6,7,2,2,0.9997354780335981,0.0005291139170163891,Macrophage_family,Macrophage_family,True
6,7,2,3,0.9883038685769673,0.023530138465006727,Macrophage_family,Ambiguous/Mixed,False
6,7,2,4,0.984206012257032,0.031840083586459775,Macrophage_family,DC_pDC,False
6,7,2,5,0.9937217582227861,0.012596065631776877,Macrophage_family,Ambiguous/Mixed,False
6,7,2,6,0.9907654391213542,0.018554927532881016,Macrophage_family,DC_family,False
6,7,2,7,0.9951624399206276,0.009698597893504048,Macrophage_family,Ambiguous/Mixed,False
6,7,3,1,0.2375106622080592,2.8750855260150137,DC_family,Ambiguous/Mixed,False
6,7,3,2,0.9918782313582354,0.016309859757363245,DC_family,Macrophage_family,False
6,7,3,3,0.9834388975383447,0.03339954129904625,DC_family,Ambiguous/Mixed,False
6,7,3,4,0.993374136800709,0.013295823356592976,DC_family,DC_pDC,False
6,7,3,5,0.9988465466805087,0.002308238117507009,DC_family,Ambiguous/Mixed,False
6,7,3,6,0.9966453210194582,0.006720637064390965,DC_family,DC_family,True
6,7,3,7,0.9971721424879723,0.00566372691004334,DC_family,Ambiguous/Mixed,False
6,7,4,1,0.26987116553591667,2.6196211970896934,Ambiguous/Mixed,Ambiguous/Mixed,True
