celltype_A,celltype_B,median_R_across_K,family_A,family_B,pair_type,family_pair
DC_pDC,mregDC_LAMP3,0.9721680381688351,,DC,unassigned,
Mast,mregDC_LAMP3,0.9638163739752982,,DC,unassigned,
Mac_CXCL9,mregDC_LAMP3,0.9606101570997597,Macrophage,DC,between,DC ↔ Macrophage
Mono_CD14_ID1,Mono_CD14_THBS1,0.9587010662225661,Monocyte,Monocyte,within,Monocyte
cDC2_CD1C,mregDC_LAMP3,0.9552592793751734,DC,DC,within,DC
DC_pDC,Mast,0.9523008284973566,,,unassigned,
Mac_CXCL9,Mast,0.9495676746325109,Macrophage,,unassigned,
Mono_CD14_IL1B,Mono_CD14_THBS1,0.9495223439976355,Monocyte,Monocyte,within,Monocyte
DC_pDC,Mac_CXCL9,0.9330919692845329,,Macrophage,unassigned,
cDC1_CLEC9A,mregDC_LAMP3,0.9248513592575122,DC,DC,within,DC
cDC1_CLEC9A,cDC2_CD1C,0.9222490132148887,DC,DC,within,DC
Mac_CXCL9,Mac_IL1Bint,0.9174362809526664,Macrophage,Macrophage,within,Macrophage
Mac_CXCL9,cDC2_CD1C,0.9159561456378736,Macrophage,DC,between,DC ↔ Macrophage
DC_pDC,cDC1_CLEC9A,0.9083401250661046,,DC,unassigned,
Mac_IL1B,Mac_IL1Bint,0.9080488574432294,Macrophage,Macrophage,within,Macrophage
Mono_CD14_ID1,Mono_CD14_IL1B,0.9073972396369385,Monocyte,Monocyte,within,Monocyte
DC_pDC,cDC2_CD1C,0.8921079498374295,,DC,unassigned,
Mast,cDC2_CD1C,0.8894167694127554,,DC,unassigned,
Mac_IL1B,mregDC_LAMP3,0.8850596584717464,Macrophage,DC,between,DC ↔ Macrophage
Mono_CD16,Mono_Int,0.8822336933470322,Monocyte,Monocyte,within,Monocyte
Mast,cDC1_CLEC9A,0.8756778664636281,,DC,unassigned,
Mac_IL1Bint,Mac_SPP1,0.8589420869023136,Macrophage,Macrophage,within,Macrophage
Mono_CD14_ID1,cDC2_CD33,0.853110210009503,Monocyte,DC,between,DC ↔ Monocyte
Mac_CXCL9,Mac_SPP1,0.8456238735647744,Macrophage,Macrophage,within,Macrophage
Mac_CXCL9,Mac_IL1B,0.8328833463901133,Macrophage,Macrophage,within,Macrophage
Mono_CD14,Mono_CD14_IL1B,0.8275275638217549,Monocyte,Monocyte,within,Monocyte
Mono_CD14,Mono_CD14_THBS1,0.818660548953215,Monocyte,Monocyte,within,Monocyte
Mac_IL1B,Mast,0.8108790624841574,Macrophage,,unassigned,
Mac_CXCL9,cDC1_CLEC9A,0.7950184577742739,Macrophage,DC,between,DC ↔ Macrophage
Mac_IL1Bint,cDC2_CD1C,0.7864298785889838,Macrophage,DC,between,DC ↔ Macrophage
Mac_IL1B,Mono_TIL,0.7730141664062831,Macrophage,Monocyte,between,Macrophage ↔ Monocyte
DC_pDC,Mac_IL1B,0.7719001031219299,,Macrophage,unassigned,
Mono_CD14_THBS1,cDC2_CD33,0.7494252305173628,Monocyte,DC,between,DC ↔ Monocyte
Mac_IL1Bint,Mono_TIL,0.7459052197511733,Macrophage,Monocyte,between,Macrophage ↔ Monocyte
Mac_IL1B,Mac_SPP1,0.7186673849473236,Macrophage,Macrophage,within,Macrophage
Mono_CD14_IL1B,cDC2_CD33,0.7174669031059189,Monocyte,DC,between,DC ↔ Monocyte
Mac_SPP1,cDC2_CD1C,0.7165231993023243,Macrophage,DC,between,DC ↔ Macrophage
Mac_IL1Bint,Mast,0.7059954041523526,Macrophage,,unassigned,
Mac_IL1Bint,mregDC_LAMP3,0.7017919835951535,Macrophage,DC,between,DC ↔ Macrophage
Mac_IL1B,cDC2_CD1C,0.6877226597101181,Macrophage,DC,between,DC ↔ Macrophage
Mac_SPP1,Mast,0.6662712577851205,Macrophage,,unassigned,
Mac_SPP1,mregDC_LAMP3,0.6416015095247469,Macrophage,DC,between,DC ↔ Macrophage
DC_pDC,Mac_IL1Bint,0.6307632842191501,,Macrophage,unassigned,
Mono_CD14,Mono_CD14_ID1,0.6261194715189665,Monocyte,Monocyte,within,Monocyte
Mac_IL1Bint,cDC1_CLEC9A,0.6122999221040094,Macrophage,DC,between,DC ↔ Macrophage
Mac_IL1B,cDC1_CLEC9A,0.5967960043961458,Macrophage,DC,between,DC ↔ Macrophage
DC_pDC,Mac_SPP1,0.5936498759079827,,Macrophage,unassigned,
Mac_SPP1,cDC1_CLEC9A,0.5771851561345932,Macrophage,DC,between,DC ↔ Macrophage
Mono_CD14,cDC2_CD33,0.5380002879174173,Monocyte,DC,between,DC ↔ Monocyte
Mac_CXCL9,Mono_TIL,0.5218331601475914,Macrophage,Monocyte,between,Macrophage ↔ Monocyte
Mono_TIL,cDC2_CD1C,0.5001378138866771,Monocyte,DC,between,DC ↔ Monocyte
Mono_CD14_THBS1,Mono_Int,0.48807120065037596,Monocyte,Monocyte,within,Monocyte
Mac_SPP1,Mono_TIL,0.43491705671549086,Macrophage,Monocyte,between,Macrophage ↔ Monocyte
Mono_CD14_ID1,Mono_Int,0.4206058628507381,Monocyte,Monocyte,within,Monocyte
Mono_TIL,mregDC_LAMP3,0.3890778810078019,Monocyte,DC,between,DC ↔ Monocyte
Mast,Mono_TIL,0.37171398549558204,,Monocyte,unassigned,
Mono_CD14_IL1B,Mono_Int,0.3247526697564787,Monocyte,Monocyte,within,Monocyte
DC_pDC,Mono_TIL,0.3165547684352213,,Monocyte,unassigned,
Mono_TIL,cDC1_CLEC9A,0.3018341168172182,Monocyte,DC,between,DC ↔ Monocyte
Mono_Int,cDC2_CD33,0.2891466924349154,Monocyte,DC,between,DC ↔ Monocyte
Mono_CD14,Mono_Int,0.2731489187354021,Monocyte,Monocyte,within,Monocyte
Mono_CD14_THBS1,Mono_CD16,0.26699534880113757,Monocyte,Monocyte,within,Monocyte
Mast,Mono_CD16,0.11226763838944596,,Monocyte,unassigned,
Mono_CD14_IL1B,Mono_CD16,0.08066921208095977,Monocyte,Monocyte,within,Monocyte
Mono_CD14_ID1,Mono_CD16,0.021393819453154096,Monocyte,Monocyte,within,Monocyte
Mono_CD16,cDC2_CD33,-0.004410737575626742,Monocyte,DC,between,DC ↔ Monocyte
