k	gep	label
4	1	Ambiguous/Mixed
4	2	Macrophage_family
4	3	DC_family
4	4	Ambiguous/Mixed
5	1	Ambiguous/Mixed
5	2	Macrophage_family
5	3	DC_family
5	4	Ambiguous/Mixed
5	5	Ambiguous/Mixed
6	1	Ambiguous/Mixed
6	2	Macrophage_family
6	3	DC_family
6	4	Ambiguous/Mixed
6	5	Ambiguous/Mixed
6	6	Ambiguous/Mixed
7	1	Ambiguous/Mixed
7	2	Macrophage_family
7	3	Ambiguous/Mixed
7	4	DC_pDC
7	5	Ambiguous/Mixed
7	6	DC_family
7	7	Ambiguous/Mixed
8	1	Ambiguous/Mixed
8	2	Ambiguous/Mixed
8	3	Ambiguous/Mixed
8	4	Ambiguous/Mixed
8	5	DC_family
8	6	Ambiguous/Mixed
8	7	Ambiguous/Mixed
8	8	Ambiguous/Mixed
9	1	Ambiguous/Mixed
9	2	Ambiguous/Mixed
9	3	Ambiguous/Mixed
9	4	Ambiguous/Mixed
9	5	DC_family
9	6	Ambiguous/Mixed
9	7	Macrophage_family
9	8	Ambiguous/Mixed
9	9	Mast
10	1	Mono_CD16
10	2	Ambiguous/Mixed
10	3	Ambiguous/Mixed
10	4	DC_family
10	5	DC_pDC
10	6	Ambiguous/Mixed
10	7	Macrophage_family
10	8	DC_family
10	9	Mast
10	10	Ambiguous/Mixed
11	1	Mono_CD14_ID1
11	2	Mono_CD16
11	3	DC_family
11	4	Ambiguous/Mixed
11	5	Ambiguous/Mixed
11	6	DC_pDC
11	7	Ambiguous/Mixed
11	8	Macrophage_family
11	9	DC_family
11	10	Mast
11	11	Ambiguous/Mixed
12	1	Mono_CD14_ID1
12	2	Mono_CD16
12	3	DC_family
12	4	Ambiguous/Mixed
12	5	Ambiguous/Mixed
12	6	DC_pDC
12	7	Macrophage_family
12	8	Ambiguous/Mixed
12	9	Ambiguous/Mixed
12	10	DC_family
12	11	Mast
12	12	Ambiguous/Mixed
13	1	Mono_CD14_ID1
13	2	Mono_CD16
13	3	Ambiguous/Mixed
13	4	Macrophage_family
13	5	Ambiguous/Mixed
13	6	DC_pDC
13	7	Ambiguous/Mixed
13	8	Macrophage_family
13	9	Ambiguous/Mixed
13	10	DC_family
13	11	DC_family
13	12	Mast
13	13	Ambiguous/Mixed
14	1	Mono_CD14_ID1
14	2	Mono_CD16
14	3	Ambiguous/Mixed
14	4	Macrophage_family
14	5	Ambiguous/Mixed
14	6	DC_pDC
14	7	Ambiguous/Mixed
14	8	Macrophage_family
14	9	Ambiguous/Mixed
14	10	DC_family
14	11	DC_family
14	12	Mast
14	13	Ambiguous/Mixed
14	14	Ambiguous/Mixed
15	1	Mono_CD14_ID1
15	2	Mono_CD16
15	3	DC_family
15	4	Ambiguous/Mixed
15	5	Ambiguous/Mixed
15	6	Ambiguous/Mixed
15	7	Macrophage_family
15	8	Ambiguous/Mixed
15	9	Macrophage_family
15	10	DC_family
15	11	Macrophage_family
15	12	Mast
15	13	Ambiguous/Mixed
15	14	Ambiguous/Mixed
15	15	Ambiguous/Mixed
16	1	Mono_CD16
16	2	Ambiguous/Mixed
16	3	Mac_SPP1
16	4	Ambiguous/Mixed
16	5	Ambiguous/Mixed
16	6	Ambiguous/Mixed
16	7	Ambiguous/Mixed
16	8	Ambiguous/Mixed
16	9	DC_family
16	10	Mast
16	11	Ambiguous/Mixed
16	12	Ambiguous/Mixed
16	13	DC_family
16	14	Ambiguous/Mixed
16	15	Ambiguous/Mixed
16	16	Ambiguous/Mixed
17	1	Mono_CD14_ID1
17	2	Mono_CD16
17	3	DC_family
17	4	Macrophage_family
17	5	DC_pDC
17	6	Ambiguous/Mixed
17	7	Macrophage_family
17	8	Ambiguous/Mixed
17	9	Ambiguous/Mixed
17	10	Ambiguous/Mixed
17	11	DC_family
17	12	DC_family
17	13	Ambiguous/Mixed
17	14	Mast
17	15	Ambiguous/Mixed
17	16	Ambiguous/Mixed
17	17	Ambiguous/Mixed
18	1	Mono_CD14_ID1
18	2	Mono_CD16
18	3	DC_family
18	4	Macrophage_family
18	5	DC_pDC
18	6	Ambiguous/Mixed
18	7	Macrophage_family
18	8	Ambiguous/Mixed
18	9	Ambiguous/Mixed
18	10	Ambiguous/Mixed
18	11	Ambiguous/Mixed
18	12	DC_family
18	13	DC_family
18	14	Mast
18	15	Ambiguous/Mixed
18	16	Ambiguous/Mixed
18	17	Macrophage_family
18	18	Ambiguous/Mixed
19	1	Mono_CD14_ID1
19	2	Mono_CD14_THBS1
19	3	DC_family
19	4	Mono_CD16
19	5	Ambiguous/Mixed
19	6	Ambiguous/Mixed
19	7	Ambiguous/Mixed
19	8	Ambiguous/Mixed
19	9	Ambiguous/Mixed
19	10	Macrophage_family
19	11	Ambiguous/Mixed
19	12	DC_family
19	13	Ambiguous/Mixed
19	14	Ambiguous/Mixed
19	15	Ambiguous/Mixed
19	16	DC_family
19	17	Ambiguous/Mixed
19	18	Macrophage_family
