NAME	GS<br> follow link to MSigDB	GS DETAILS	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE	
GOBP_T_CELL_RECEPTOR_SIGNALING_PATHWAY	GOBP_T_CELL_RECEPTOR_SIGNALING_PATHWAY	Details ...	75	0.7637045	1.9050117	0.0	8.3858264E-4	0.001	369	tags=57%, list=7%, signal=61%	
GOBP_NATURAL_KILLER_CELL_ACTIVATION	GOBP_NATURAL_KILLER_CELL_ACTIVATION	Details ...	51	0.779075	1.8034753	0.0	0.0046763257	0.011	564	tags=59%, list=11%, signal=66%	
GOBP_ALPHA_BETA_T_CELL_ACTIVATION	GOBP_ALPHA_BETA_T_CELL_ACTIVATION	Details ...	119	0.6513163	1.7403176	0.0	0.034812585	0.118	681	tags=52%, list=14%, signal=59%	
GOBP_DISRUPTION_OF_ANATOMICAL_STRUCTURE_IN_ANOTHER_ORGANISM	GOBP_DISRUPTION_OF_ANATOMICAL_STRUCTURE_IN_ANOTHER_ORGANISM	Details ...	57	0.71773475	1.7028908	0.0	0.07145139	0.291	339	tags=21%, list=7%, signal=22%	
GOBP_T_CELL_ACTIVATION	GOBP_T_CELL_ACTIVATION	Details ...	301	0.5787727	1.6996915	0.0	0.061552603	0.312	518	tags=35%, list=10%, signal=37%	
GOBP_LYMPHOCYTE_MIGRATION	GOBP_LYMPHOCYTE_MIGRATION	Details ...	69	0.67604035	1.6767352	0.0	0.09736887	0.508	625	tags=42%, list=13%, signal=47%	
GOBP_T_CELL_APOPTOTIC_PROCESS	GOBP_T_CELL_APOPTOTIC_PROCESS	Details ...	32	0.7633724	1.66302	0.0038834952	0.12049615	0.65	501	tags=38%, list=10%, signal=41%	
GOBP_POSITIVE_REGULATION_OF_NATURAL_KILLER_CELL_MEDIATED_CYTOTOXICITY	GOBP_POSITIVE_REGULATION_OF_NATURAL_KILLER_CELL_MEDIATED_CYTOTOXICITY	Details ...	20	0.824585	1.6453995	0.0036166366	0.15663803	0.79	444	tags=65%, list=9%, signal=71%	
GOBP_T_CELL_DIFFERENTIATION_IN_THYMUS	GOBP_T_CELL_DIFFERENTIATION_IN_THYMUS	Details ...	43	0.7163587	1.6338972	0.0018867925	0.1774328	0.867	332	tags=40%, list=7%, signal=42%	
GOBP_ALPHA_BETA_T_CELL_DIFFERENTIATION	GOBP_ALPHA_BETA_T_CELL_DIFFERENTIATION	Details ...	79	0.651896	1.6313066	0.0	0.16738583	0.881	681	tags=51%, list=14%, signal=58%	
