GEP,1,2,3,4,5,6,7,8,9,10,11,12,13
1,-0.335237081673243,0.9681372549019608,-0.2311104123656448,0.16911764705882354,-0.5416666666666667,-0.5808823529411765,-0.46813725490196084,-0.36764705882352944,-0.5612745098039216,-0.4803921568627451,-0.04411764705882353,-0.5196078431372549,-0.49019607843137264
2,0.8657894736842108,-0.3530148057013695,0.9605263157894738,-0.007619024583482795,0.13714244250269034,0.7161883108473828,0.6958709119580953,0.10920601902992007,0.5536491197330831,0.4876175733428989,0.7339660348755093,0.6399980650125547,0.5180936716768302
3,0.14730114194733404,-0.06372549019607844,0.1041266693075982,0.9681372549019608,0.3137254901960785,-0.06372549019607844,0.22058823529411767,0.27941176470588236,0.01715686274509804,0.2573529411764706,0.24019607843137256,0.05392156862745098,-0.019607843137254905
4,0.6557025099382153,-0.764326819652511,0.5965607149241802,-0.12407902916436869,0.3623107651599565,0.8511821400675691,0.804032108985109,0.4541292467415894,0.7419925944029248,0.6005425011555444,0.4491660855750146,0.8214031730681207,0.6228767264051308
5,0.28952293417234626,-0.5882352941176471,0.3199990325062774,0.2034313725490196,0.9362745098039217,0.35539215686274517,0.20833333333333337,0.01715686274509804,0.2916666666666667,0.47058823529411764,0.16421568627450983,0.2377450980392157,0.2916666666666667
6,0.8533307533500731,-0.30637254901960786,0.8380927041831076,0.14950980392156862,0.12500000000000003,0.6911764705882353,0.7745098039215688,0.2720588235294118,0.6813725490196079,0.627450980392157,0.9068627450980394,0.6936274509803922,0.6200980392156864
7,0.6933312370969344,-0.49509803921568635,0.7390453845978311,-0.04656862745098039,0.20098039215686278,0.8529411764705884,0.7965686274509804,0.45833333333333337,0.8088235294117647,0.7034313725490197,0.6813725490196079,0.948529411764706,0.7916666666666667
8,0.3580941554236914,-0.286764705882353,0.45968114987012865,-0.46813725490196084,-0.1936274509803922,0.2622549019607843,0.22303921568627455,-0.2524509803921569,0.16421568627450983,0.06372549019607844,0.10294117647058824,0.35294117647058826,0.05392156862745098
9,0.594283917511658,-0.41421568627450983,0.6476170895960376,-0.07352941176470588,0.21568627450980393,0.8848039215686275,0.6421568627450981,0.4558823529411765,0.8112745098039217,0.661764705882353,0.6127450980392157,0.7107843137254903,0.9754901960784315
10,0.5663474940388878,-0.4852941176470589,0.6298393655679111,-0.05147058823529412,0.17892156862745098,0.8480392156862745,0.7598039215686275,0.4803921568627451,0.9730392156862747,0.6691176470588236,0.661764705882353,0.8333333333333335,0.8529411764705884
11,0.20571366375403546,-0.5980392156862745,0.01269837430580466,0.12745098039215688,0.23529411764705882,0.5955882352941178,0.5759803921568628,0.806372549019608,0.573529411764706,0.5269607843137256,0.12254901960784316,0.3872549019607844,0.4754901960784314
12,0.13968211736385125,-0.07843137254901962,0.07365057097366702,0.3823529411764707,-0.06372549019607844,0.3823529411764707,0.5416666666666667,0.911764705882353,0.4534313725490197,0.2916666666666667,0.42892156862745107,0.4754901960784314,0.4754901960784314
