GEP,1,2,3,4,5,6,7,8,9,10,11,12,13,14
1,0.9973684210526318,-0.4647604995924505,0.8371964951917956,0.033015773195092114,0.1676185408366215,0.7034899365415781,0.6450774147348767,0.15999951625313868,0.4723795241759333,0.6526964393183595,0.7415850594589921,0.5434904202884394,0.5231730213991519,0.3301577319509212
2,-0.4190463520915538,0.9754901960784315,-0.31566755355667575,0.05147058823529412,-0.5539215686274511,-0.5612745098039216,-0.5416666666666667,-0.44117647058823534,-0.5612745098039216,-0.49509803921568635,-0.08578431372549021,-0.5392156862745099,-0.42156862745098045,0.10049019607843139
3,0.8657894736842108,-0.3580941554236914,0.9345449248652601,-0.010158699444643728,0.15999951625313868,0.7288866851531874,0.5028556225098645,0.03555544805625305,0.5053952973710254,0.558728469455405,0.7187279857085437,0.5460300951496004,0.6044426169563019,0.3403164313955649
4,0.020317398889287453,0.10784313725490197,-0.04634801381586112,0.9803921568627453,0.26470588235294124,-0.1593137254901961,0.12745098039215688,0.20833333333333337,-0.06617647058823531,0.1519607843137255,0.1519607843137255,-0.06862745098039216,0.03921568627450981,0.5490196078431373
5,0.1371424425026903,-0.49509803921568635,0.23174006907930558,0.3504901960784314,0.9926470588235295,0.2573529411764706,0.2058823529411765,0.09313725490196079,0.17647058823529413,0.31127450980392163,0.08088235294117649,0.26960784313725494,0.14460784313725492,-0.004901960784313726
6,0.6831725376522907,-0.5539215686274511,0.7616106054065828,-0.08578431372549021,0.26960784313725494,0.9926470588235295,0.8161764705882354,0.5171568627450981,0.8259803921568629,0.6936274509803922,0.5759803921568628,0.8210784313725491,0.7965686274509804,0.30637254901960786
7,0.7034899365415781,-0.49019607843137264,0.5899976893856915,0.22303921568627455,0.20833333333333337,0.7843137254901962,0.9803921568627453,0.6568627450980393,0.7401960784313727,0.6053921568627452,0.7352941176470589,0.8259803921568629,0.627450980392157,0.5441176470588236
8,0.18031691514242615,-0.35294117647058826,0.07641159034506832,0.2916666666666667,0.10049019607843139,0.45098039215686275,0.6740196078431374,0.9926470588235295,0.5318627450980392,0.36274509803921573,0.3186274509803922,0.502450980392157,0.5392156862745099,0.5171568627450981
9,0.4774588738982552,-0.5465686274509804,0.5511655697021323,-0.03431372549019608,0.18627450980392157,0.8284313725490197,0.7843137254901962,0.5759803921568628,1.0,0.6887254901960785,0.5490196078431373,0.8627450980392157,0.8161764705882354,0.3823529411764707
10,0.6247600158455892,-0.47794117647058826,0.6000188815620939,0.22549019607843138,0.3651960784313726,0.7156862745098039,0.6666666666666667,0.34803921568627455,0.7058823529411765,0.9975490196078433,0.5808823529411765,0.7083333333333334,0.5661764705882354,0.26470588235294124
11,0.7314263600143484,-0.12254901960784316,0.7340523269214762,0.2377450980392157,0.08823529411764706,0.5882352941176471,0.678921568627451,0.29901960784313725,0.5539215686274511,0.5073529411764706,0.9779411764705883,0.5980392156862745,0.5710784313725491,0.6691176470588236
12,0.5993632672339799,-0.536764705882353,0.49980695979806994,0.014705882352941176,0.18382352941176472,0.7843137254901962,0.8406862745098039,0.5882352941176471,0.806372549019608,0.6323529411764707,0.6421568627450981,0.9509803921568628,0.7181372549019608,0.482843137254902
13,0.4825382236205771,-0.44852941176470595,0.6125453717825969,-0.08333333333333334,0.18382352941176472,0.8382352941176472,0.6004901960784315,0.5441176470588236,0.8210784313725491,0.573529411764706,0.4607843137254902,0.7254901960784315,0.9436274509803922,0.4534313725490197
