GEP,1,2,3,4,5,6,7,8,9,10,11
1,0.9999062931376629,0.19155697773900177,0.40465793765081803,0.31240597063052616,0.2227218213764989,0.3241239526443629,0.3034085783113195,0.2682278372006491,0.3637280770523592,0.25679416070004085,0.2635848622963743
2,0.5143305659262027,0.15664021535019948,0.5167975911251588,0.2006641819539692,0.1694465725060996,0.263324776080643,0.2494254303221846,0.21179972631087665,0.29997541188571447,0.20335911275330293,0.20950664879138367
3,0.19018018377975054,0.9999886003045164,0.2908147246914487,0.820248286652904,0.9461043512065849,0.9420371471346534,0.9435956666491713,0.9443014473482858,0.8234366931559675,0.9732645254538348,0.9673887630358177
4,0.31101902983351104,0.824970050853568,0.32573516131290065,0.9999862445368919,0.7804728115998373,0.7768489376128325,0.7424314529337155,0.7115722937145685,0.9624715052499178,0.7667744882760921,0.7592353408150369
5,0.22201824218382463,0.9470807562013692,0.34169308001067095,0.7813170472179654,0.9999785870272648,0.9625592273904741,0.9638055142080469,0.9595162860945589,0.782253289662556,0.9792509621541821,0.9766169888430346
6,0.32145222378429483,0.9421745322989079,0.5055481332334338,0.7749430826831092,0.9626839917390315,0.999989493580187,0.9867302528979047,0.9717033988835302,0.8025802086780798,0.9828476138993755,0.9850300581214191
7,0.3020167572353258,0.9424541461900545,0.4958957545150402,0.7399560938454088,0.9623330525908294,0.9862307908688053,0.9999482121186393,0.967253354296473,0.7664350005454382,0.9909960433017977,0.9939727421470855
8,0.2673512336934588,0.9435040380196527,0.4923926776089777,0.710997418246708,0.9594411429625904,0.9712903438331584,0.9676098921781207,0.9999954905562083,0.7072151237587929,0.9790504414068255,0.9805004711670015
9,0.36211430824071156,0.8278012961999741,0.35872456012266724,0.9613033909833315,0.7807242680385251,0.8041102248942005,0.7681218145417871,0.7071780769237053,0.9999855601948839,0.7765382687288409,0.7718358650932479
10,0.27091829307521803,0.9662866885859526,0.43975452164828677,0.775879436187865,0.9757027965020799,0.9852225180829717,0.994745827841422,0.9794105586224989,0.790058400578422,0.9986108603133375,0.9998143667537125
