parent_gep,child_gep,parent_celltype,child_celltype,celltype_match,spearman_rho,kl_divergence,kl_similarity
1,1,Ambiguous/Mixed,Ambiguous/Mixed,True,0.9975,0.0,1.0
1,2,Ambiguous/Mixed,Tumor/Epithelials,False,-0.3683,6.1901,0.0453
1,3,Ambiguous/Mixed,Tumor/Epithelials,False,-0.3645,7.891,0.0193
1,4,Ambiguous/Mixed,Ambiguous/Mixed,True,-0.6122,3.041,0.2186
1,5,Ambiguous/Mixed,Ambiguous/Mixed,True,-0.5592,1.1104,0.574
1,6,Ambiguous/Mixed,Ambiguous/Mixed,True,-0.5224,1.0613,0.5882
2,1,Tumor/Epithelials,Ambiguous/Mixed,False,-0.3839,6.2305,0.0444
2,2,Tumor/Epithelials,Tumor/Epithelials,True,0.9973,0.0002,0.9999
2,3,Tumor/Epithelials,Tumor/Epithelials,True,0.8011,1.3646,0.5054
2,4,Tumor/Epithelials,Ambiguous/Mixed,False,0.681,2.1534,0.3407
2,5,Tumor/Epithelials,Ambiguous/Mixed,False,0.0983,3.6055,0.1648
2,6,Tumor/Epithelials,Ambiguous/Mixed,False,0.8346,3.6562,0.1607
3,1,Tumor/Epithelials,Ambiguous/Mixed,False,-0.3659,7.9281,0.019
3,2,Tumor/Epithelials,Tumor/Epithelials,True,0.7852,1.3893,0.4993
3,3,Tumor/Epithelials,Tumor/Epithelials,True,0.9969,0.0001,1.0
3,4,Tumor/Epithelials,Ambiguous/Mixed,False,0.7125,3.1035,0.2119
3,5,Tumor/Epithelials,Ambiguous/Mixed,False,0.0329,4.7788,0.0917
3,6,Tumor/Epithelials,Ambiguous/Mixed,False,0.8273,4.6409,0.0982
4,1,Ambiguous/Mixed,Ambiguous/Mixed,True,-0.6368,3.0486,0.2178
4,2,Ambiguous/Mixed,Tumor/Epithelials,False,0.6511,2.1709,0.3378
4,3,Ambiguous/Mixed,Tumor/Epithelials,False,0.6891,3.1298,0.2091
4,4,Ambiguous/Mixed,Ambiguous/Mixed,True,0.9975,0.0001,1.0
4,5,Ambiguous/Mixed,Ambiguous/Mixed,True,0.3047,1.3646,0.5055
4,6,Ambiguous/Mixed,Ambiguous/Mixed,True,0.6216,1.3959,0.4976
5,1,Ambiguous/Mixed,Ambiguous/Mixed,True,-0.5567,1.1145,0.5728
5,2,Ambiguous/Mixed,Tumor/Epithelials,False,0.1061,3.6009,0.1652
5,3,Ambiguous/Mixed,Tumor/Epithelials,False,0.0357,4.7734,0.0919
5,4,Ambiguous/Mixed,Ambiguous/Mixed,True,0.2924,1.3663,0.505
5,5,Ambiguous/Mixed,Ambiguous/Mixed,True,1.0,0.0,1.0
5,6,Ambiguous/Mixed,Ambiguous/Mixed,True,0.3848,0.0651,0.968
