GEP,1,2,3,4,5,6,7,8,9,10,11,12
1,-0.341973183019732,0.7022066727112579,0.30188841431412244,0.6201929260072812,0.4384271577176052,0.8280010035752486,0.6851990150615144,0.11023311394042644,0.6401036502677036,0.6801884189733132,0.3682788124827884,0.2567930495203116
2,0.9705882352941178,-0.33015773195092113,-0.058823529411764705,-0.7544004973193617,-0.573529411764706,-0.30147058823529416,-0.49019607843137264,-0.29411764705882354,-0.3970588235294118,-0.4803921568627451,-0.6029411764705883,-0.08333333333333334
3,-0.4426717916106941,0.8253880957978881,0.013563759631525445,0.7191151339021277,0.3390939907881361,0.7891641967432986,0.9063057571973818,0.38101833874012386,0.829855475637875,0.8779451688769198,0.2527791567693378,0.29963578095097115
4,0.16666666666666669,0.01269837430580466,0.9705882352941178,-0.11911586799779393,0.20098039215686278,0.15686274509803924,-0.04901960784313726,-0.4607843137254902,-0.08088235294117649,-0.06127450980392158,0.12990196078431374,0.37254901960784315
5,-0.5490196078431373,0.2311104123656448,0.35784313725490197,0.41690553799227875,0.9460784313725492,0.21078431372549022,0.27450980392156865,-0.11519607843137256,0.23529411764705882,0.23529411764705882,0.18872549019607845,-0.06372549019607844
6,-0.48774509803921573,0.8279340047384638,0.11274509803921569,0.8089952701516838,0.29656862745098045,0.8725490196078433,0.8848039215686275,0.31127450980392163,0.8308823529411766,0.823529411764706,0.4264705882352942,0.47058823529411764
7,-0.5857843137254902,0.7263470102920264,-0.056372549019607844,0.8487005594842818,0.3651960784313726,0.6813725490196079,0.8455882352941178,0.28186274509803927,0.875,0.8210784313725491,0.5784313725490197,0.3504901960784314
8,-0.3921568627450981,0.09142829500179354,0.25490196078431376,0.4590924079081641,0.02696078431372549,0.2524509803921569,0.47058823529411764,-0.24754901960784317,0.46323529411764713,0.49019607843137264,0.8039215686274511,0.8995098039215688
9,-0.07107843137254903,0.8152356304326591,0.2377450980392157,0.4739818914078883,0.21078431372549022,0.9264705882352943,0.7083333333333334,0.1593137254901961,0.6764705882352942,0.6813725490196079,0.10049019607843139,0.36764705882352944
10,-0.46323529411764713,0.5231730213991519,-0.029411764705882353,0.6998057244870394,0.32598039215686275,0.5539215686274511,0.8039215686274511,0.1936274509803922,0.7401960784313727,0.8504901960784315,0.45098039215686275,0.32352941176470595
11,-0.5465686274509804,0.5892045677893362,0.009803921568627453,0.6948425633204647,0.3186274509803922,0.6642156862745099,0.823529411764706,0.09803921568627452,0.9607843137254902,0.8823529411764707,0.5294117647058825,0.47058823529411764
